sentence,is_generated
Bakalaura darba tēma: Uzņēmuma SIA “EDS” finansiālās darbības analīze un pilnveides iespējas.,0
"SIA “EDS” ir viens no uzņēmumiem, kurš veic gan iekšējos, gan ārējos elektromontāžas darbus spriegumam līdz 20kV.",0
"Uzņēmums SIA “EDS” ir dibināts 2007.gadā 16. februārī ar mērķi veikt elektropārvades līniju izbūvi, iekšējo un ārējo tīklu projektēšanu, izbūvi, rekonstrukciju un modernizāciju, kā arī energobūvniecības darbu pasūtījumu izpildi.",0
"SIA ""EDS"" ir licencēts uzņēmums elektroierīču montāžas, pārbaudes, ieregulēšanas un mērīšanas darbu veikšanai elektroierīcēs ar darba spriegumu līdz 1000 V.",0
Bakalaura darbs sastāv no trim nodaļām.,0
"Pirmajā nodaļā autors teorētiski apraksta uzņēmējdarbības formas, uzņēmuma iekšējo un ārējo vidi, kā arī uzņēmuma finanšu analīzi.",0
Otrajā nodaļā autors raksturo uzņēmumu SIA “EDS”.,0
"Trešajā nodaļā autors analizē uzņēmuma SIA “EDS” finanšu koeficientus, izmantojot uzņēmuma bilances un peļņas vai zaudējumu aprēķinus par 2014. līdz 2018.gadiem.",0
"Bakalaura darbs sastāv no: ievada, teorētiskās un praktiskās daļas, secinājumiem, priekšlikumiem, kā arī no izmantotās literatūras saraksta.",0
Bakalaura darbā ir izmantotas latviešu un ārzemju literatūras un avoti.,0
"Bakalaura darbā ir:  60 lpp., 15 tabulas, 17 attēli, 8 formulas un 77 izmantotie literatūras avoti Atslēgvārdi: analīze, uzņēmums, finanšu, forma, rādītāji, koeficienti",0
"SIA “Bee Bite” ir Latvijā inovatīvs uzņēmums, kurš piedāvā iegādāties veselībai nepieciešamo bišu maizi košļājamo pastilu veidā.",0
"Lai uzņēmums savu produkciju izplatītu Latvijas tirgū, tam ir jāveic dažādas mārketinga aktivitātes, jo liela daļa cilvēku nezina par SIA “Bee Bite”  produkciju.",0
Bakalaura darba tēma: SIA “Bee Bite ” produktu izplatīšanas nodrošināšanas iespējas Latvijas tirgū Bakalaura darbā ir trīs daļas.,0
"Pirmajā daļā autore teorētiski aprakstīja produktu klasifikāciju un to izplatīšanas veidus, izmantojot latviešu un ārzemju autoru darbus.",0
Otrajā daļā autore raksturoja biškopības nozari un uzņēmumu SIA “Bee Bite”.,0
"Trešajā daļā autore veica pētījumu par SIA “Bee Bite” produktu atpazīstamību un to izplatīšanu Latvijas tirgū, izstrādājot un aicinot Latvijas iedzīvotājus piedalīties pētījumā, aizpildot aptaujas anketu no 20 slēgtajiem jautājumiem.",0
"Bakalaura darbs sastāv no: 61 lpp., 37 attēliem, 1 tabulas, 64 izmantotiem literatūras avotiem un 3 pielikumiem.",0
"Atslēgas vārdi: Biškopība, bišu maize, pastila, SIA “Bee Bite”, produkts",0
