id,sentence,is_generated
1,Bakalaura darba tēma: Uzņēmuma SIA “EDS” finansiālās darbības analīze un pilnveides iespējas.,0
2,"SIA “EDS” ir viens no uzņēmumiem, kurš veic gan iekšējos, gan ārējos elektromontāžas darbus spriegumam līdz 20kV.",0
3,"Uzņēmums SIA “EDS” ir dibināts 2007.gadā 16. februārī ar mērķi veikt elektropārvades līniju izbūvi, iekšējo un ārējo tīklu projektēšanu, izbūvi, rekonstrukciju un modernizāciju, kā arī energobūvniecības darbu pasūtījumu izpildi.",0
4,"SIA ""EDS"" ir licencēts uzņēmums elektroierīču montāžas, pārbaudes, ieregulēšanas un mērīšanas darbu veikšanai elektroierīcēs ar darba spriegumu līdz 1000 V.",0
5,Bakalaura darbs sastāv no trim nodaļām.,0
6,"Pirmajā nodaļā autors teorētiski apraksta uzņēmējdarbības formas, uzņēmuma iekšējo un ārējo vidi, kā arī uzņēmuma finanšu analīzi.",0
7,Otrajā nodaļā autors raksturo uzņēmumu SIA “EDS”.,0
8,"Trešajā nodaļā autors analizē uzņēmuma SIA “EDS” finanšu koeficientus, izmantojot uzņēmuma bilances un peļņas vai zaudējumu aprēķinus par 2014. līdz 2018.gadiem.",0
9,"Bakalaura darbs sastāv no: ievada, teorētiskās un praktiskās daļas, secinājumiem, priekšlikumiem, kā arī no izmantotās literatūras saraksta.",0
10,Bakalaura darbā ir izmantotas latviešu un ārzemju literatūras un avoti.,0
11,"Bakalaura darbā ir:  60 lpp., 15 tabulas, 17 attēli, 8 formulas un 77 izmantotie literatūras avoti Atslēgvārdi: analīze, uzņēmums, finanšu, forma, rādītāji, koeficienti",0
12,"SIA “Bee Bite” ir Latvijā inovatīvs uzņēmums, kurš piedāvā iegādāties veselībai nepieciešamo bišu maizi košļājamo pastilu veidā.",0
13,"Lai uzņēmums savu produkciju izplatītu Latvijas tirgū, tam ir jāveic dažādas mārketinga aktivitātes, jo liela daļa cilvēku nezina par SIA “Bee Bite”  produkciju.",0
14,Bakalaura darba tēma: SIA “Bee Bite ” produktu izplatīšanas nodrošināšanas iespējas Latvijas tirgū Bakalaura darbā ir trīs daļas.,0
15,"Pirmajā daļā autore teorētiski aprakstīja produktu klasifikāciju un to izplatīšanas veidus, izmantojot latviešu un ārzemju autoru darbus.",0
16,Otrajā daļā autore raksturoja biškopības nozari un uzņēmumu SIA “Bee Bite”.,0
17,"Trešajā daļā autore veica pētījumu par SIA “Bee Bite” produktu atpazīstamību un to izplatīšanu Latvijas tirgū, izstrādājot un aicinot Latvijas iedzīvotājus piedalīties pētījumā, aizpildot aptaujas anketu no 20 slēgtajiem jautājumiem.",0
18,"Bakalaura darbs sastāv no: 61 lpp., 37 attēliem, 1 tabulas, 64 izmantotiem literatūras avotiem un 3 pielikumiem.",0
19,"Atslēgas vārdi: Biškopība, bišu maize, pastila, SIA “Bee Bite”, produkts",0
20,Darba autors: Mareks Gibarts Bakalaura darba tēma: Biznesa procesu pārvaldības pilnveidošana uzņēmumā SIA “SUMMUS” Studiju programma: profesionālā bakalaura studiju programma “Komercdarbība un uzņēmuma vadība”.,0
21,"Darba zinātniskais vadītājs: Mg. psych., lektore Ruta Karloviča Darba mērķis: pamatojoties uz pieejamajiem teorētiskajiem avotiem, nozares literatūru un SIA “SUMMUS” faktoloģiskajiem datiem, identificēt nozīmīgākās biznesa pārvaldības problēmas uzņēmumā un izstrādāt priekšlikumus to pilnveidošanai.",0
22,Darba uzdevumi: 1.Analizēt zinātnisko un speciālo nozares literatūru un dažādus citus avotus par biznesa procesa vadīšanas svarīgākajiem kritērijiem.,0
23,2.Analizēt un pētīt atsevišķu Latvijas uzņēmumu pieredzi biznesa procesu pārvaldībā.,0
24,"3.Veikt SIA “SUMMUS” darbības analīzi, lai noskaidrotu biznesa procesu pārvaldības veiksmes un neveiksmes faktorus.",0
25,4.Analizēt un izvērtēt LEAN sistēmas ieviešanu SIA “SUMMUS” biznesa procesu pārvaldībā.,0
26,5.Apkopot pētījuma secinājumus un izstrādāt priekšlikumus SIA “SUMMUS” biznesa procesu pārvaldības pilnveidošanai.,0
27,"Darbs sastāv no: ievada, 6 nodaļām un 25 apakšnodaļām, kurās ietverti 13 attēli un  10 tabulas, secinājumu un priekšlikumu daļas.",0
28,Pētījums balstās uz 29 avotu analīzes.,0
29,Tā pirmajā nodaļā: ir analizēts profesionālās kompetences jēdziens – viens no kvalitatīva biznesa procesu vadīšanas svarīgākajiem kritērijiem.,0
30,Analizēta vadības teorija un veikta vadītāja kompetenču analīze.,0
31,Otrajā nodaļā: aprakstīti biznesa rīki un to izmantošana biznesa procesu vadīšanā.,0
32,"Trešajā nodaļā: analizēta krājuma pārvaldība, jo to efektīva pārvaldība ļauj samazināt uzglabāšanas izmaksas un izbrīvēt daļu no kapitāla, ko var izmantot citu aktīvu veidošanai, kas nozīmīga biznesa procesu pārvaldības pilnveidošanai.",0
33,"Ceturtajā nodaļā: veikta uzņēmuma SIA „SUMMUS” darbības analīze, noteikti konkurētspējas kritēriji, uzņēmuma kvantitatīvie rādītāji, kā arī analizēta iekšējā un ārējā vide.",0
34,Piektajā nodaļā: analizēta LEAN sistēmas ieviešana uzņēmuma biznesa procesa pārvaldības pilnveidošanai.,0
35,Sestajā nodaļā: analizēta krājumu pārvaldības rīku ieviešana uzņēmuma biznesa procesu pārvaldībai.,0
36,"Rezultātā: pētījums ir nozīmīgs uzņēmumam SIA „SUMMUS”, lai noskaidrotu biznesa procesu pārvaldības veiksmes un neveiksmes faktorus, analizētu un izvērtētu LEAN sistēmas ieviešanu SIA “SUMMUS” biznesa procesu pārvaldības pilnveidošanai.",0
37,Darba apjoms: 67 lpp.,0
38,"Darba izstrādei izmantoti: vadības teoriju zinātniskā un ekonomiskā literatūra, LR Centrālās statistikas pārvaldes dati, Lursoft datubāze, uzņēmuma gada pārskati, interneta resursi, nepublicētie uzņēmuma materiāli.",0
39,"Atslēgas vārdi: uzņēmums, vadīšana, biznesa process, biznesa rīki, krājumu pārvaldība, sistēmas ieviešana, procesu pilnveidošana.",0
40,"Finanšu analīze ir dažādu rādītāju kopums, kas sniedz priekšstatu par uzņēmuma finansiālo stāvokli, kas interesē gan uzņēmuma īpašniekus, vadītājus, gan arī sadarbības partnerus un potenciālos investorus.",0
41,Darba mērķis ir raksturot uzņēmuma SIA “Pindstrup Latvia” finanšu analīzes teorētiskos aspektus un novērtēt uzņēmuma rentabilitāti un ilgtspējību.,0
42,Autore veic uzņēmuma SIA “Pindstrup Latvia” finanšu rādītāju aprēķinus un analīzi.,0
43,Darba noslēgumā autore izveido priekšlikumus uzņēmuma darbības uzlabošanai.,0
44,"Darba rezultāti : Uzņēmums ir rentabls ar stabilu finansiālo situāciju, tomēr veicot aprēķinus, autore secina, ka uzņēmums ir mazlikvīds lielo krājumu dēļ, kā arī uzņēmumam ir maz brīvo naudas līdzekļu, tāpēc būtu jāsamazina debitoru parādi, lai nerastos situācijas, kad uzņēmums nespēj segt savas īstermiņa saistības.",0
45,"Diplomdarbs sastāv no 69 lapām, 43 attēliem, 3 tabulām, 2 pielikumiem.",0
46,"Atslēgvārdi : rentabilitāte, likviditāte, aprite, maksātspēja",0
47,Bakalaura darba autore: Katrīne Megne Bakalaura darba tēma: Uzņēmuma SIA “Filigran” darbības paplašināšanās iespējas Kurzemē Studiju programma: Profesionālā bakalaura studiju programma “Komercdarbība un uzņēmuma vadība”.,0
48,"Bakalaura zinātniskais vadītājs: Dr. sc. admin. docente Antra Līne Bakalaura darbā tiek analizēts: Uzņēmuma darbība, klienti un iespējamās tirdzniecības vietas Kurzemē.",0
49,Bakalaura darba mērķis: izstrādāt stratēģiju turpmākās uzņēmuma darbības paplašināšanās iespējām Kurzemē.,0
50,"Bakalaura darba uzdevumi: 1. Analizēt zinātnisko literatūru un informācijas avotus par uzņēmuma veidiem, to vadīšanas aspektiem., iekšējo un ārējo vidi, finanšu rādītājiem.",0
51,"2. Analizēt uzņēmuma darbību, tā strukturālo uzbūvi, iekšējo, ārējo vidi, finanšu rādītājus.",0
52,"3. Veikt SIA “Filigran” darbības analīzi un noskaidrot tās paplašināšanās iespējas Bakalaura darbs sastāv no: 3 nodaļām Tā pirmajā nodaļā: Pamatojoties uz teorētiskiem avotiem, tiek analizēti uzņēmuma darbības vides ietekmējošie faktori un raksturotas to izpētes izmantojamās metodes.",0
53,"Otrajā nodaļā: Tiek raksturota SIA”Filigran” juridiskā forma un darbības veidi, pamatdarbības virzieni, raksturota ārējās un iekšējās vides efektivitāte uzņēmumā, tiek izstrādāta SVID analīze un izveidota klientu aptauja, un tiek analizēta uzņēmuma finanšu rādītāji.",0
54,Trešajā nodaļā: Tiek izvērtēta uzņēmuma SIA”Filigran” darbības paplašināšanās iespējas Kurzemē.,0
55,Bakalaura darba rezultātā: Ir izvērtētas un atrastas uzņēmuma perspektīvās tirdzniecības vietas.,0
56,Bakalaura darba apjoms ir 76 lappuses(bez pielikumiem).,0
57,"Bakalaura darbā izmantoti: uzņēmējdarbības, ekonomikas, stratēģijas ,grāmatvedības, attīstības, biznesa vadības un finanšu teorijas, Latvijas valsts ceļu datu bāze, informācija no elektroniskiem informācijas avotiem un SIA “Filigran” finanšu dokumentiem.",0
58,"Bakalaura darba atslēgas vārdi: mazs uzņēmums, finanšu pārskats, tirdzniecība, darbības paplašināšanas.",0
59,Darba temats ir uzņēmuma “SIA “Zivtiņa” kredītspēja analīze un tās noteikšana”.,0
60,"Darba mērķis balstoties uz kredītspējas teorētiskiem aspektiem novērtēt SIA “Zivtiņa” tekošo kredītspēju, nākotnes kredītriskus, ka arī izstrādāt priekšlikumus uzņēmuma SIA “Zivtiņa”  kredītspējas uzlabošanai.",0
61,Darbs sastāv no 3 nodaļām.,0
62,"Darba 1. nodaļā autors ir izskatījis teorētisko informāciju, lai gūt priekšstatu par kredītspējas būtību un to uzlabošanas iespējam.",0
63,"Darba 2.nodaļā autors izskata uzņēmumu  SIA “Zivtiņa”, lai noteikt pētāmo objektu un gūt priekšstatu par uzņēmuma tēlu.",0
64,"Darba 3.nodaļā  praktiski pielieto teorētisku informāciju par kredītspējas noteikšanu, lai  noteikt uzņēmuma kredītspēju un  izstrādāt priekšlikumus kredītspējas uzlabošanai.",0
65,"Autors darba gaitā ir izpētījis vairāku speciālistu teorētisku materiālus, ar ko palīdzību ir novērtējis uzņēmuma SIA “Zivtiņa” kredītspēju un ir konstatējis nepilnības, ka arī ir apkopojis secinājumus un izstrādājis priekšlikumus, lai novērstu nepilnības un trūkumus.",0
66,"Latvijā 2018.gada 1.janvārī ieviesta „nodokļu reforma”, kur viens no izmaiņu objektiem ir uzņēmumu ienākuma nodoklis (UIN).",0
67,Šīs ir jauni ieviestas izmaiņas un nodokļu maksātājiem ir neskaidrības par nodokļa aprēķināšanu un tā ietekmi uz turpmāko darbību.,0
68,"Darba mērķis ir, izpētot galvenās atšķirības UIN aprēķināšanas kārtībā LR pēc „nodokļu reformas” ieviešanas, salīdzināt to ar citu ES dalībvalstu UIN sistēmu un noskaidrot ietekmi uz ekonomiskajiem rādītājiem.",0
69,"Pētījuma rezultātā noskaidrots, ka Latvijas jaunais UIN aprēķina režīms mazina uzņēmumu nodokļu slogu un veicina finansiālo rādītāju uzlabošanos.",0
70,"Salīdzinot ar citu ES dalībvalstu UIN režīmiem, Latvijas jaunais modelis ir konkurētspējīgs un dažās jomās pārspēj Igaunijas režīmu.",0
71,Latvijas modeli varētu papildināt par atvieglojumu piemērošanu sociālā statusa personu nodarbināšanu.,0
72,Aizvien pieaugošais atkritumu apjoms rada virkni problēmu visā pasaulē.,0
73,"Lai samazinātu apglabāto atkritumu apjomu, ES dalībvalstis pāriet uz aprites ekonomiku.",0
