id,title,abstract,is_generated
1,MUSKUĻAUDU OKSIGENĀCIJAS PARAMETRU IZMANTOŠANAS IESPĒJAS ANAEROBĀ SLIEKŠŅA NOTEIKŠANĀ BMX SPORTISTIEM,"This study explores the possibilities of using muscle oxygenation parameters in determining anaerobic thresholds in BMX athletes. The research involved measuring muscle oxygen saturation levels during a maximal effort cycling ergometer test. The results suggest that muscle oxygenation parameters could be useful in differentiating between physiological responses during high-intensity efforts. Additionally, the findings highlight the importance of individualized training programs based on anaerobic thresholds in improving athletic performance.",1
2,Dzīvesveida paradumu ietekmes izvērtējums uz kardiometabolo saslimšanu risku pieaugušiem cilvēkiem.,"This study explores the correlation between lifestyle habits and the risk of developing cardiometabolic diseases in adults. The research involved analyzing data gathered from a diverse sample of subjects, including individuals with varying levels of physical activity, dietary habits, and overall healthy practices. Results indicate a significant impact of lifestyle factors on cardiometabolic disease risk, with sedentary behaviors and poor nutrition increasing the likelihood of developing such conditions. The findings suggest that implementing healthier lifestyle habits could be an effective means of reducing the incidence and severity of cardiometabolic diseases.",1
3,Pesticīdu izplatība hidroekosistēmās un to potenciālā ietekme uz ūdens organismiem,"The widespread use of pesticides is having a significant impact on aquatic ecosystems, with potentially harmful effects on water-based organisms. Research into pesticide distribution and its impacts on aquatic environments is crucial in understanding and mitigating these effects. This study examines the distribution of pesticides in hydroecosystems and evaluates the potential impact on water organisms with the aim of promoting the sustainability and conservation of these important environments. The results provide valuable insights into the potential risks associated with pesticide use and highlight the need for more careful management of these chemicals in aquatic environments.",1
4,Brūnkakļa Aythya ferina izplatības un skaita izmaiņas Latvijā 1958-2019,"This study analyzes the distribution and population changes of a specific species in Latvia from 1958 to 2019. The research is based on an extensive dataset comprising various sources of information, including scientific literature, reports, and expert observations. The results of the study provide valuable insights into the dynamics of the species' population and changes in habitat preferences. The findings also emphasize the importance of continuous monitoring and conservation efforts to ensure the long-term survival of the species.",1
5,Ekstracelulārās vezikulās ietvertās mikrobiālās RNS atklāšana cilvēku asins un urīna paraugos,"This study aimed to identify microbial RNA contained within extracellular vesicles in human blood and urine samples. The researchers utilized RNA sequencing technology to analyze the samples and found a diverse array of bacterial RNA present. Additionally, they observed differences in the amount and types of RNA between blood and urine samples, suggesting that the composition of extracellular vesicles varies depending on the bodily fluid. These findings have implications for understanding the role of extracellular vesicle-mediated communication in microbial infections and potential diagnostic applications.",1
6,Cilvēka herpesvīrusa-6 U12 un U51 gēnu kodēto proteīnu iespējamā loma autoimunitātes attīstībā,"This study aims to investigate the potential role of human herpesvirus-6 U12 and U51 encoded proteins in the development of autoimmunity. The study utilizes various experimental techniques such as ELISA and Western blotting to analyze the expression of these proteins in different human cell lines. Through these analyses, the study aims to identify the possible immunological implications of U12 and U51 proteins in triggering autoimmune responses. The findings of this study may contribute to the development of new treatment options and preventive strategies for autoimmune diseases associated with human herpesvirus-6.",1
7,Celmu augstuma ietekmes novērtējums uz sakņu piepes Heterobasidion spp. un lielās pergamentsēnes Phlebiopsis gigantea attīstību maza diametra priežu koksnē,"This study aimed to evaluate the effect of height on the development of Heterobasidion spp. root rot and Phlebiopsis gigantea white rot in small diameter pine wood. Samples were collected from three different heights of pine trees in Latvia. The wood was inoculated with Heterobasidion spp. and P. gigantea, and then incubated for 9 months. The results showed that the height of the tree had a significant effect on the development of Heterobasidion spp. root rot, but not on the development of P. gigantea white rot. The highest incidence of Heterobasidion spp. was observed in the wood samples collected from the lower parts of the trees. The findings suggest that forest management strategies should take into account the height of the trees when assessing the risk of Heterobasidion spp. root rot.",1
8,Fizioloģijā balstīta metformīna matemātiskā modeļa izveide pelei un cilvēkam,"This study focuses on the development of a mathematical model that is based on physiology and aims to determine the efficacy of metformin on a particular species of animal and humans. The model takes into account various physiological parameters such as glucose utilization, insulin secretion, and lipid metabolism to evaluate the effect of metformin in treating diabetes mellitus. The results have potential implications for the use of this medication in both animal and human populations.",1
9,HHV-6 INFEKCIJA UN IEKAISUMA CITOKĪNU IESAISTE AUTOIMŪNĀ TIREOIDĪTA ATTĪSTĪBĀ,"This study investigates the potential link between HHV-6 infection, cytokine response, and the development of autoimmune thyroiditis. Using a retrospective case-control design, the study analyzes data from patients with autoimmune thyroiditis and compares them to a control group without the condition. Results suggest that HHV-6 may play a role in triggering autoimmune thyroiditis through its impact on cytokine response. Further research is needed to confirm these findings and identify potential therapeutic options.",1
10,Tetrazola analīzes izmantošana orhideju un ziemciešu dzimtas augu sēklu dzīvotspējas noteikšanai,This study aimed to determine the viability of seeds of orchids and winterhardy plants by analyzing them with tetrazolium. The tetrazolium analysis is a quick and efficient method for determining the viability of seeds. The seeds were soaked in tetrazolium solution and observed under a microscope to determine the level of viability. The results showed a high percentage of viable seeds for both orchids and winterhardy plants. This research contributes to the understanding of seed viability and provides valuable information for the management of natural resources.,1
11,NaCl un smago metālu sāļu ietekme uz piekrastes mitrāja auga krastmalas skābenes Rumex hydrolapathum augšanu un jonu uzkrāšanos,"This study examines the effects of metal salt pollution on the growth and ion accumulation of Rumex hydrolapathum, a common coastal wetland plant species. The presence of metal salts, specifically NaCl, in the soil and water have been found to significantly reduce plant growth and increase the accumulation of toxic ions in plant tissues. The results suggest that anthropogenic activities such as industrial runoff and road salt application may have severe ecological impacts on coastal wetland ecosystems, emphasizing the urgent need for proper management and conservation efforts.",1
12,Miega kvalitatīvo rādītāju novērtējums pēc sirdsdarbības frekvences miegā un kortizola koncentrācijas dinamikas.,"This study aims to evaluate the correlation between heart rate variability during sleep and changes in cortisol concentration. Participants were monitored overnight, and data was gathered using non-invasive techniques. Statistical analysis was performed to determine whether there is a significant relationship between heart rate variability and cortisol concentration. Additionally, the study sought to identify any potential confounding variables that might impact the results. The implications of these findings may have implications for the diagnosis and treatment of sleep-related disorders as well as stress-related illnesses.",1
13,Pericentriskā heterohromatīna loma genoma telpiskajā organizācijā un regulācijā krūts vēža diferencēšanās komitācijā,"This study focuses on exploring the role of pericentric heterochromatin in the spatial organization and regulation of the genome during breast cancer differentiation. The research aims to shed light on the mechanisms that drive the differentiation of breast cancer cells, which could pave the way for the development of new therapeutic approaches. The investigation involves a combination of molecular techniques, microscopy, and bioinformatics analysis, and the results obtained could have significant implications for cancer research and treatment.",1
14,"Oksidatīvās fosforilēšanas sistēmas funkcionalitātes novērtēšana, izmantojot citoplazmātisko hibrīdu šūnu modeļus","This research paper focuses on the assessment of the functionality of oxidative phosphorylation systems, using the cytoplasmic hybrid cell models. The study aims to evaluate the cellular transport and energy conversion processes occurring in living organisms. By utilizing cellular hybrid models, the researchers were able to simulate various environmental factors, allowing them to assess the efficiency of these systems in different conditions. The results of this study can provide valuable insights into the effectiveness of cellular energy processes and their potential applications in the development of new therapeutic strategies.",1
15,Drosophila melanogaster cerebrālās asimetrijas attīstība un organizācija,"The development and organization of cerebral asymmetry in Drosophila melanogaster remains an area of active research in neuroscience. This study investigated the genetic and cellular mechanisms underlying the formation of cerebral asymmetry in the fruit fly brain. Using a combination of genetic manipulations and imaging techniques, the researchers were able to uncover novel insights into the molecular pathways involved in the development and maintenance of cerebral lateralization. The findings suggest a highly conserved genetic program underlying the emergence of cerebral asymmetry across diverse species, with implications for understanding the evolution of brain function and behavior.",1
16,Fosilās kladoceras (Cladocera) kā vides izmaiņu indikators Sekšu ezera ekoloģiskās kvalitātes novērtēšanā,"This study investigated the use of fossilized Cladocera as an indicator of environmental changes in Sekšu Lake's ecological quality. By analyzing the sediment layers of the lake, researchers were able to identify changes in the abundance and diversity of Cladocera over time. These changes were then used to assess the lake's ecological health and determine potential environmental stressors. Results suggest that fossilized Cladocera can serve as a valuable tool for monitoring and managing the ecological quality of freshwater ecosystems.",1
17,Sterilu jaunu radioaktīvu peptīdu sintēze un to pretvēža aktivitāte in vitro sistēmās,".In this study, the synthesis of novel radioactively-labeled peptides was demonstrated. These sterile and highly pure peptides were evaluated for their anticancer activity using in vitro cancer cell models. The results showed that the newly synthesized peptides exhibited significant inhibition of cancer cell growth, and their activity was found to be dependent on peptide sequence, length, and concentration. Furthermore, the radiolabeling allowed for visual tracking of the peptides within the cancer cells, highlighting their potential as diagnostic and therapeutic agents in cancer treatment. Overall, this study provides a promising avenue for the development of new cancer treatments with improved specificity and activity.",1
18,Dendroloģisko parametru un mēslojuma ietekme uz veģetāciju kokaugu stādījumā lauksaimniecības zemē un tās sniegtie ekosistēmu pakalpojumi,"This study aimed to investigate the effects of dendrological parameters and fertilization on the vegetation of a tree plantation in agricultural land. The study focused on evaluating the ecosystem services provided by the vegetation in terms of carbon sequestration, soil and water conservation, and biodiversity. Different variables such as soil characteristics, tree age and species, and fertilization levels were analyzed to determine their influence on vegetation growth. Results show that dendrological parameters and fertilization both significantly affect the vegetation growth and the provision of ecosystem services. The findings of this study can potentially contribute to the development of sustainable land management practices to optimize the provision of ecosystem services in agricultural landscapes.",1
19,Lapsu (Vulpes vulpes) un jenotsuņu (Nyctereutes procyonoides) endoparazītu daudzveidība Latvijā,"In this research study, we aimed to analyze the diversity of endoparasites found in two different species of canids, specifically the red fox and raccoon dog, in Latvia. Our findings showed a wide range of endoparasites detected in both species, with some parasites being more prevalent than others. Additionally, we found that the overall prevalence of infection was higher in the raccoon dog compared to the red fox. These results provide valuable insights into the parasitic infections of canids in Latvia and highlight the importance of monitoring and controlling these infections for both animal and public health benefits.",1
20,"Eiropas un Baltijas plekstu Platichthys flesus un P. solemdali atšķirtspējas novērtēšana, balstoties uz morfoloģiskajām pazīmēm","This study evaluates the morphological differences between two species of flatfish found in Europe and the Baltic Sea. By analyzing various physical characteristics, researchers were able to distinguish between the two species with high accuracy. This information is important for better understanding the ecological roles of each species and making informed decisions about their management and conservation.",1
21,Makrozoobentosa indikatorgrupas upes nēģa Lampetra fluviatilis apdzīvotajās vietās,"This study aimed to analyze the population of macrozoobenthos in river habitats inhabited by Lampetra fluviatilis. The research involved the sampling and identification of macroinvertebrates in the river bed, especially those that can serve as indicators of environmental conditions. The results showed that the population of macrozoobenthos in the studied areas varied significantly, indicating differences in habitat conditions. Additionally, the presence of Lampetra fluviatilis played an important role in maintaining the stability and diversity of the macroinvertebrate community in the river ecosystem. Overall, this study provides valuable insights into the relationship between Lampetra fluviatilis and macrozoobenthos in river ecosystems, which could be useful in the development of effective conservation and management strategies.",1
22,Ar novecošanos saistītu biomarķieru un mtDNS mutāciju izpēte multirezistentās tuberkulozes pacientiem,"This study aims to investigate the correlation between biomarkers related to new developments in tuberculosis treatment and mutations in mtDNA in patients with multi-drug resistant tuberculosis. By analyzing these biomarkers and mutations, we hope to gain insights into the mechanisms behind the development of drug resistance and identify potential targets for improved treatment strategies. Through this research, we aim to contribute to the understanding and management of this complex and challenging disease.",1
23,"Probiotiskās biomasas producēšana, izmantojot laktozi saturošus industriālos substrātus","This study investigates the use of lactose-containing industrial substrates for the production of probiotic biomass. The research aims to determine the effectiveness of various substrates in promoting the growth and survival of probiotic microorganisms. Results indicate that certain substrates yield higher biomass concentrations compared to others, with lactose being a key factor in ensuring optimal probiotic growth. The findings of this study have important implications for the development of more efficient and cost-effective methods in producing probiotic biomass, which can ultimately improve the quality and availability of probiotic products in the market.",1
