id,title,abstract,is_generated
1,MUSKUĻAUDU OKSIGENĀCIJAS PARAMETRU IZMANTOŠANAS IESPĒJAS ANAEROBĀ SLIEKŠŅA NOTEIKŠANĀ BMX SPORTISTIEM,"BMX (Bicycle Motocross) is a specific type of cycling and became more popular when it was included in the 2008 Olympic Games program. The sport is sprint-type and very explosive and requires versatile training from athletes. The main goal of the study is to evaluate the functional parameters of BMX cyclists' physical performance by comparing the results of muscle oxygenation change in the increasing load test obtained with the Moxy device with the results of the cardiopulmonary exercise test.. A group of BMX athletes was selected to perform the VO2max test with increasing load to failure. The results showed the athletes' heart rate and blood pressure at exercise, as well as the athletes demonstrated their aerobic and anaerobic abilities. Information was collected and BMX sports were characterized and compared with the results of other types of cycling, such as MTB (Mountain Bike) and road cycling athletes. The study highlights the uniqueness of BMX in athletes' physical fitness and competition. The data show high anaerobic performance and good performance after the anaerobic threshold. The study concluded that BMX athletes have good recovery abilities and that they can develop maximum power in a shorter period of time much better than other cycling athletes. Gear transmission is very important for developing and maintaining maximum power. However, due to the specifics of the load in BMX sports, it is difficult to make accurate measurements and adapt the laboratory experiment all close to BMX sports conditions, so finding and using an alternative device in the real environment could give us a much deeper understanding of BMX athlete physiology.",0
2,Dzīvesveida paradumu ietekmes izvērtējums uz kardiometabolo saslimšanu risku pieaugušiem cilvēkiem.,"Cardiometabolic diseases are among most significant causes of mortality in the world, and, since they are largely preventable, widely accessible methods for reducing cardiometabolic risk and identifying the risk factors are needed in order to ensure effective prevention measures. The aim of this bachelor’s thesis was to evaluate the significance of the effect of lifestyle factors on the development of cardiometabolic risk development. This study involved 65 adults within the range of 30 to 54 years old. Anthropometric measurements were acquired via self-reported anthropometry and the evaluation of lifestyle factors was based on a survey, which was sent to every respondent individually, following an invitation to participate in this study. Anthropometric data was used to calculate the values of cardiometabolic risk factors. The statistical analysis of the data consisted of correlation and covariation analysis. The obtained results allow to conclude that lifestyle factors, which show significant adverse effects on the development of cardiometabolic risk in a relatively small study population (n=65), are smoking and consumption of alcohol.",0
4,Pesticīdu izplatība hidroekosistēmās un to potenciālā ietekme uz ūdens organismiem,"Global consumption of  pesticides is very high. Due to their widespread use, pesticides enter the aquatic ecosystems and are common in the environment. Pollution from pesticides attracts the attention of researchers, as these pesticides can have a significant impact on aquatic ecosystems and consequently animal and human health.  The objective of this study is to determine the potential effects of widespread pesticides on aquatic organisms. Using two biotesting methods: the microalgae growth inhibition test and the acute crustacean immobilization test. In addition to biotesting, survey was conducted to interview farmers, to learn their used pesticide use justification and storage. During the experiment, the EC50 – effective medial concentrations and LC50 – sublethal concentrations, LOEC - the lowest exposure concentrations at which inhibition of test organisms was observed and the NOEC - the highest concentrations at which no effects on test organisms were observed were determined during the tests.  Experimental results show that all selected pesticides have high toxicity. Highest toxicity in daphnia tests was shown by the insecticide “Proteus OD”, which unfortunately is widely used in the fight against insects, and in the algae tests the herbicide “Broadway Star” (see conclusions).  Pesticides with several active substances were found to contribute more rapidly to the inhibition of aquatic organisms than pesticides with only one active substance. Tested zooplankton organisms showed greater sensitivity to pesticides than phytoplankton organisms. Pesticides that enter water bodies can cause both microalgae un crustaceans’ demise, especially in waters bodies near agricultural land. Farmers emphasize that the use of pesticides is necessary to increase production efficiency and promote farm development.",0
5,Brūnkakļa Aythya ferina izplatības un skaita izmaiņas Latvijā 1958-2019,"The assessment for the European Red List of Birds 2015, has indicated that in the last 20  years there has been serious reductions in the distribution and abundance of breeding Common  pochard Aythya ferina, resulting in the European population being upgraded from IUCN Least  Concern status to Vulnerable. In this study we created an overview of the pochards distribution  changes in Latvia by using bird atlas data from three time periods: 1980-1984; 2000-2004;  2013-2017. To evaluate changes in abundance we used data from two long term waterbird  studies in Lake Engure (1958-2019) and Lake Kaņieris (2005-2019).  Our atlas analysis indicate that in in the last 33 years species distribution has lessered  signifficantly. Also the breeding population in Lake Engure since the end of nineties has  experienced a dramatic decrease. Reason for it is a mix of factors – loss of breeding habitat,  decrease of black-headed gulls Larus ridibundus colonies, and increase in predator, especially  American mink Mustela vison, numbers. In our opinion, it is valid to asses these limiting factors  to the general breeding pochard population in Latvia. Meanwhile, in the last 14 years breeding  population of pochards in Lake Kaņieris has stayed relatively small, but stable.",0
6,Ekstracelulārās vezikulās ietvertās mikrobiālās RNS atklāšana cilvēku asins un urīna paraugos,"According to numerous studies, extracellular vesicles (EVs) are released by almost all cell types within human body and act as mediators of various biological processes via cell-to-cell communication. Recent studies show that intercellular communication is possible between human microbiota and host cells as well. In this study, we show that EVs isolated from human blood and urine contain RNA fragments derived from various microorganisms. The most commonly represented phyla and superphyla in blood and urine were Proteobacteria, PVC group and Terrabacteria. To determine if the major source of these microbial transcripts is gut microbiome, we developed a method for the isolation of EVs from human stool samples. Next, we plan to perform RNA sequencing (RNA-seq) analysis of EVs isolated from plasma, urine and stool from the same individuals.",0
7,Cilvēka herpesvīrusa-6 U12 un U51 gēnu kodēto proteīnu iespējamā loma autoimunitātes attīstībā,"HHV-6 is an omnipresent pathogen which can establish lifelong persistency in its host and is linked to the development of multiple diseases, among them – autoimmune. Although the link between HHV-6 and autoimmune thyroid disease has been shown, mechanisms elucidating how HHV-6 influences the onset of autoimmunity remain unclear. HHV-6 possesses a number of immunomodulating properties, which are used to manipulate the host immune system for viral evasion and dissemination.  The role of HHV-6 encoded viral chemokine receptors U12 and U51 in the development of autoimmunity was evaluated by using potentially immunogenic synthetic peptides designed from viral amino acid sequences. Peptide immunogenicity and antibody cross reactivity was evaluated using suspension multiplex immunological assay. HHV-6 was detected in all of the patient’s thyroid gland samples (64/64, 100%) and in 37 of them an active HHV-6 infection was found (37/64, 58%). The expression of HHV-6 chemokine receptors U12 and U51 was detected in 23 of the patient’s thyroid gland samples (23/64, 36%). Samples positive for viral chemokine receptors expression had significantly elevated viral loads (p=0,0155). HHV-6 peptide specific IgG and IgM antibodies were found in patient’s samples, with higher signals for IgM antibodies, which is indicative of reactivation and active HHV-6 infection. No cross reactivity between HHV-6 peptide specific antibodies and human recombinant CCR1, 3 and 5 was found. Further research is necessary to determine the immunogenicity of HHV-6 gene U12 and U51 encoded proteins.",0
8,Celmu augstuma ietekmes novērtējums uz sakņu piepes Heterobasidion spp. un lielās pergamentsēnes Phlebiopsis gigantea attīstību maza diametra priežu koksnē,"Heterobasidion annosum (Fr.) Bref s.l. root rot causes serious economical losses in European Union, about 790 million euros per year. To limit the spread of root rot in Latvia coniferous stumps over 10 cm in diameter are being protected from Heterobasidion spp. infection using biological control agent containing P. gigantea spores. Previous studies have shown that natural P. gigantea infection is not sufficient to effectively control Heterobasidion spp. prevalence in pine stumps. To determine Heterobasidion spp. and natural P. gigantea development in small diameter, different height pine stumps, in three plots 300 pine stumps were analysed, half of them 15 cm high and half – 50 cm high. 120 stumps in two sample plots were treated with Heterobasidion spp. spore suspension and 180 stumps were left untreated for natural Heterobasidion spp. and P. gigantea infections. To analyse mycelial growth all stumps were cut into 2 to 4 cm thick discs (down till root collar).  We determined that in this study P.gigantea natural infection was significantly more prevalent than Heterobasidion spp. natural infection – in only 3% of both treated and untreated stumps after 22 month long incubation period viable Heterobasidion spp. mycelium could be found, but P. gigantea had spread trough 39% stumps. Therefore natural P. gigantea is a significant factor to control Heterobasidion spp. infection in small diameter pine stumps.  Stump height did not significantly influence the development of natural P. gigantea in small diameter pine stumps, but the incubation period did. Compared to results obtained after 22 months, after 28 months the average area colonised by P. gigantea was significantly lower. From all stumps infected by P. gigantea (n=115) in 62,5 % of analysed 50 cm high stumps and in 76,0% of 15 cm high stumps mycelium had spread untill the root collar of the stump. In further reasearch stumps containing viable P. gigantea mycelium could be excavated and their root system analysed to determine the importance of natural P. gigantea in limiting Heterobasidion spp. secondary spread.",0
9,Fizioloģijā balstīta metformīna matemātiskā modeļa izveide pelei un cilvēkam,"Physiology-based mathematical modelling of metformin for mice and human. Author Dārta Maija Zaķe, supervisor, the director of University of Latvia Institute of Microbiology and Biotechnology, Dr.sc.ing. Egils Stalidzāns. Master’s thesis, 68 pages, 83 sources of information, 1 annex, 12 figures and 10 tables. Language – Latvian.    The purpose of the thesis was to find out the concentration dynamics in major compartments of metformin action in the human body. To achieve this goal a physiology- based pharmacokinetic model of metformin was developed using experimental data from mice. Using parameter estimation techniques and the mouse model, plasma-tissue partition coefficients (Ktp) of the major compartments of metformin action were established. A physiology based pharmacokinetic model of metformin in humans was developed by using 10 tissue-specific Ktp values concentration dynamics in the major compartments of metformin action were determined.",0
10,HHV-6 INFEKCIJA UN IEKAISUMA CITOKĪNU IESAISTE AUTOIMŪNĀ TIREOIDĪTA ATTĪSTĪBĀ,"The aim of this study was to evaluate the potential role of HHV-6 (human herpesvirus 6), RANTES chemokine and IL-6, INF-γ, TNF-α proinflammatory cytokines involvement in AIT development. This study included 63 AIT patients and 27 blood donors as control. HHV-6 genome sequence was detected in 58 (92%) AIT patients’ thyroid gland tissue, 10 (16%) blood samples and 3 (11%) in control groups’ blood samples. Active infection was detected in 25/58 (43%) AIT patients’ thyroid gland tissue.  Immunfermentative method based on Luminex technology was used for RANTES chemokine and proinflammatory cytokines detection. Cytokines level in AIT patients’ blood samples was higher compared to blood donors. AIT patients’ RANTES level was lower (median 418,2 [IQR 113,1 – 803,1] pg/ml) compared to control group (median 1346 [IQR 645 – 2503] pg/ml).      This study contains 7 chapter with subdivisions. The totals amount of 42 references, 12 figures were used in this thesis which has 47 pages. This work was done in Rigas Stradins University Institute of Microbiology and Virology.",0
11,Tetrazola analīzes izmantošana orhideju un ziemciešu dzimtas augu sēklu dzīvotspējas noteikšanai,"The determination of the viability of seed with non-differentiated embryos (dust seeds) is complicated due to the small size of seeds and the dependency of seed germination on symbiotic microorganisms. The aim of this work was develop optimal viability testing method using tetrazolium chloride for seeds of different species with non-differentiated seed embryos. According to the purpose of the work, the tasks we-re: to determine the viability of the seeds of certain species of the Orchidaceae family and Pyroloideae subfamily  using tetrazolium chloride test, to examine the effect of pre-incubation in sucrose solution on the activation of the metabolism of the seeds pri-or to the tetrazolium test, and to determine the proportion of germinating seeds in in vitro conditions. The tetrazolium chloride seed viability test is based on the colouring of viable seed cells as a result of the activity of dehydrogenase enzyme. Before colou-ring the seeds with tetrazolium chloride, they were disinfected in sodium hypochlorite (NaClO) solution, which is at the same time chemical scarification of the seeds, with or without prior incubation in sucrose solution. In order to check the effects of chemi-cal scarification on the test results, the duration of disinfection was modified. A spe-cialised N1 medium and Murashige & Skoog medium, supplemented with yeast extract, was used to test seed germination in vitro. Scarified seeds were incubated on the nutrient medium in aseptic conditions. The seeds were germinated at +22 °C with or without prior incubation at +5 °C. The seed activity was determined once a week for 16 weeks by counting the protocorms and separately counting protocorms with developed rhizoids. The percentage of viable seeds determined by the tetrazolium test in different scarification treatments was compared with the protocorm count on the medium. The effects of yeast extract concentration on the protocorm development was tested .",0
