id,title,abstract,is_generated
1,Ēdināšanas uzņēmuma biznesa modeļa maiņa Covid-19 apstākļos,"The ongoing Covid-19 pandemic has disrupted businesses across the world, leading to significant changes in their operations and survival strategies. The food and beverage industry has been particularly hard-hit by the crisis, with many companies struggling to stay afloat amid lockdowns and social distancing measures. This paper examines the shift in business models for a food company in the wake of the pandemic, analyzing the challenges they faced and the solutions they implemented to remain viable. The study highlights the importance of adaptability and innovation in overcoming adversity, as well as the need for a customer-centric approach in the new normal. The findings offer valuable insights into the ways in which Covid-19 has transformed the business landscape and the strategies that companies can implement to navigate these changes successfully.",1
2,Nacionālo bruņoto spēku karavīru motivēšanas instrumentu analīze un pilnveidošanas iespējas,"This analysis delves into various motivational tools that can be implemented to drive the performance and morale of military personnel. By reviewing existing techniques and potential areas for improvement, this study aims to provide insights towards enhancing the efficiency of national armed forces. The analysis also takes into account current trends and best practices within the military field to provide a comprehensive outlook on the topic. Overall, this research can lead to the development of effective motivational strategies that can ensure increased productivity and satisfaction among military personnel.",1
3,AS Citadele Banka motivācijas sistēmas novērtējums,"This study evaluates the effectiveness of the motivational system implemented by AS Citadele Banka. The analysis is based on employee feedback and performance data collected during a six-month period. The results indicate that the motivational system has a positive impact on employee engagement and job satisfaction. However, certain aspects of the system, such as reward distribution and communication, need to be further improved to achieve optimal results. The findings provide valuable insights for the bank to optimize its motivational strategy and enhance organizational performance.",1
4,Personāla mainības problēmas un motivācijas risinājumi valsts pārvaldē,"This research aims to explore the issues of personnel changes within the public sector and provide solutions for maintaining motivation among employees. The study includes analyzing existing data and conducting interviews with employees from various government institutions. The findings suggest that frequent personnel changes negatively impact employee motivation, job satisfaction, and overall organizational performance. Several recommendations are proposed, including improving communication channels, establishing clear career development plans, and providing training opportunities to enhance employees' skills and increase their motivation. The results of this study contribute to the understanding of personnel changes in the public sector and provide practical solutions for management to mitigate their negative effects.",1
5,"SIA ""Gandrs poligrāfija"" konkurences priekšrocības un konkurētspējas analīze","This paper explores the competitive advantages and competitiveness analysis of a particular company in the market. The study delves into the various aspects of the company's operations and identifies its strengths and weaknesses in terms of product offerings, marketing strategies, distribution channels, and customer service. The analysis also involves benchmarking the company against its competitors to understand its market share and growth potential. The paper concludes with recommendations for the company to leverage its strengths and improve its weaknesses to stay competitive in the market.",1
6,Patērētāju uzvedība skaistumkopšanas salona izvēle Rīgā.,"This study analyzes the behavior of consumers when choosing beauty salons in Riga. Through surveys and data analysis, the study identifies the key factors that influence the decision-making process of consumers and the strategies that salons can use to attract and retain customers. The results reveal that convenience, quality of services, and reputation are the most important criteria for consumers when selecting a beauty salon. Additionally, promotional offers and loyalty programs are effective tools for engaging and retaining customers in this increasingly competitive market. The findings of this study provide valuable insights for salon owners and operators looking to gain a competitive advantage in Riga's beauty industry.",1
7,Vietējo interneta veikalu aktivitātes sociālajos tiklos.,"This document explores the social media activities of a group of older internet retailers. Through a series of interviews and observations, it examines how these retailers use social media platforms to market their products, engage with customers, and stay up-to-date with industry trends. The study reveals that while many of these retailers are relatively new to social media, they are quickly learning how to use these platforms effectively. It also highlights the unique challenges faced by this group, such as the need to adapt to changing technologies and the importance of building trust with customers. Overall, the document provides insights into the ways that older retailers are successfully using social media to remain competitive in a rapidly changing digital marketplace.",1
8,Sociālo mediju lietošanas īpatnības Latvijas tirgū,"This study examines the peculiarities of social media usage in the Latvian market. The research analyzes the most popular social media platforms among Latvian users, the frequency and purpose of usage, and the impact on consumer behavior. The findings indicate that social media plays a significant role in shaping consumer behavior and decision-making processes in Latvia. Additionally, the study identifies specific cultural and societal factors that influence social media usage in the country. Overall, this research contributes to a better understanding of social media usage in Latvia and provides insights that can assist companies in developing effective marketing strategies in the region.",1
9,Uzņēmējdarbības vides pilnveidošanas pasākumu plāna Latvijā atbilstība uzņēmējdarbības efektīvai uzsākšanai un veikšanai,"This paper explores the effectiveness of the business environment improvement plan in Latvia to promote successful business start-up and operation. The study investigates the measures put in place to enhance the business climate in Latvia and analyzes how these measures have impacted the country's economic growth and development. Through a comprehensive review of relevant literature and statistics, the study highlights the strengths and weaknesses of the current policies and provides recommendations for further improvement. The findings of this research can serve as a useful guide for policymakers, entrepreneurs, and investors seeking to promote a favorable business environment in Latvia.",1
10,Patērētāju apmierinātības pilnveidošanas iespējas  uzņēmumā Tez Tour.,"This piece explores the various opportunities that businesses have to enhance customer satisfaction. The spotlight is on Tez Tour, a leading company in the travel industry. Through various research methods, including customer survey data and analysis of competitor practices, the article presents a range of strategies that Tez Tour could consider implementing. These include improving customer service, ensuring consistency across their products and services, and adopting new technologies to streamline customer interactions. By enhancing customer satisfaction, Tez Tour has the potential to improve customer loyalty, attract new business, and ultimately gain a competitive edge in the industry.",1
