id,title,abstract,is_generated
1,Ēdināšanas uzņēmuma biznesa modeļa maiņa Covid-19 apstākļos,"Kate Strautniece. Bachelor's thesis: Changing the business model of a catering company in Covid-19 conditions. The aim of the bachelor's thesis is to study the business tendencies of Restaurant ""3"" and to develop proposals for the improvement of the business model. To achieve the goal of the bachelor's thesis, the following tasks are set: 1. to study the theoretical aspect of business models; 2. to analyze the operation of Restaurant ""3""; 3. to perform SWOT analysis of Restaurant ,, 3 ”; 4. to conduct a survey of Latvian entrepreneurs; 5. to conduct interviews with experts in the catering industry; 6. to develop proposals for the improvement of the business of the Restaurant ""3"". The first chapter of the bachelor's thesis summarizes and analyzes the theoretical and scientific literature on change management and business models. In the second chapter, the analysis of the operation of Restaurant “3”, SWOT analysis is performed. In the third chapter, a survey of Latvian entrepreneurs and an interview with experts in the catering industry were conducted, as a result of which proposals for the improvement of the business model were developed. During the research, the author came to the conclusion that the change of business model should focus on the needs of customers, providing both existing demands and thinking about new offers that would meet customer needs. It is important to use all the support provided by the state to make it as easy as possible for companies to survive the Covid-19 crisis. In the context of the Covid-19 crisis, companies need to think about changing their business model, either by developing new business lines aimed at meeting customer needs, or by actively working to create e-commerce, or by expanding a market that recognizes a larger share of customers. The bachelor's thesis is designed in accordance with the methodological instructions of the University of Latvia. The total volume of the work is 71 pages. 16 figures, 2 tables, 82 references and 3 appendix are used in the work.",0
2,Nacionālo bruņoto spēku karavīru motivēšanas instrumentu analīze un pilnveidošanas iespējas,"Edgars Tunķelis. Bachelor’s thesis. Analysis of motivation tools for soldiers of the National Armed Forces and possibilities for improvement. Riga: University of Latvia, 2020. - 57 pp. The aim of bachelor’s thesis is to explore the motivation tools for soldiers of the National Armed Forces, develop propositions that could promote motivation. Following tasks were set to achieve the goal of the work: 1.To study theoretical sources about motivation tools for employees; 2.To study activities of organization of the National Armed Forces and the processes of motivating soldiers; 3.To construct surveys to study the motivation system in the national Armed Forces; 4.To create and analyze an interview with senior management (commander); 5.To develop conclusions and proposals for the improvement of motivation tools in the National Armed Forces. The bachelor’s thesis consists of three sections. In the first section, the author explores the theoretical aspects of monetary and non-monetary motivation. The second chapter dissects activities of the organization’s internal motivation system. In the third chapter, author develops surveys to find out what the motivation of soldiers is, also includes an analyzed interview. Conclusions are compiled and summarized, proposals on motivation tools for soldiers of the National Armed Forces and possibilities for their improvement are developed at the end of the thesis.",0
3,AS Citadele Banka motivācijas sistēmas novērtējums,"Bachelor's thesis is dedicated to motivation system in one of the bigest banks of Latvia AS Citadele Bank  The main purpose of the motivation process is to efficiently make use of the available labor resources and to increase the companies profitability and performance, therefore the author chose to research the motivation system of AS Citadele Bank. The aim of research: based on scientific research and available literature analyze motivation systems of AS Citadele Banka, to provide proposals and conclusions. The objective of thesis: AS Citadele Banka Bachelor thesis consists of introduction, three chapters, proposals and conclusions, bibliography and annexes. In the first chapter the author analyses theories of employee motivation, which affects employee performance and the achievement of companies goals. In the second chapter, the author describes the activities of AS Citadele Bank, evaluates the work results and existing motivation systems performance.  In the final chapter, the author explains used research methods and analyses the research results of AS Citadele Bank motivation system. Bachelor thesis consists of 62 pages, 2 charts, 16 illustrations, 36 literature sources and 1 annex. Key words: employee, staff, emplyee performance managment, performance managment, motivation system, human resources.",0
4,Personāla mainības problēmas un motivācijas risinājumi valsts pārvaldē,"Public administration, staff turnover, more related to solving motivation problems, which negatively affect employees satisfaction with work. Staff turnover is a problem for the institution, but it is possible to tackle this cause which, it is crucial that a motivation method suitable for each employee is being applied so the employee would feel appreciated and their needs would be met. The aim of the Bachelor's thesis is to identify the factors influencing staff turnover, to study the work motivation system, and to develop proposals to address the problem of motivation, staff turnover in public administration. The paper consists of 3 sections. The first and second sections examined the problem of employee turnover, the importance of motivation and different ways of improving the motivation system as well as possible solutions for keeping employees in the public administration.  The third chapter a study was carried out, during which it was discovered that dissatisfaction with pay and lack of motivation are the main factors that cause the employee turnover in the public administration.  The conclusions and proposals have been developed as a result of the research. The paper consists of 70 pages.",0
5,"SIA ""Gandrs poligrāfija"" konkurences priekšrocības un konkurētspējas analīze","The goals of thesis are to explore competitive advantages of “Gandrs poligrāfija” Ltd.”, perform a competitiveness analysis using available data and to develop proposals for maintaining and improving competitiveness of the company under study. In order to determine competiveness and competitive advantages of the company under study against its direct competitors, the author of the thesis compared technical equipment and capabilities of these companies. The study found that the company under investigation is competitive against the background of the industry and its direct competitors, however, its competitiveness tends to decrease. Keywords: competition, competitive advantages, market concentration, printing industry, printing.",0
6,Patērētāju uzvedība skaistumkopšanas salona izvēle Rīgā.,"The subject of the master thesis is “Evaluation of employees’ loyalty at PrivatBank”. The aim of the master thesis is to evaluate the level of employees’ loyalty at PrivatBank basing on theoretical aspects of employees’ loyalty and the results of case study, uncover the shortages and come up with the proposal for improvement of employees’ loyalty in the particular bank in the context of loyal employee behavior. The research consists of three chapters. In the first chapter, the author provides theoretical analysis of employees’ loyalty. The second chapter tackles the current activities and development of PrivatBank. In the third chapter, the author sums up the results of the survey and the interviews with the employees of PrivatBank and comes to conclusions regarding the current level of employees’ loyalty in the bank as well as elaborates proposals for the improvement.",0
7,Vietējo interneta veikalu aktivitātes sociālajos tiklos.,"Bachelor thesis theme is “Local e-commerce web store social media activities in Latvia”. The theme is relevant because both e-commerce and digital marketing, which includes social media marketing, has experienced stable growth ever since it’s intensive growth in popularity in the 1990’s. Bachelor thesis goal is to study theoretical aspects of social media digital marketing and perform analysis on Latvian e-commerce web store activities in social media, based on which deeper understanding of the topic is achieved, so that possible flaws can be spotted, and suggestions given on ways to improve the local web store social media digital marketing activities. The thesis consists of three parts: The first part is an overview and analysis of e-commerce, its specifics, and social media digital marketing. The second part is an in-depth look into the e-commerce and web-store situation in Latvia. The third part consists of author’s field study and conducted survey of participants, and the review of the results. The thesis main 3 parts are further split into 7 sub-sections. The thesis length is 74 pages, the thesis contains 25 images, 35 sources of information, 4 appendices. Keywords: social media, online shopping, e-commerce, digital marketing.",0
8,Sociālo mediju lietošanas īpatnības Latvijas tirgū,"The topic of the bachelor's work is "" Characteristics of social media use in the Latvian market"". The purpose of this work  is to study characteristics, peculiarities of social media in the Latvian market and developement of proposals for Latvian companies on the implementation of marketing communication in social media. The analysis is based on theoretical findings, publicly available statistics and information, social media user survey.  The research problem of this work is the need to implement marketing communication of Latvian companies in accordance with the characteristics and specifics of the use of social media. This work is divided in 3 structural parts. The first part examined the theoretical aspects of social media marketing and socail media as marketing information chanel. In the second part, were highlighted the 3 most important social media platfroms looking from the point of view of the entrepreneur. Was made statistic data research. The third part conducts a study on the characteristics and peculiarity of social media media use in Latvia. The results of the survey and the interview are analyzed. Finally, the work draws the main conclusions about characteristics of social media use and formulates of proposals for Latvian companies on the implementation of marketing communication in social media. The Bachelor’s work has 78 pages. The bibliography used in the work has 66 sources. The work has 20 images and 2 tables.",0
9,Uzņēmējdarbības vides pilnveidošanas pasākumu plāna Latvijā atbilstība uzņēmējdarbības efektīvai uzsākšanai un veikšanai,"The goal of this Bachelor’s thesis is to evaluate the suitability of the tasks proposed by the Cabinet of Ministers of Latvia in ordinance “About the Plan of the Development of the Business Environment from Year 2019 to Year 2022” for stimulating the business activity and reducing the burdens related to doing business in Latvia. The Business Environmental factors are quantitative as well as qualitative, therefore the environment and the differences of it across countries are not quantifiable in an objective manner. How suitable to plan the development of the business environment of a country after is the judicial environmental model represented in Doing Business research publication? The regression analysis performed shows that 3 out of 12 factors derived from the ordinance of the Cabinet of Ministers positively affect the number of new companies registered. It is found out from the survey that, from the judicial factors given, businessmen have a more agreeable attitude overall towards the need for improvement in terms of reduction of tax rate burden and a more effective business environment administration from the public sector. From the micro-environmental factors given, the quality of logistics services as well as suppliers of other services are evaluated as having better quality than the rest. The Mann-Whitney U-test results show that improvements in employment procedures, tax rate burden and the quality of suppliers matter significantly more to businessmen with more years of experience. With the Kruskal-Wallis H-test it’s discovered that improvements regarding business environment administration matter to experienced businessmen more than to businessmen with an average amount of years of experience, but the attitude of the inexperienced businessmen is not significantly different from the groups mentioned before. The author gives proposals for the improvement of construction process, getting electricity and registering property in Latvia.",0
10,Patērētāju apmierinātības pilnveidošanas iespējas  uzņēmumā Tez Tour.,"The aim of the bachelor thesis is to analyse the customers’ satisfaction in the company Tez Tour basing on theoretical aspects of customers’ satisfaction and customers’ survey, uncovering the shortages and provide recommendations for improvement of customers’ satisfaction.   The thesis consists of introduction, three chapters, conclusions and proposals. The first chapter analyses the theoretical issues of customers’ satisfaction and provides the insight in the specifics and differences of services in comparison to goods. The second chapter tackles the company Tez Tour and the customer service particularities. The third chapter sums up the survey results regarding the customers’ satisfaction with received services.",0
