id,title,abstract,is_generated
1,Lietojumprogrammu saskarnes balstīta tīmekļa izstrādes izpēte un implementācija,"This study explores the development of web interfaces based on application program interfaces (APIs). The research delves into the different methods of implementing web development based on existing APIs and examines the impact of these methods on the user interface and user experience. The study also looks at how design principles and user-centered design can be integrated into the development process to create a more effective, engaging, and user-friendly web interface that meets the unique needs of users. The implementation of the research findings is discussed, as well as the potential for future research in this area.",1
2,Daudzskatu sistēma cilvēka ķermeņa stāvokļa reģistrēšanai,"This system utilizes numerous sensors to continuously monitor and record various aspects of an individual's physical state. The data is processed and analyzed to provide insight into the person's health and wellbeing. The technology can be seamlessly integrated into everyday life, providing a non-invasive way to track vital signs and identify potential health issues before they become more serious. With its ability to accurately and automatically monitor a wide range of bodily functions, this system has the potential to revolutionize the field of healthcare and improve overall quality of life.",1
3,Kredītkaršu maksājumu krāpniecisko darījumu atpazīšanas algoritmu salīdzinājums,"This study compares several algorithms designed for the detection of fraudulent credit card transactions. The analysis is based on real data collected from various financial institutions and simulations of different fraud scenarios. The performance of each algorithm is evaluated in terms of accuracy, precision, recall, and F1-score. Results show that some algorithms outperform others in detecting certain types of fraud while others perform well in identifying a wide range of fraudulent activities. The study provides insights into the strengths and weaknesses of different fraud detection algorithms, which can be helpful in choosing the most appropriate algorithm for a given situation.",1
4,IT palīdzības dienestos pielietoto tehnoloģiju izpēte,"The study examines the latest IT technologies used in help desk services. Through a comprehensive review of literature and interviews with industry experts, this study aims to identify the most valuable technologies and their benefits in improving the overall performance of IT help desks. The findings reveal that the successful implementation of IT technologies such as chatbots, knowledge management systems, and remote access tools can enhance the efficiency, effectiveness, and customer satisfaction of IT support services. Moreover, this study provides practical recommendations for the adoption and utilization of these technologies in IT help desk services.",1
5,Tīmekļa lapu veidošanas metožu efektivitātes salīdzinājums,"This research aims to compare the effectiveness of different methods of creating web pages in terms of their usability, load times, and overall user experience. The study involved a series of experiments where participants were asked to perform specific tasks on web pages created using various methods. Results indicate that certain methods were more effective in enhancing user experience and reducing load times than others. The findings of this study provide valuable insights into the design and development of web pages to enhance user engagement and drive better results.",1
6,Šķērsplatformu izstrādes rīku salīdzinājums mobilās lietojumprogrammas rakstīšanai,"This study compares several development tools for creating mobile applications using cross-platform frameworks. The aim of the research is to shed light on the most appropriate tools for implementing mobile apps with maximum efficiency. A set of criteria is established for evaluating the features and functionalities of each tool, including ease of use, interface design flexibility, debugging capabilities, and performance. The results of the analysis indicate that certain tools outperform others in terms of overall quality and effectiveness. The findings of this research can assist developers in making informed decisions when selecting the most appropriate tools for their mobile application development projects.",1
7,Emocijvārdu semantika latviešu valodas tīmeklī: dažāda satura tipa blogu atšķirības,"This study aims to explore the differences in emotional word usage and semantics in various types of Latvian language blogs on the web. Through a computational linguistic analysis, we will examine the frequency and patterns of emotional words used in blogs with different content themes. The results of this research will shed light on the emotional expression and communication style in Latvian language blogs and provide insights into the role of emotions in digital communication.",1
8,"Dinamisku tīmekļa risinājumu izstrāde Ruby on Rails ietvarā, izmantojot WebSocket tehnoloģiju","This development project focuses on creating dynamic web solutions using the popular Ruby on Rails framework. One main feature being utilized in this project is WebSocket technology, which allows for real-time communication between server and client. The purpose of this project is to create a responsive and interactive web application for users, with the ability to receive and send data without requiring constant page refreshes. The end goal is to showcase the potential of combining Ruby on Rails with WebSocket technology to create powerful and modern web solutions.",1
9,Ēšanas tvītu modelēšana ar mašīnmācīšanās metodēm,"This study explores the use of machine learning techniques for modeling tweet sentiment. The focus is on modeling the sentiment of tweets related to food and dining experiences. The study employs several machine learning algorithms and techniques, including text processing, feature extraction, and classification. The experimental results demonstrate the effectiveness of the proposed approach in accurately predicting tweet sentiment with a high degree of accuracy. The findings of this study have significant implications for the use of machine learning in social media analytics and sentiment analysis. Overall, the study highlights the potential of machine learning to automate and improve sentiment analysis of social media data.",1
10,Piekļuves sistēmas arhitektūras drošības riski un analīze,".This analysis explores the potential risks associated with the architecture of access systems. The study seeks to identify vulnerabilities and propose solutions to mitigate security threats. The analysis emphasizes the importance of a robust security system to safeguard against potential data breaches and unauthorized access. As businesses and organizations increasingly depend on access systems, implementing effective security measures is critical to protect sensitive data and information. This paper offers recommendations for improving system security and protecting against potential cyber threats.",1
11,Studējošo jautājumu dabiskās valodas analīze,"This study aims to analyze the natural language used by students when asking questions. The sample was composed of a group of participants from different fields of study, including humanities, social sciences, and natural sciences. The analysis focused on the frequency, structure, and lexical choices used by the students in their questions. The results showed that there were differences in the language used by students from different fields of study. Humanities students tended to use more complex sentence structures and a wider range of vocabulary, while natural sciences students used more simplistic language, often relying on technical jargon. The findings of this study could have implications for improving communication skills in students and for designing more effective teaching strategies in higher education.",1
12,"Cilvēka kustību novērošana, izmantojot inerciālos sensorus","The study focused on monitoring human movement patterns using inertial sensors. The research aimed to explore the practicality of using inertial sensors as a non-invasive approach to observe and analyze human kinematics. The study involved collecting data from a group of participants performing various activities such as walking, running, and jumping. The results showed promising outcomes in using inertial sensors to observe human motion, paving the way for potential applications in healthcare, sports science, and rehabilitation programs.",1
13,Maskēšanas rakstu noteikšana attēlos,"This study focuses on identifying patterns in images where masks are present. Using a combination of machine learning algorithms and human annotation, we were able to accurately determine the location and shape of masks in various types of images. The results of this study can be applied to a wide range of fields including computer vision, medical imaging, and facial recognition technology. By understanding how masks are depicted in images, we can improve the accuracy and efficiency of these technologies and ultimately enhance their overall performance.",1
14,Skeitborda triku klasifikācijas metodes izmantojot mašīnmācīšanos ar IMU sensoru datiem,"This study presents a classification method for skateboard tricks using data from an IMU sensor. Machine learning algorithms were applied to the collected data, with the aim of accurately classifying different types of skateboard tricks based on their unique movements and patterns. The results of this study showed that the proposed method is effective in classifying skateboard tricks with a high degree of accuracy. The study suggests that this method could have practical applications in the development of automated systems for skateboarding competitions, training, and analysis.",1
15,Reālā laika pārraudzības sistēmas “Monasca” ieviešana,"This paper presents a brief overview of a new system implementation process that involves Monasca - a real-time monitoring and alert system. The aim of the project is to improve the efficiency of data collection in a live environment, especially in situations where time is of the essence. The implementation process involves integrating Monasca with the existing system architecture, configuring the system, and setting up the parameters for monitoring. The paper discusses the benefits of using Monasca, including its scalability, flexibility, and ability to detect anomalies in real-time. The overall project aims to streamline the monitoring and alerting process, leading to quicker incident response times and improving overall system performance.",1
