id,title,abstract,is_generated
1,Lietojumprogrammu saskarnes balstīta tīmekļa izstrādes izpēte un implementācija,"The thesis studies application programming interface driven web development, researching and analyzing the most popular types and implementations of application programming interfaces, the diversity of their architectures, integration possibilities and development approaches that are implemented in the modern Internet of Things, primary focusing on web-based application programming interfaces. The paper researches and compares REST, WSDL, SOAP, RPC and other less popular types of web application programming interface solutions, focusing most on REST, which was used to implement the final solution.  As a result, strengths, weaknesses, future perspectives are defined and a web-based prototype of the application interface is developed.",0
2,Daudzskatu sistēma cilvēka ķermeņa stāvokļa reģistrēšanai,"A MULTIVIEW SYSTEM FOR CAPTURING HUMAN BODY POSITION To make it possible to create a specific dataset of human poses, there is necessity for multi-view studio, which is the purpose of this paper. Research looks at the topic importance, looks at the other multi-view studios, and how it has been carried out. Describes what hardware and software is needed. Defined the biggest challenges for creating a multi-view studio from the software and hardware side, which is to determine the location of cameras in the space. As well as described potential future researchs.",0
3,Kredītkaršu maksājumu krāpniecisko darījumu atpazīšanas algoritmu salīdzinājums,"The aim of this master’s thesis is to compare the forecasting processes in case of fraudulent credit card payment detection and to conduct a practical study of the methods used. Most widely used classification algorithms in the context of credit card payment data were analyzed and quantitative measures were defined for the comparative analysis. Practical experiments were conducted with the classification methods and approaches described in the work, analyzing the credit card payment data available to the author. The necessary pre-processing of data was described in detail, focusing on the relationship and relevance of data in payment processes.  Analysis, comparison of the accuracy, functionality, and usage potential of the models were conducted. The results obtained show the strengths and weaknesses of each method, indicating the shortcomings to be addressed and the potential for method usage.  The work contains 67 p., 6 tables, 68 figures and 7 appendixes. Keywords: credit card payments, classification methods, confusion matrix, Python programming language",0
4,IT palīdzības dienestos pielietoto tehnoloģiju izpēte,"The Bachelor thesis provides an insight into what is help desk and what is its role. 6 (Jira Service Desk, Freshdesk, Zendesk, JitBit, Talkdesk, CloudTalk) ticketing and call center programs were described. A description of the functions of the platforms was made and their capabilities were compared. The study describes platforms used in a real helpdesk, performed a performance assessment and drew conclusions on whether something will improve if platforms got replaced with the newest help desk software. The aim of the bachelor's thesis is to study what technologies are used in IT help desks, to provide an insight into the possibilities provided by the platform.",0
5,Tīmekļa lapu veidošanas metožu efektivitātes salīdzinājums,"Nowadays there are so many ways to create a web page. Often developers choose the methods because of Pieejams templates and frameworks. Few of the most popular technologies is not the most efficient in terms of web page download time. Although it heavily depends on reason why the wep page was created altogether. If resource allocation is beneficial or no. Technological download time efficieny in creating wep pages using HTML, PHP and JS with the same functionality.",0
6,Šķērsplatformu izstrādes rīku salīdzinājums mobilās lietojumprogrammas rakstīšanai,"The mobile application market is growing rapidly, and there is great demand for rapid development of high-quality applications. In addition to native development approaches, where an application can only be created for only one specific mobile platform, cross-platform mobile development approach alongside the available development tools are gaining their popularity.  The aim of Bachelor Paper is to explore and provide overall overview on some of the available cross-platform development tools, as well as in detail analyze two cross-platform development tool, to provide tool comparison results. As a result of this work four instances of simple one page application have been developed using multiple frameworks,. Applicaitons that were developed using native approach (Android and iOS), were used as a point of reference during the analysis of chosen cross-platform tools,  and two more applicaitons were developed with help of cross-platfrom tool: Flutter and ReactNative.  The comparison revealed the differences in development process and overall performance of applications, that were created using chosen cross-platform development tools.  Keywords:   Cross-platform, Native, IOS, Android, Flutter, Xamarin, NativeScript, Titanium,  ReactNative, mobile app development, single code base",0
7,Emocijvārdu semantika latviešu valodas tīmeklī: dažāda satura tipa blogu atšķirības,"The purpse of this Bachelor’s thesis is to research the semantics of emotion words in different types of blogs available in latvian web. To achieve it a language corpus, consisting of different blogs in Latvian, will be created. Multiple emotion words will be chosen after reviewing differnet models of emotions. The semantics of these words will be researched in the sub-corpora of the corpora created. When comparing the semantics of the emotion words concordance list for each sub-corpora will be reviewed. As a result we will find out whether the semantics of emotion words differs in different types of blogs. Multiple tools intended to ease the creation of language corpora from web materials will be created. A web page intended to store and provide word frequency and concordance lists will be created as well.",0
8,"Dinamisku tīmekļa risinājumu izstrāde Ruby on Rails ietvarā, izmantojot WebSocket tehnoloģiju","In this bachelor's thesis the author examined the WebSocket protocol solutions used for developing dynamic systems when using the Ruby on Rails framework - the ActionCable library, which is already built into Ruby on Rails, and the AnyCable library which is an extension of the ActionCable library developed by the community. The Anycable library can be utilised in tandem with one of the already existing AnyCable-compatible servers, that have been developed by the authors of Anycable, or alternatively, one can develop a custom Anycable-compatible server. Resulting from this bachelor's thesis the author developed a new Anycable-compatible server using the Rust programming language. The created server performs comparatively to the already existing solutions, having better results in benchmarks, due to the properties of the Rust programming language.",0
9,Ēšanas tvītu modelēšana ar mašīnmācīšanās metodēm,"The thesis describes the processing and modeling of a specific data set from the microblogging site Twitter, which is about food and eating / drinking topics using machine learning methods. At the beginning of the work, the obtained data set is studied, and a data corpus is created from it. This corpus is analyzed in various cross-sections and published publicly to other interested parties. As one of the machine learning models, a sentiment analyzer is developed, which determines the mood of the tweet. The maximum efficiency in the development process has been that the model has been able to evaluate more than half of the evaluation data correctly by assembling several tweet data sets together.",0
10,Piekļuves sistēmas arhitektūras drošības riski un analīze,"SECURITY RISKS AND ANALYSIS OF ACCESS SYSTEM ARCHITECTURE The bachelor's thesis contains research on a such problem as analyzing the security of an access system. The task is to study the risks of the contactless access system architecture that could threaten the overall security of this system and to understand how to manage and prevent these risks already in the architectural development phase. To perform a security analysis of the system architecture, analysis methods are needed to analyze and determine the security of the access system. Within the work, three architectural security analysis methods are investigated, one of which is used to determine the security of the access system. As a result of the work, an analysis of the risks of the contactless access system architecture was created, using one of the researched analysis methods and the obtained weakness information.",0
