id,title,abstract,is_generated
1,"Spēles ar nepilnīgu informāciju, Texas holdem spēles situāciju modelēšana","The bachelor's thesis studies opponent modeling methods to solve and analyze the types of player strategies. To do this, it is necessary to describe and study Game Theory. For a clearer context, the concepts of game theory, game classification, games with incomplete information are examined, which also includes the consideration and application of the Bayesian formula in practice, which is necessary to successfully study the game under study. The type of poker used as the research game is Texas Hold'em, the rules and course of which are described in the work. For this game, methods of modeling opponents have been developed and the probabilities of winning at certain game variants have been calculated. At the end of the work, a 2-player game is simulated to practically view the described models.",0
2,Priekšējās kameras kakta novērtēšana ar optiskās koherences tomogrāfu,"Bachelor thesis is written in Latvian on 28 pages, contains 13 figures, 3 tables, 46 references. The aim and objectives of the study were to assess the presence of eccentric fixation in children with amblyopia using the Visuoscopy and macular integrity test methods. Evaluate whether the value of eccentricity corresponds to visual acuity, study the significance of the macular integrity test, the possible application in the field of vision. All participants were assessed for visual acuity in the distance, near, binocular, stereovision functions, type of fixation, and occlusion therapy was prescribed. Analyzing the results of the methods, it was observed that not all children with amblyopia have eccentric fixation. The results confirm the hypothesis: by assessing the presence of eccentric fixation in children with amblyopia, it is possible to predict an improvement in visual acuity after treatment.",0
3,Ambliopija un ekscentriskā fiksācija bērniem,"This thesis takes a look at two role-playing games: Pathfinder 1st Edition, or 1E, and Dungeons& Dragons 5th Edition, or 5E. Specifically comparing the creatures in both games, with the intent of coming to a conclusion - are they, and as a result - are the games among themselves statistically significantly different from each other or not. In order to accomplish this goal data was gathered from both games - the creatures’ main characteristics and where necessary additional calculations were made in order to assess and compare their capabilities in both cases. The mathematical tools used in these comparisons: T-test, Wilcoxon test, Kolmogorov-Smirnov test,TOST test; as well as where applicable graphical analysis was used: histograms, correlation representation, box plots, etc.",0
4,Divu lomu spēļu statistiska salīdzināšana,"The Bachelor’s thesis looks at the theory of Markov models with absorbing states, with the objective to use such models in higher education analysis. Data used in this paper was obtained from the faculty of Physics, Mathematics and Optometry at the University of Latvia and it contains the length of studies of students who enrolled at the faculty during the period from 2006 to 2016. Appropriate Markov model was fitted to each of the faculty’s study programmes with which students’ progression towards completing the study programme was analysed, in addition, the fraction of students who graduated was calculated. Conclusions were drawn on the biggest obstacles for successfully graduating a study programme and what in the study process could be improved.",0
5,Studentu augstākās izglītības mācību procesa analīze izmantojot Markova ķēdes,"The Master thesis is written in English on 35 pages. It contains 19 tables, 2 appendixes, and 16 references.  The aim of the thesis is to investigate the prevalence and types of accommodative and vergence dysfunctions among students in Baku city capital of Azerbaijan. 192 participants (15-36 years old) had participated in free eye examinations where detailed refractive, accommodative and vergence examination was performed. The results demonstrate that 51 ± 4% of participants have accommodative or vergence dysfunctions or their combinations. The most dominant dysfunctions are accommodative excess and convergence insufficiency. There are no effect of gender or age of the participant on the prevalence of the accommodative and vergence dysfunction.",0
6,Akomodācijas un verģences sistēmas darbības traucējumu izplatība Azerbaidžānā,"Each year, increasing demand for energy, in regards to the increasing global population and non-stopping industrialisation, leads to a search for ways to acquire energy in the most environmentally friendly way. Gasification is expected to become more demanding as a way of generating energy in the future, since the use of different types of biomass, including organic waste, can be used as a raw material to avoid the over-consumption of fosil fuels. While gasification is a long-known way of generating energy, its control is complicated. In recent years, mathematical models have been used to better understand and optimize the process, which can predict the effects of changing different parameters on the process. Euler-Lagrange method using ANSYS Fluent software was used to create a simplified 2D entrained flow gasifier model. The calculation showed that the model created was able to predict the dependency of the composition of syngas on the various amounts of oxidant. However, the model only yielded good results in the diapazon of low temperatures.",0
7,Homogēnu un heterogēnu reakciju modelēšana gazifikācijas procesā,"Thesis outlines an estimation of a probability density function and nonparametric regression function with the kernel smoothing and empirical likelihood methods. A simulation study was performed which shows that the empirical likelihood function method works well with respect to density and regression function estimation and yields good results for the coverage accuracy. Over the course of the paper, a practical application for the number and density evaluation of biological populations and biological data regression analysis. An application of empirical likelihood function was defined when extra distributional information is available. The necessary algorithms for practical implementation of the kernel smoothing and empirical likelihood methods are provided.",0
8,Empīriskās ticamības funkcija kodolu gludināšanas metodēm,"In this master's thesis, the process of heat transfer and radiation transfer for the heat conduction equation is considered, with which mathematical models are further developed. First, the discrete Laplace operators for the thermal conduction equations are represented by graphs. Mathematical models for discrete cases with and without source members were developed and their numerical experiments were performed. With Fourier's law, the flow of heat was discretization from one vertex of the graph to another. Then the shading effect and radiative transfer are considered and simulations of the models are performed with the method of lines in the MATLAB software package. Describes the relationship between heat conduction equations on graphs and metric graphs. Finally, the principle of maximum for temperature is obtained.",0
9,Siltuma ģenerēšanas un pārneses procesu modelēšana grafos,"In this thesis numerical calculations of paramagnetic particle movement in a rotating magnetic field are made. In the model particles are in a viscous fluid and have one axis magnetic anisotropy. Movement of particles in chain can be divided in modes where particle anisotropy axis rotates synchronously and asynchronously with the field. The stability of chain due to the mode of the movement of the particles is studied. Maximal or critical length of a stable rotating chain has been obtained depending on the field rotation frequency for different particle anisotropy parameters. These numerical results have been compared with analytical results. Randomly arranged particles form planes in the rotating field. In these planes particles create chains. After gathering chain length statistics for a long simulation time, a typical chain length can be observed, depending on the field rotation frequency. The typical chain length is less than the critical by almost a constant value. All the simulations have been done with an author's made computer software.",0
10,Paramagnētisku daļiņu ķēdes rotējošā laukā,"This work covers studies on three of the newest and commonly used gradient boosting algorithm implementations: XGBoost, LightGBM and CatBoost. Algorithms are studied and compared by their training speed, precision and overfitting properties. Algorithm common hyperparameter effect on these metrics is analysed and compared as well. Based on the results, some recommendations are given for hyperparameter tuning. The second part provides analysis on feature importance estimation method based on game theory's Shapley values. Confidence intervals are then determined for acquired importances, using bootstrap resampling method.",0
