id,title,abstract,is_generated
1,SEM-EDX metodes izmantošanas iespējas atmosfēras aerosolu sastāva analīzē,"This research explores the capabilities of Scanning Electron Microscopy and Energy Dispersive X-ray Spectroscopy for analyzing the chemical composition of atmospheric aerosols. The study focuses on the applicability of these methods in determining the presence of various elements in aerosols, their size distributions, and sources in different atmospheric conditions. The results indicate that SEM-EDX techniques offer a valuable tool for investigating the complex chemical composition of atmospheric aerosols, allowing for improved characterization and understanding of their impacts on air quality and human health.",1
2,Sabiedrības līdzdalība klimata pārmaiņu pārvaldībā Latvijā,"This study explores the level of societal participation in the management of climate change in Latvia. Using a qualitative research approach, interviews were conducted with key stakeholders including policymakers, representatives from non-governmental organizations, and members of the public. The findings indicate that while there are some efforts to involve society in climate change management, the overall level of participation remains low. There are various factors that contribute to this, including a lack of awareness among the general public about the importance of climate change, limited resources allocated to public engagement initiatives, and a lack of systematic mechanisms for involving society in decision-making processes related to climate change. The study concludes by emphasizing the need for increased efforts to involve society in climate change management in Latvia and the importance of developing effective mechanisms for promoting public engagement.",1
3,Iekšzemes migrācijas un svārstmigrācijas ģeogrāfiskā struktūra un iezīmes apvienotajā Bauskas novadā,"This study investigates the geographic structure and characteristics of internal and pendulum migration in the combined Bauska district. Through analyzing various demographic and sociological data, the study identifies key trends and patterns that help to explain migration behavior in the area. The findings highlight the importance of economic factors, such as employment opportunities and wage differentials, in driving both types of migration. Additionally, the study reveals interesting patterns of demographic change, such as the aging of the population in certain areas and the influx of younger families in others. Such insights can inform policy decisions related to regional development and urban planning.",1
4,"Iedzīvotāju izvietojums, mobilitāte un ģentrifikācija: Brasas un Grīziņkalna gadījuma izpēte Rīgā","This research study explores the patterns of population distribution, mobility and gentrification in the neighborhoods of Brasas and Grīziņkalns in the city of Riga. The research focuses on analyzing the demographic changes, cultural dynamics and economic factors that contribute to the transformation of these neighborhoods. The study employed both qualitative and quantitative research methods to gather data on the subject. The findings reveal that the process of gentrification is complex and involves multiple factors, including socioeconomic status, cultural preferences, location and transportation. The study also shows that the mobility patterns of the residents play a significant role in shaping the neighborhoods and their social identities. This research contributes to the field of urban studies by providing insights into the urban dynamics of Riga and the challenges faced by urban planners and policymakers in managing urban transformation processes.",1
5,Videi draudzīgu sapropeļa skaņas absorbcijas kompozītmateriālu izveide un to mikrobioloģiskā noturība,"This study aims to develop composite materials that can absorb sounds in video conferencing environments. The research team investigated various materials and their acoustic properties to find the most suitable combination for sound absorption. Additionally, the team tested the microbial resistance of the created composite materials to ensure their durability and longevity. Overall, this study could have significant implications for improving audio quality in video conferencing and other multimedia applications.",1
6,Makrofītu temporālās mainības ietekme upju ekoloģiskā stāvokļa noteikšanā: Bērzes upes piemērs,"This study examines the impact of temporal changes in macrophyte communities on the ecological state of rivers, using Bērze River as a case study. Comprehensively assessing macrophyte community composition and biogeochemical variables over different seasons, the research uncovers significant temporal fluctuations in macrophyte biomass and diversity, and algal bloom occurrences. These temporal changes in macrophyte composition and productivity were found to exert a significant influence on river water quality and ecological health, as evidenced by changes in water chemistry and macroinvertebrate communities. The findings highlight the need for long-term monitoring of aquatic macrophyte communities and their interactions with other biotic and abiotic factors to better understand and manage river ecosystem health.",1
7,LED gaismekļu izmantošanas iespējas bērzu un apšu in vitro pavairošanas procesā,"This research delves into the possibilities of using LED lighting in the in vitro propagation process of birch and aspen trees. The study explores the effects of different light wavelengths on the growth and development of plant tissues. Results show that LED lighting can potentially enhance the formation and elongation of shoots in both birch and aspen cultures. Moreover, the study notes that LED lighting can minimize plant tissue hyperhydration, which is a common problem encountered in tissue cultures. The use of LED technology in plant propagation has the potential to revolutionize the traditional methods of plant tissue culture and improve the efficiency and quality of seedling production.",1
8,Iekštelpu gaisa kvalitātes novērtējums publiskās izklaides vietās,"This study analyzed the indoor air quality in public entertainment areas in the city. The research involved taking measurements of airborne pollutants such as carbon dioxide, carbon monoxide, and humidity levels. The data collected was then compared against the recommended standards provided by air quality regulations. The study revealed that the levels of CO2 and humidity were high in most of the public entertainment venues. The findings of this research are expected to help improve indoor air quality in public places and reduce health risks for individuals attending events in these venues.",1
9,Ausainās pūces (Asio otus) gredzenošanas fenoloģija un to ietekmējošie faktori,"This study analyzes the phenology of the Asio otus, commonly known as the long-eared owl, and the factors that influence their nesting behavior. Data was collected from multiple breeding sites in Latvia over the course of several years. The study found that the timing of nesting for Asio otus is heavily influenced by environmental factors such as temperature and precipitation. Additionally, the availability of suitable habitat plays a crucial role in determining the success of breeding efforts. These findings provide valuable insights into the ecology and conservation of this species.",1
10,Sensoro metožu izmantošanas iespējas atmosfēras piesārņojuma novērtēšanā,"This research explores the possibilities of using sensors to assess air pollution levels in urban areas. The study analyzes the effectiveness of various sensor technologies in measuring pollutant concentrations, and considers their suitability for real-time monitoring. By identifying the strengths and limitations of different sensor systems, the research offers insights into the potential applications of sensor technology in urban environmental monitoring. Ultimately, the findings of this research contribute to a better understanding of how sensor-based approaches can be used to improve air quality and public health.",1
11,Zemes lietojuma veidu ietekme uz ezeru ekoloģisko kvalitāti Gaujas upju baseinu apgabalā,"This study aims to investigate the influence of land use types on the ecological quality of lakes in the Gauja River basin area. The research carried out includes field observations, water quality measurements, and land use mapping. The results suggest that human activities such as agriculture and urbanization have a significant impact on the water quality of the lakes. Specifically, increased nutrient and pollutant loads were found in lakes surrounded by agricultural and urban areas. The findings of this study can provide valuable information for policymakers and environmental managers in designing effective strategies to maintain and improve the ecological quality of lakes in the study area.",1
12,Latvijas ozolu audžu ekosistēmu augšņu raksturojums,"This study provides a comprehensive characterization of the tree layer in Latvian oak forest ecosystems. Through extensive field observations and measurements, we assessed various parameters such as tree density, height, diameter, and overall vigor. Furthermore, we analyzed the species composition and identified key species that play critical roles in shaping the forest structure and biodiversity. Our results not only provide valuable insights into the ecological processes and dynamics of oak forests but also lay the groundwork for effective and sustainable forest management practices in the region.",1
13,Zivju sugu aizsardzība NATURA 2000 teritorijās: Latvijas piemērs,".This study highlights the importance of protecting fish species in NATURA 2000 territories, using Latvia as an example. The research examines the state of Latvia's fish populations in NATURA 2000 areas, as well as the effectiveness of current conservation measures. The study identifies key threats to fish species, including habitat loss and degradation, unsustainable fishing practices, and pollution. It suggests a range of interventions to promote the conservation of fish populations in NATURA 2000 territories, including habitat restoration, improved fishing regulations, and public education and awareness. Overall, the study emphasizes the critical role that NATURA 2000 areas can play in protecting fish species and the need for ongoing conservation efforts to ensure their long-term survival.",1
14,Dolokrēti un to izplatība devona Amatas svītas ģeoloģiskajā griezumā Amatas upes baseinā,"The study focuses on the distribution and characteristics of dolocretes in the Devonian Amata Suite geological section located in the Amata River Basin. The research involved the examination of sedimentary rocks from various depths, using petrographic and geochemical analyses. The results indicate that the dolocretes found in the area have distinct mineral compositions and are formed by different processes. The information gained from this study will contribute to a better understanding of the geological history of the Amata River Basin and can also provide insight into the mechanisms of dolocrete formation in similar environments.",1
15,Augu darbības pazīmes vidējā devonā Latvijā,"This study aims to explore and analyze the signs of geological activity during the Middle Devonian period in Latvia. The research was conducted using various geological and paleontological methods to examine the rock formations and fossils found in the region. The results indicate that the region experienced significant tectonic activity during this period, with evidence of faulting and uplift. Additionally, the study found evidence of sedimentation in shallow marine environments, which suggests that the region was once covered by a shallow sea. The findings of this research provide valuable insights into the geological history of the region and contribute to our understanding of the broader geological processes that shape our planet.",1
16,Devona Pļaviņu svītas dolomītu fizikāli mehāniskās īpašības,"This study aims to investigate the physical and mechanical properties of dolomite from Devona Pļaviņu svītas. A series of experiments were conducted to determine the compressive strength, tensile strength, and elastic modulus of the dolomite samples. The results suggest that the dolomite is a strong and durable material with a high resistance to deformation and fracture under stress. Additionally, the microstructure analysis revealed that the dolomite is composed of tightly packed grains with minimal porosity, indicating high density and stability. Overall, the findings from this study provide valuable insights into the engineering properties of dolomite and may have implications for its use in various construction and industrial applications.",1
17,Laugas purva ūdens un kūdras ķīmiskais sastāvs,"This study investigates the chemical composition of groundwater and peat soil from a specific region. Samples were collected and analyzed in order to determine the levels of various elements and compounds present. The results show distinct differences between the two types of samples, with groundwater containing higher concentrations of certain ions while peat soil contains more organic compounds. These findings have potential implications for understanding the natural ecosystem of the region and the impacts of human activities on water and soil quality.",1
18,Sadzīves notekūdeņu apsaimniekošanas tiesiskie aspekti decentralizētajās kanalizācijas sistēmās Latvijā,"This document examines the legal aspects involved in managing household wastewater in decentralized sewage systems in Latvia. The study covers various legal frameworks, regulations, and policies related to wastewater management, with a focus on the challenges and limitations of decentralized systems. The analysis also includes a review of the role of government agencies, local authorities, and private entities in the implementation of wastewater management regulations. Additionally, the study highlights some of the environmental and public health concerns associated with poor wastewater management and the need to prioritize sustainable and efficient decentralized sewage systems. The findings of this research have significant implications for policymakers, stakeholders, and communities involved in wastewater management in Latvia.",1
19,Lielmēroga dzīvojamo rajonu pārmaiņu procesi: Iļģuciema piemērs Rīgā,"This study investigates the transformation processes of urban residential districts, specifically focusing on the example of Iļģuciems in Riga, Latvia. Through a qualitative analysis, the research aims to explore the reasons for the changes that have occurred in the district, including urban development and social factors. The study also considers the impact of the changes on residents, the physical environment, and the local community. Overall, the findings reveal the complex and multi-dimensional nature of urban transformation processes, highlighting the important role of social and economic factors in shaping the urban landscape.",1
20,Piekrastes pārvaldības novērtējums un attīstības priekšlikumi Jūrmalas pilsētas pašvaldībā,"This paper presents an evaluation of an administrative process and offers recommendations for its development in a local municipality. The evaluation utilizes a thorough analysis of the current state of the process, including its strengths and weaknesses. Various factors affecting the process are examined, and recommendations focus on improvements that could be made to enhance efficiency and effectiveness. Practical solutions for implementing these recommendations are also provided. This study aims to contribute to the betterment of the local municipality, ensuring its success and progression.",1
21,"Humusvielu biostimulējošās aktivitātes novērtējums, izmantojot dīgšanas testus","The study evaluated the biostimulatory activity of humic substances using germination tests. The goal was to determine the effectiveness of these substances in promoting plant growth and development. The results showed that humic substances had a positive impact on seed germination and early plant growth. These findings suggest that humic substances could be a promising tool for enhancing crop yields and improving agricultural sustainability. Overall, the study provides valuable insight into the potential of humic substances as biostimulants and highlights the need for further research in this area.",1
22,"Latvijas zemes izmantošanas un zemes izmantošanas maiņas matricas izveidošana, izmantojot meža resursu monitoringa ģeotelpisko informāciju","This abstract discusses the creation of an innovative tool that utilizes geospatial data from forest resource monitoring to develop matrices for land use and land use change in Latvia. The tool aims to provide a comprehensive view of the current usage of Latvian land and predict future changes based on current trends. The matrices provided can be used to inform policymakers and conservationists on the impact of human activities on the natural environment, allowing for informed decision-making and sustainable land management. The tool's development highlights the importance of using modern technology in environmental conservation efforts.",1
23,Trokšņa piesārņojums Cēsu pilsētas parkos,"This study investigates the level of noise pollution in park areas of a certain city. The aim of the research is to identify the sources of noise pollution which affect the park environment and to determine its impact on visitors and on the park's natural elements. The research is based on data collected from sensors that measure noise levels in four different parks. The analysis of the data shows that the noise level in the parks exceeds the recommended limits, with traffic being identified as the main source of noise pollution. This research highlights the need for measures to reduce noise pollution in order to protect the park environment and to improve the quality of life for visitors and wildlife.",1
24,Ikdienas skriešanas prakses pilsētvidē:Pārdaugavas piemērs,"This study explores the concept of urban running and its benefits to the community. Using the neighborhood of Pārdaugava as a case study, the research examines the factors that encourage or discourage individuals from participating in urban running. The study also investigates the impact of urban running on the physical health and mental well-being of participants, as well as its benefits to social and community development. Through qualitative and quantitative analysis, this research aims to provide insights for city planners and policymakers to create more supportive environments for urban running in city neighborhoods.",1
25,Ciemu plānošana viedai attīstībai,"This research explores the planning strategies for smart development. The study emphasizes the need for planning that takes into account the latest technological advancements and considers the social and economic impacts of those solutions. The results suggest that successful planning requires collaboration between stakeholders to create a comprehensive and fluid approach to development. Additionally, the study underlines the importance of adaptive planning techniques in rapidly changing environments. Overall, the research provides valuable insights into the planning strategies that can be applied to smart development.",1
26,Mežsaimnieciskās darbības ietekme uz melnā stārķa Ciconia nigra L. dzīvotnes ainavas izmaiņām nākotnes scenārijā,"This study examines the potential effects of forestry operations on the habitat of black storks in the future. The black stork population has been declining and their habitats are becoming increasingly fragmented due to anthropogenic activities like logging, land-use changes, and urbanization. Using landscape modeling tools, we investigated how different scenarios of forest management can impact the distribution and quality of black stork habitats over time. Our results suggest that sustainable forest management practices can help to maintain suitable conditions for black storks and support the conservation efforts aimed at their recovery.",1
27,Pilsētas loma sadarbības veicināšanā: Jelgavas funkcionālā areāla piemērs,This study examines the role of cities in promoting cooperation within functional areas through the case of Jelgava. The research explores how local government policies and various partnerships can positively influence cooperation between different entities in functional areas. The study aimed to identify key factors that could potentially facilitate effective cooperation and enhance regional competitiveness. The findings suggest that the development of a comprehensive strategy and frequent communication and coordination between local actors are crucial for promoting cooperation within functional areas. These insights can be useful for policymakers and practitioners in enhancing regional cooperation efforts.,1
28,Grāvju tīkls Latvijā un tā piemērotība lielam nokrišņu daudzumam,"This research paper analyzes the drainage system used in Latvia and its suitability for regions that experience heavy rainfall. The study examines the effectiveness, design, and maintenance of the drainage system in different areas of the country and evaluates its ability to handle excess water. The research also explores alternative drainage solutions and their potential benefits for areas prone to flooding. The findings presented in this paper can aid in the development of more effective drainage systems that can withstand the challenges of increasingly unpredictable weather patterns.",1
29,"Sabiedriskā transporta sasniedzamības novērtēšana Aizputes, Kuldīgas un Skrundas novados","This study aims to evaluate the accessibility of public transportation in the Aizputes, Kuldīgas and Skrundas districts. The research focuses on identifying the strengths and weaknesses of the current transportation infrastructure, as well as the needs and challenges of the local population. The methodology includes both qualitative and quantitative data collection, such as surveys, interviews, and field observations. The findings aim to provide insights for policy makers and stakeholders on how to enhance the public transportation system in these areas, ultimately improving the quality of life for residents and visitors alike.",1
30,Pilsētu izplešanās ietekmes novērtēšana un priekšlikumi adaptīvai urbānai attīstības plānošanai,"This study assesses the impacts of urban expansion on the environment and identifies potential solutions for an adaptive urban planning strategy. The research relies on a mixed-methods approach, including GIS analysis, statistical modelling, and qualitative interviews with local stakeholders. The findings suggest that urban expansion is associated with various environmental challenges, such as water pollution, loss of green areas, and increased carbon emissions. The study also reveals that current urban planning practices may not be sufficient to address these challenges, and calls for a more adaptive and participatory approach to urban development. The recommendations include the promotion of nature-based solutions, green infrastructure, and community engagement in urban planning decisions. Overall, this study highlights the need for a sustainable and resilient urban planning approach that considers the complex interactions between urban development, environmental quality, and social equity.",1
31,Augsnes kartēšana paugurainēs vides aizsardzības nolūkos: problēmas un risinājumi,"This paper explores the challenges and solutions involved in mapping the landscape of hilly areas for environmental protection purposes. The difficulty lies in accurately capturing the varied topography and vegetation that make these areas ecologically sensitive. To address this issue, techniques such as remote sensing and careful ground analysis have been developed. The paper outlines some of the key considerations and approaches that can be used to accurately map these areas to support careful environmental planning and management. Overall, the topic of hilly landscape mapping for environmental protection provides a valuable opportunity for exploring the intersection of technology, ecology, and sustainable development.",1
32,Sentinel-1 sintezētās apertūras radara izmantošana cirsmu konstatēšanai,"This study explores the potential of Sentinel-1 synthetic aperture radar (SAR) for detecting and monitoring forest cover changes. The study area was located in a forested region, where deforestation and forest degradation are a major concern. The SAR data was processed using a combination of interferometry and polarization analysis to derive information on forest structure and biomass. The results demonstrate the potential of Sentinel-1 SAR for monitoring forest cover changes and assessing the health and productivity of forest ecosystems. The findings of this study have important implications for forest management and conservation efforts, particularly in regions with high rates of deforestation and forest degradation.",1
33,Zaļā infrastruktūra un tās kultūrvēsturiskie aspekti Zemgales līdzenuma ainavas piemērā,"This paper explores the cultural and historical significance of green infrastructure in the Zemgale plain landscape. The concept of green infrastructure is becoming increasingly prominent in modern urban planning, yet its historical roots and cultural significance are often overlooked. By examining the use of different types of green spaces in the Zemgale region throughout history, this paper aims to provide a deeper understanding of the role that green infrastructure has played in the cultural and social development of the area. Through a combination of historical research and on-site observations, this study contributes to a broader discussion of the relationship between landscape, culture, and infrastructure.",1
34,Darba svārstmigrācijas iezīmes Latgales reģionā,"This piece of writing explores the various characteristics of labor migration in the region of Latgale. Through a thorough analysis of statistical data and expert opinions, this study sheds light on the motivations, patterns, and challenges of labor migration in the area. The findings reveal a complex phenomenon that is shaped by economic, demographic, and social factors, and which has significant implications for the regional and national development. While some aspects of labor migration in Latgale are positive, such as the injection of new skills and resources into the local economy, others pose significant threats, including brain drain, demographic imbalances, and social tensions. Overall, the study argues that a comprehensive and proactive approach is needed to manage labor migration in Latgale effectively and to leverage its potentials for regional and national growth.",1
35,Dronu izmantošana kultūrvēsturisko pieminekļu dokumentēšanā: Āraišu piļu piemērs,"This study aims to explore the feasibility of using drones as a tool for documenting cultural heritage sites. Specifically, the study focuses on the application of drones in the documentation of a cultural heritage site in Latvia, the Āraiši Castle Mound. The study examines the potential benefits and limitations of using drones in cultural heritage documentation and proposes guidelines for their safe and effective use. Through the study, it was found that drones provide a unique perspective on cultural heritage sites and offer a cost-effective and time-efficient alternative to traditional documentation methods. However, the use of drones raises ethical and safety concerns, which must be addressed through careful planning and regulation.",1
36,Komunikācija kā instruments plānošanas procesā: Mārupes un Babītes novadu piemēri,"This paper explores the use of communication as a tool in the planning process. The study focuses on two regions, Marupe and Babite, and looks at specific examples of how communication strategies have been used to facilitate successful planning outcomes in these areas. By analyzing various communication methods and their effectiveness, the paper aims to highlight the importance of communication as a crucial element in planning processes. Additionally, the paper identifies key factors that contribute to successful communication strategies and provides recommendations for future planning endeavors. Overall, this research demonstrates the significant role that communication plays in the planning process and underscores its potential to help achieve successful outcomes.",1
37,Nekonsolidētu nogulumu deformācijas struktūras Baltijas jūras stāvkrastos starp Ziemupi un Zaķiem,"This study explores the morphological characteristics of coastal cliffs between two locations on the Baltic Sea coast. The focus is on analyzing the deformation structures within non-consolidated sediments found along these cliffs. Field observations and laboratory analyses were conducted to determine the sediment characteristics, as well as the deformation mechanisms and related factors. The results suggest that the coastal cliffs exhibit unique formations due to the presence of non-consolidated sediments and the influence of multiple factors such as lithology, sea level fluctuations and erosion. The findings provide valuable insight into the formation and evolution of coastal landforms and contribute to the geological understanding of this region.",1
38,Vides kvalitāte Valmieras Dzirnavu ezeriņā,"This study aimed to assess the water quality of Dzirnavu ezeriņš in Valmiera, Latvia. Water samples were collected from various points across the lake and analyzed for physical and chemical parameters. Results showed that the water quality parameters were within the acceptable limits for recreational and ecological purposes. However, nutrient concentrations were higher than the recommended levels, and this could lead to eutrophication. The findings of this study can be used to inform management decisions and monitoring efforts to ensure the long-term sustainability of Dzirnavu ezeriņš.",1
39,"Mālaino grunšu plastiskuma robežas noteikšana, izmantojot krītošā konusa metodi","This study examines the determination of the plasticity limits of rock samples using the falling cone method. The aim is to analyze the behavior of various types of rocks and determine their plasticity limits with greater accuracy. The experiment involves dropping a cone onto the rock sample and measuring the depth of the resulting crater. The results show that there is a relationship between the plasticity limit of the rock and the depth of the crater. The study provides valuable insights into the behavior of rocks and can be used in various fields including geology, civil engineering, and mining.",1
40,Juras Papiles svītas smiltis Skudru atradnē un to veidošanās apstākļu interpretācija,"This paper examines the formation and composition of a unique type of sand found in a specific location. Through laboratory analysis and geological interpretation, the paper explores the various factors that played a role in the sand's creation, including climatic conditions, geological disturbances, and sedimentary processes. The findings offer insight into the environmental history of the region and contribute to a broader understanding of the formation of sand deposits in general.",1
41,"Baltijas jūras aizsargājamās teritorijas ""Nida-Pērkone"" akmeņaino biotopu funkcionēšana un ekoloģiskais stāvoklis","The study investigates the functioning and ecological status of rocky biotopes within a protected area located in the Baltic Sea region. The research explores the impact of anthropogenic and natural factors on the biotopes. The methodology involves fieldwork, sampling, and laboratory analysis to determine the physical and chemical parameters and biotic communities' diversity. The results reveal the vulnerability of the biotopes and the need for sustainable management practices to preserve their ecological importance. Overall, the study provides valuable insights into the understanding of rocky biotopes' functioning and highlights their ecological significance in the context of protected areas.",1
42,Iedzīvotāju līdzdalība lielmēroga daudzdzīvokļu namu pagalmu vides labiekārtošanā,"This study examines the participatory approaches towards the improvement of courtyard environments within large-scale apartment complexes. The research aims to identify and analyze the challenges, benefits, and outcomes of resident involvement in these neighborhood revitalization projects. The study draws upon qualitative and quantitative data collected through surveys and interviews with residents, community leaders, and project coordinators. The results highlight the significance of resident participation in shaping the physical, social, and environmental aspects of their living environment. The findings also suggest the importance of building trust, communication, and collaboration between residents, local authorities, and private stakeholders in order to ensure the long-term sustainability and success of these improvement initiatives.",1
43,Ugunsgrēku ietekme uz kūdras  īpašībām un veģetāciju Saklaura purvā,"This study investigates the impact of forest fires on peatland properties and vegetation in Saklaura bog. Utilizing field observations, laboratory analyses, and remote sensing techniques, we identified several significant changes, including a reduction in peat depth, alteration of peat texture, and a shift in vegetation communities. Our findings suggest that forest fires have a significant impact on the fragile ecosystem of Saklaura bog and underscore the need for proactive management strategies to preserve this important natural resource.",1
44,Termālā komforta līmenis ekstrēmu meteoroloģisko epizožu gadījumā. Rīgas centra piemērs,"This study examines the level of thermal comfort in the center of Riga during extreme weather events. The focus is on identifying the factors that affect the thermal comfort level and the strategies that can be implemented to improve it. The research is based on data collected from different sources, including weather stations and surveys conducted among the residents of the city center. The findings suggest that extreme weather events have a significant impact on the thermal comfort level in the area, and that there is a need for effective measures to mitigate the negative effects of such events. The study provides a valuable insight into the challenges of maintaining thermal comfort during extreme weather conditions in urban areas, and highlights the importance of taking proactive measures to address the issue.",1
45,Zvaguļu Rhinanthus spp. un nārbuļu Melampyrum spp. potenciāls dabisko zālāju atjaunošanā LIFE programmas projekta GrassLIFE saimniecībās,"This study focuses on the potential of organic meadow restoration in several GrassLIFE farms through the use of two specific plant species, namely Zvaguļu Rhinanthus spp. and nārbuļu Melampyrum spp. The effectiveness of these plants in restoring the natural balance of meadow habitats is investigated, and the results show a strong potential for organic meadow management using these species. Through the LIFE program, several farms have been able to successfully implement this approach, resulting in the preservation and restoration of habitats for a variety of species. This study sheds light on the successful utilization of natural plant species for conservation purposes and emphasizes the importance of sustainable agriculture practices.",1
46,Remigrācijas iezīmes Latvijas reģionos: jauniešu atgriešanās un prombūtnes pieredze,"This paper explores patterns of return migration in Latvian regions, specifically focusing on the experiences of young people who have returned or have been absent from their home regions. Using data from qualitative interviews, the study analyzes the factors that influence young people's decisions to return or leave, the challenges they face upon returning, and the ways in which they navigate the complexities of reintegrating into their communities. The findings shed light on the various push and pull factors that shape migration patterns and highlight the importance of understanding the experiences of young people as a key demographic in the context of regional development and migration policies.",1
47,Ģeogrāfiskās mobilitātes iezīmes Pārdaugavas apkaimēs,"This study examines the characteristics of geographical mobility in the neighborhoods of Pārdaugava. By analyzing the patterns of transportation and migration, the researchers identify the factors that influence people's movements within and outside of the area. The findings suggest that the presence of public transportation infrastructure, socioeconomic status, and proximity to employment opportunities are significant determinants of mobility behavior in Pārdaugava. The study contributes to the understanding of urban mobility and can inform policymakers in developing effective transportation and housing policies for the area.",1
48,"Humusa formu, organiskā oglekļa un kopējā slāpekļa krājas izmaiņas katēnā: Lielā un Pemmas purva rietuma mala – Vilkkalns","This study examines the changes in organic carbon and total nitrogen accumulation in peatlands of the western margin of the Large and Pemmas bogs. The research focuses on Vilkkalns, where humus form is investigated in relation to the overall accumulation rate of peatlands. The findings indicate significant differences in the accumulation rates of both organic carbon and total nitrogen, which vary depending on the humus form present. The results of this study provide valuable information for the management and conservation of peatlands in the area.",1
49,"Dzelzceļa radītā trokšņa piesārņojuma novērtējums Rīgā, Krievu salas apkārtnē",This study aims to evaluate the level of noise pollution caused by railway transportation in the surroundings of Riga and the Russian Island. A survey was conducted to gather data on the impact of railway noise on the local communities and their well-being. Noise measurements were also taken at various locations to determine the intensity and frequency of noise from trains. The results suggest that noise pollution from railway transportation is a major concern for residents in the area and has the potential to negatively affect their quality of life. Further steps are needed to address this issue and mitigate the impact of railway noise on the environment.,1
50,Vienota dabas tūrisma maršruta izveide Ķemeros,".The project aims to establish a unified nature tourism route in Ķemeri, Latvia. The route will incorporate multiple attractions including natural reserves, hiking trails, historical landmarks, and cultural centers. The project seeks to improve the tourism infrastructure in the area and increase visitor engagement with the region's natural and cultural heritage. Through careful planning and collaboration with local stakeholders, the project will generate economic benefits for the community and promote sustainable tourism practices. The establishment of the nature tourism route will contribute to the overall development of the region and provide visitors with a unique and fulfilling experience in Ķemeri.",1
51,Montmorilonīta-antociānu organokompleksi: fizikāli ķīmiskās īpašības un izmantošanas risinājumi,"This paper analyzes the physical and chemical properties of a specific type of organo-complex, made up of Montmorillonite and Anthocyanin. The complex is investigated in depth to determine its potential usefulness in various applications. The study examines the ways in which the complex interacts with other chemical substances and how it responds to different environmental conditions. Through careful testing and analysis, the authors conclude that Montmorillonite-Anthocyanin organo-complexes show great potential for use in a variety of fields, including agriculture, medicine, and technology.",1
52,Iedzīvotāju mobilitāte un migrācija Cēsu pilsētā,"This study aims to explore the patterns of mobility and migration among the residents of Cēsis city. Through an analysis of census data, it investigates the factors that influence individuals to migrate to or from the city, as well as how often and for what reasons they move within the city. The study also examines the impact of migration on the city's demographics, economy, and social structure. Findings from this study can help inform policy makers and urban planners in developing strategies to address population shifts and capitalize on the benefits of migration.",1
