id,title,abstract,is_generated
1,SEM-EDX metodes izmantošanas iespējas atmosfēras aerosolu sastāva analīzē,"Thesis includes statistical analysis of chemical composition and morphology of particulate matter, supplemented by data of meteorological conditions and air quality, for the purpose to distinguish the emitting sources of atmospheric aerosols. The concentration of 12 chemical parameters (C, O, Fe, Ca, Si, S, Al, Mg, Na, K, Mo, Cl) was determined by Scanning Electron Microscopy (SEM) and Energy Dispersive X-ray Spectroscopy (EDX) at the Institute of Solid State Physics, University of Latvia, but weather observation data and concentration data of gaseous pollutants, and aromatic hydrocarbons, were obtained from the Latvian Environment, Geology and Meteorology Centre observation stations in Riga. Principal Component Analysis (PCA) and Hierarchical Cluster Analysis (HCA) were applied on particle data in order to identify different particle clusters, differentiated on the bases of chemical composition and morphological parameters (carbonate mineral particles, aluminosilicates, soot, sodium chloride, metallic particles). Complementing the analysis with meteorological and air quality data, the possible origin of aerosols was interpreted - soil mineral part, transport, marine aerosols, metallurgy, transboundary pollution and formation of secondary aerosols.",0
2,Sabiedrības līdzdalība klimata pārmaiņu pārvaldībā Latvijā,"This bachelor's thesis explores public participation in climate change policy-making in Latvia. The paper discusses possible and implemented opportunities for public participation, as well as analyzes the activity of public stakeholders in the climate policy-making. Considering the review of the good practice of climate change policy-making and based on the information gained from interviews and document analisis, the author developed a suggestion for a form of digital participation to encourage accessibility and wider public interest representation. The developed proposal - to implement a national climate change policy dialogue - has been approved by public administration institutions and non-governmental organizations.",0
3,Iekšzemes migrācijas un svārstmigrācijas ģeogrāfiskā struktūra un iezīmes apvienotajā Bauskas novadā,"Internal migration and everyday mobility are important processes that are greatly influenced by various economic, social, and demographic factors. In bachelor’s thesis „Patterns of internal migration and everyday mobility. The case of merged Bauska municipality”, the migration and everyday mobility flows in the administrative-territorial section are analyzed. The analysis is further supplemented by the assessment of in-migration patterns and motives within the merged Bauska municipality. The aim of bachelor’s thesis is to evaluate the geographic characteristics of internal migration and commuting flows on a municipality level, and to assess the in-migration and everyday mobility patterns of merged Bauska municipality on an individual level. Thus, to analyze the spatial flows and patterns of internal migration and everyday mobility, a variety of research data were used such as primary survey data and secondary data from national and local municipal institutions. The statistical analysis of significance was used to determine the relevance of certain indicators in the analysis of migration and everyday mobility. Results highlight heterogeneity regarding the spatial structure and overall patterns of mobility and commuting in the merged Bauska municipality. Respondents from Bauska (2009 municipality) and Rundale municipalities mostly migrate intra-regionally and commute towards Bauska city; whereas, respondents from Iecava and Vecumnieki municipalities have closer functional ties with Riga.",0
4,"Iedzīvotāju izvietojums, mobilitāte un ģentrifikācija: Brasas un Grīziņkalna gadījuma izpēte Rīgā","The bachelor thesis analyses the interplay between gentrification and urban daily mobility behaviour and the spatial extent of both processes. The study examines two neighbourhoods of the city of Riga – Brasa and Grizinkalns. The associated aspects of gentrification and urban geographic mobility have been minimally studied in Latvia, even though residential mobility is an essential element of spatial and social capital. This study discerns the changes in the number and placement of residents and the sociodemographic make-up figures of the neighbourhoods studied. The spatial capital is analysed by examining elements of motility, namely, the mobility behaviour in the research area. This approach highlighted the mutual influence between geographic mobility and residential socio-spatial differentiation. This study employs quantitative study methods, using geographic information system tools. It confirms the importance that spatial capital concerning geographic mobility has for developing the gentrification process in Riga.  This study comprises 4 chapters and 13 sub-chapters. The combined volume of this bachelor thesis is 72 pages, including 17 images, 2 tables and 7 appendices.",0
5,Videi draudzīgu sapropeļa skaņas absorbcijas kompozītmateriālu izveide un to mikrobioloģiskā noturība,"Within the framework of the bachelor's thesis “Development of environmentally friendly sapropel sound absorption composite materials and their microbiological stability”, a total of 100 samples of environmentally friendly composite materials were made, as material binder using organic lake sediments (sapropel), as filler using sphagnum moss, flax fiber and vermiculite. A biocide and its natural substitute - ALINA Ltd. product “ALINA LIFETM” organoclay coating were also added to the materials.  In the theoretical part of the work, scientific literature on environmentally friendly composite materials and examples of environmentally friendly construction, microbiological resistance of materials, indoor microbiological pollution and environmental pollution with biocide products were compiled. In the section of work results the properties of materials were described, they were compared with environmentally friendly sound absorption composite materials, that are already used in construction, in which magnesium oxychloride are used as binder and hemp shives as filler, and other composite materials containing natural binders and fillers. Sound absorption tests, mechanical strength tests as well as microbiological stability tests were performed.",0
6,Makrofītu temporālās mainības ietekme upju ekoloģiskā stāvokļa noteikšanā: Bērzes upes piemērs,"Zarečanska I. 2021. Impact of temporal variability of macrophytes on the ecological state of the Berze River. Bachelor thesis. Riga, University of Latvia, 41 pp. The aim of the Bachelor is to determine the impact of temporal variability of macrophytes on the ecological quality of the Berze river. The survey of the Berze River was conducted in the summer of 2020, in the period from 17th June to 16th August. To determine the ecological status of the river and the diversity of macrophyte species, the Latvian river macrophyte index, the Shannon index and the Simpson index were calculated. The results of the study confirm that the temporal variability of macrophytes during the season affects the ecological status of the Berze river.",0
7,LED gaismekļu izmantošanas iespējas bērzu un apšu in vitro pavairošanas procesā,"LED (light emitting diode) lighting is considered a modern, energy-efficient lighting technology, that can be used for indoor plant growth, as a replacement for traditional, energy-intensive lighting technologies. The aim of this research was to adapt the LED spectral composition in order to ensure energy-efficient lighting for the micropropagation of hybrid aspen and common birch tree species. Three different LED spectral combinations were tested: red-blue lighting, red-blue with supplementary green lighting and red-green-blue-yellow-orange lighting. Fluorescent light bulbs were used as control lighting. In order to test for the effects of the different lighting combinations on aspen and birch in vitro plant growth and development, several morphological parameters were measured: plant length, mass, leaf area. Physiological parameters, such as pigment content, chlorophyll fluorescence and enzyme activity were measured. The red-blue-green and red-blue-green-yellow-orange lighting seemed optimal for the aspen species. However, due to the similarity in results, the FL control lighting could be replaced for any of the LED combinations with improved energy-efficiency.",0
8,Iekštelpu gaisa kvalitātes novērtējums publiskās izklaides vietās,"Bachelor’s thesis “Indoor air quality in public entertainment places” describes the factors influencing indoor air quality, as well as the most significant indoor air pollutants. Health problems and diseases caused by various air pollutants and compounds have been characterized. Decreased indoor air quality is a major problem, as today the most of Europeans spend up to 90% of their lives indoors. During research work was made assessment of indoor air pollutant concentration in the indoor air of public entertainment place – cinema, microclimatic conditions were studied as well.",0
9,Ausainās pūces (Asio otus) gredzenošanas fenoloģija un to ietekmējošie faktori,"Climate change has affected the phenology of birds, mammals and amphibians, migration occurrence values, feeding and nesting seasons start earlier and are longer. The aim of the study is to analyze the migration phenology of the Long-eared owl (Asio otus) migration in Latvia, the definition of the migration season boundaries, and the factors influencing the characteristic migration in Latvia. As well as proposing the conditions under which it would be most effective to catch and ring owls, based on the data collected by the Latvian Ringing Center on caught and ringed owls and the archives of the Latvian Environment, Geology and Meteorology Center. Analysis of the results indicates a statistically insignificant negative trend in the number of Long-eared owls caught per day against meteorological factors. Migration boundaries have seen no significant change, based on the literature and the results of the study, autumn migration begins in October, reaching its maximum in November and ending in late November. The number of ringed owls has decreased in the last six years.",0
10,Sensoro metožu izmantošanas iespējas atmosfēras piesārņojuma novērtēšanā,"This paper evaluates the potential use of particulate matter sensors for outdoor air pollution monitoring, providing comparison with reference measurements. The data quality assesment is done by characterizing already established sensor network in Riga, in addition to that, the spatial and temporal distribution of data is evaluated as well as how other factors, like meteorological variables, play a role in measurment quality.",0
