id,title,abstract,is_generated
1,Runātāja retoriskais portrets pandēmijas situācijā.,"The bachelor thesis is devoted to the study of communicative dominants of speakers’ rhetorical portraits in the context of the COVID-19 situation. The aim of the author is to perform a strategic analysis of sets of expressions, which gives an opportunity to rhetorically depict two medical experts: E. Malisheva (Russia) and U. Dumpis (Latvia). The author carries out the comparative analysis of the implementation of communication strategies in the speaker's speech, using the method of rhetorical (""strategic"") analysis, identifies the features that characterize the understanding of the COVID-19 situation, the specifics of its presentation in the social environment for persuasion purposes.  The present research can be interesting to philologists, as well as all readers interested in this problem.",0
2,Autonomā vācu valodas apgūšana studentu vidū,"This thesis is dedicated to the study of autonomous learning of the German language among students. This study is motivated by a direct experience of author during Erasmus exchange program, where students had necessity to learn German language and communicate in intercultural environment. As a result, the possibilities, and ways of language learning among students, as well as the autonomy in this process, were thoroughly examined. An analysis of related bibliography has shown that there is a limited amount of literature that specifically focuses on learning the German language among students in the context of the Erasmus program. In particular, little is known about their goals, preferences, and favorite techniques and strategies. The aim of the study is not only to determine the methods students use to learn the German language, but also to find out how effective self-study is and whether it is more popular than learning a language with a teacher or in language courses. In order to achieve this goal, the study and review of the scientific and methodological literature was conducted in the theoretical part. The practical part consists of examination of the results, obtained from the survey among 125 international students learning German.",0
3,E-apmācības aplikāciju izmantošana vācu valodas stundās vidusskolās,"The bachelor's thesis deals with the motivation of secondary school students to learn German, as well as the use of E-Learning applications for language learning. The aim of the study is to find out with the help of a questionnaire whether secondary school students use any of the E-Learning applications to learn German. 33 students from Salaspils Secondary School No. 2 and Riga Secondary School No. 13 participated in the survey. The results showed that secondary school students are motivated to learn German and believe that it would be needed in the future for work, travel, or education. The working hypothesis was not confirmed.",0
4,Spāņu valoda Latvijā: Latvijas iedzīvotāju lingvistiskā attieksme kā faktors valodas izplatībā,"In Latvia, a country with strong political and legal support for strengthening the state language, one of the largest languages in the world - Spanish – also enters on a certain historical and geopolitical background. The master's thesis studies the linguistic attitude of the Latvian population towards a foreign language, including learning Spanish. Analytical, descriptive and comparative method is used in the work, for data analysis - two surveys and several structured interviews with industry specialists. There is a generally a favorable linguistic environment for learning Spanish in Latvia - it is possible to learn it in general education schools, language courses, private language centers. It is also possible to obtain an official proof of the knowledge of Spanish at the DELE examination center. However, the prevalence and popularity of the Spanish language is not as high as it could be in Latvia, based on the findings of the study. Lack of information, lack ofunderstanding of educational laws or linguistic prejudices may be an issue, with English being the priority foreign language in most schools. Spanish could become an equal competitor of English in the system of foreign languages to be acquired, moreover, the regulatory framework of the educational process does not stipulate that English is a compulsory foreign language. Higher education would also require a bachelor's program in Spanish, which would ensure the continuity of the educational stages by preparing highly qualified and professional language specialists in Europe's multilingual environment. Key words: Spanish, state language, foreign language, language attitude, education system, normative acts, teaching.",0
5,Argumentācija Beļģijas un Francijas politiskajā diskursā no 2010. līdz 2020. gadam: kontrastīvā analīze,"A retrospective analysis shows that the number of international migrants has doubled in the last 30 years, and that this increase mainly concerns the countries of Western Europe. This shows that the problem related to the discourse on immigration is current today. We did research on the political discourse linked to immigration in France and Belgium. We compared both the rhetorical and the linguistic aspects of the argument.",0
6,Mūsdienu latviešu erotiskais romāns - Karīnas Račko piemērs,"The goal of the research “Contemporary Latvian Erotic Novel – the Example of Karīna Račko” is to identify and analyze the features of the contemporary erotic novel in Karīna Račko's novels, as well as to determine the impact of the author's novels on readers. The author's work and her phenomenon in Latvian literature are studied in the master's thesis. The object of the master's thesis is four author's novels – “Saplēstās mežģīnes”, “Debesis pelnos”, “Samaitātā” and  “Sasietā”.  The master's thesis provides a brief overview of the peculiarities of erotic novels in Latvian and foreign literature, examines the modern erotic novel as a genre of mass culture, as well as studies the features of modern erotic novel in Karina Račko's novels. Drawing conclusions that the author's novels have similar both content and stylistic features that are characteristic  of the genre of modern erotic novels.",0
7,Tulkošanas metodes un subjektīvisma faktors daiļliteratūras tulkošanā,"The literary translator may also be regarded as a co-author of the work, since neither the excellent knowledge of languages (both source language and target language) nor the use of the same translation strategies guarantees the same outcome (target text). In the translation of fiction or literary works the translator's subjectivity factor is the key. The translation into the target language is influenced by the translator's knowledge of languages, language sense, vocabulary, linguistic richness, the experience of the translator, his or her knowledge of the country, environment, culture, people, including courage and daring, the ability to identify with the author of the work. These are all considered to be subjective indicators that cannot be measured according to certain criteria. This work looks at different translation strategies and approaches, both from a theoretical point of view and by analysing their application in the two translations (performed independently from each other) of the autobiographical novel “Becoming” of the former first lady of the United States of America. As a result, there are clear indications of the inevitable effect of the subjectivity factor in literary translation.",0
8,Meteoroloģisko parādību atspoguļojums latviešu valodā,"The aim of the bachelor’s thesis “Meteorological expressions in Latvian” is to view meteorological expressions from a semantic and syntactic point of view – to see in what kind of syntactic constructions meteorological phenomena are reflected and to determine which sound verbs and what kind of attributes are used in these constructions. The work consists of  introduction, a list of terms, four chapters, conclusions and of the list of literature. The first chapter gives an insight into the study of functional styles. The second chapter focuses on describing the syntax of a simple sentence. In the third chapter bipartite sentence schemes are exemined in theory and in practice. The fourth chapter examines  adjectives and sound verbs used in meteorological expressions. Key words: meteorological expressions, simple sentence pattern, adjective semantics, sound verbs.",0
9,Tulkošanas stratēģijas Valsts Centrālās bankas gada pārskata ievadā,"Financial translation represents a complex and highly demanded today type of specialised translation, and its quality is closely interconnected with the right choice of translation tools and strategies. To identify translation approaches and strategies that are recommended for application in a particular LSP sub-genre, it is crucial to analyse the best samples of this sub-genre translations. The purpose of the Master Thesis has been to investigate the most frequently applied translation strategies in a particular sub-genre of financial translations – the National Central Bank annual report introduction. The research corpus comprises annual reports of national and intergovernmental banks, such as the LB, the CBR, the ECB and the EBRD in the period from 2009 to 2018. To achieve the main objectives of the research, retrospective assessment of translation equivalence and quantitative analysis of translation strategies in combination with the corpus triangulation method had been applied. The results of the research comprise recommendations concerning the most appropriate translation strategies in the given sub-genre of financial translations, a termbase comprising 422 financial terms and three parallel corpora or translation memories that could be used in machine translation. The results of the Master Thesis might be useful for novice translators, translators dealing with financial and specialised translations and educators.",0
10,Metaforas fitnesa treneru publikācijās sociālajos medijos,"Metaphors on social media and in special contexts, for example, metaphors in political discourse, have been researched, however, a research about metaphors in fitness trainers’ social media publications has not been found. The purpose of the Bachelor thesis is to study and group the categories of metaphors used in fitness trainers’ social media publications. The research methods used are literature review and content analysis. The results show that fitness trainers use structural metaphors more often than orientational metaphors and ontological metaphors. The structural metaphor used most often is FITNESS IS A BATTLE.",0
