id,title,abstract,is_generated
1,Tiesas izdevumu noteikšanas prasības un piemērošanas īpatnibas civilprocesā.,"In practice, the most common issues are related to the State duty imposed by the legislator, which, probably, restrict person’s free access to the court. A court or a judge, upon consideration of the material situation of a person, must respect the principle of proportionality to prevent a person from being deprived of the right to access to justice. The author considers, that the problem is related with court’s or judge’s right to assess the material situation of a person according Section 43, paragraph four of the Civil Procedure Law, however the Civil Procedure Law does not specify specific criteria, which prevent the person, who submit a statement of a claim in the court, from making payment of the court expenses. In the course of the study, it should be considered whether Section 34, Section 35 and Section 43, Paragraph four of the Civil Procedure Law should not be non-exhaustive in order to establish case-law and to take uniform judgments. The aim of the study is to assess the proportionality of the amount of the State duty in relation to defending the person’s rights in the court, as well as the clarification of the will of the legislator, which allows for the existence of gaps in law and the assessment of the actual conduct of a court or a judge by enforcing the Civil Procedure Law in practice. In the course of the study, it has been clarified that the legislator, without specifying the purpose of the office fee, concedes that the Civil Procedure Law includes court expenses which are duplicated by the fee packets specified in Cabinet regulations. In the course of the study, it has also been clarified that the legislator has not specified why Section 34 of the Civil Procedure Law determines exactly this amount of State duty. There isn’t clear answers, when determining the level of State duty, the legislator would have assessed their proportionality in relation to the overall economic situation in the country and the solvency of the population. In the course of the study, it has been clarified that the non-uniform application of Section 43, Paragraph four of the Civil Procedure Law could be assessed as a violation of a person's right of access to the court.",0
2,Tiesu varas neatkarības diskurss Latvijas teritorijā (1940-1993),"Along with the recognition and development of the human rights in the international area, the issue of ensuring the rule of law also became topical. The rule of law is one of the common values on which the European Union is founded. The independence of the judicial power is an essential precondition for the rule of law. However, violations of the principle of the independence of the judicial power, and the problems associated with it, still exist nowadays. The aim of the Master's thesis is to research the discourse of the independence of the the judicial power in the territory of Latvia (1940 - 1993), analyzing the understanding of the judicial power and its independence at that time. The issue of the independence of the judicial power did not arise out of empty space. In order for Latvia to be able to implement the internationally recognized requirement for an independent and impartial court, there must first be a common understanding of the content of judicial independence and its scope. Sequentially, the formation of this understanding is not possible without historical research.",0
3,Piesārņojuma novēršanas tiesiskais regulējums lauksaimniecībā,"Master’s Thesis “The pollution prevention legislation in agriculture” examines aspects for the use of various potentially polluting substances in agriculture in order to alleviate the the likelihood of comtamination. The work analysed diffuse pollution regulation and related problems in agriculture.  Author has identified a number of problemas that exist in the legislation, studying various publications, normative acts, literature and other sources. Viable solutions are offered for the problems by streamlining legislation and elimention of current weak-spots.  As the author concluded, the monitoring of pollution in agriculture is complex and is being realized with the help of many laws and regulations, the knowledge of wich is a difficulty not only for the farmer but also for supervising institutions.",0
4,Latvijas Republikas Valsts prezidenta ievēlēšana un tā pilnveidošanas aspekti,"Many years in Latvia it have been a very popular topic among the inhabitants and also members of the parliament of Latvia. And this topic is about, are there possibilities to vote for the President of Latvia in universal, equal, direct and secret ballot. This election model are familiar in the countries where the system of state is federation and not parliamentary republic where its members elect the President of the country. In the countries that are federations, President also have more power than in parliamentary republics.  The main goal of this work was to analyze the election procedure of the President of Latvia and also other countries with different election types, and maybe find some procedural aspects that could fit in the election system of Latvia. That means that in this work the Author also analyze direct elections of President and all details of this election model, because this topic was a very debated topic when the Republic of Latvia was found and also when Latvia regained independence. And of course, nowadays.  At the end of this work, the Author concluded that it is possible in Latvia that people vote for the President of the country, despite that the system of country is parliamentary republic. It’s also possible without any extension of power. It’s a possible combination, also other country examples show that. It’s also a question worth discussion that members of parliament and municipalities elect the President. Also at this question there are some examples.",0
5,"Pamattiesību ierobežojuma tiesiskuma kritērijs ""noteikts ar likumu"" Satversmes tiesas judikatūrā","The master thesis presents a research on the restriction of fundamental rights though “law” within the Constitutional court’s case law. This thesis discusses the meaning of the term “law”; discusses lawmaker’s law-making errors, found by the Constitutional court. This work further discusses examples of case law, where the content of the principle of good legislation has been reflected; points towards these elements in the discussed examples of case law in order to improve the process of law-making. The research provides a solution for the clarity of the norm based on the Latvian case law and foreign examples. Also, new insights, based on the principle of good legislation outlaid in Constitutional court's case law, are found to improve the quality of law-making process, thus promoting the citizens’ trust in the state and its laws.",0
6,Dzīvības un veselības apdraudējums dalībā un līdzdalībā,"The topic of Master’s thesis is “Endanger to life and health into participation and complicity”. The thesis examine the development of participation and complicity in the territory of Latvia. The development of participation and complicity had been started studied with the laws that were in force in the territory of Latvia from November 18, 1918. In this thesis also are reviewed explenation of participation and complicity and their specific issues. The seperation of participation and complicity also considered in this thesis. In this thesis are analized the case law of danger to life and health into participation and complicity. The aim of the thesis is to explore and analyze the literature, laws and case law of the participation of several persons in criminal offenses that endanger the life and health of persons.",0
7,Pašvaldības domes un tās priekšsēdētāja atlaišanas mehānisms Latvijā,"Principle of municipality autonomy provides that municipality generally is independent regarding its affairs. However, in order for municipality actions to be subjected to the principle of the law, certain authorized entities are granted rights to dismiss municipality decision-making body or chairman of the council. Such action can lead, mainly, to violation of rights provided in the Article 101 of Latvian Constitution, therefore it is essential to exercise dismissal rights by adhering to principles and laws and regulations of democratic, lawful country. Aim of the work is to analyze mechanisms of municipality council and its chairman dismissal in Latvia by identifying issues which are related to their implementation. Furthermore, author analyses protection mechanisms granted to municipality council and its chairman in the case of dismissal mechanism implementation. Author concluded that it is necessary to improve municipality council and its chairman dismissal mechanisms. In this way, municipalities would be protected against wrong interpretation of the law and political intrigue, and it would also encourage local resident involvement in municipality work.",0
8,Brexit tiesiskās sekas ģimenes lietās,"The master's thesis “Brexit legal consequences in family cases” focuses on the research of current family law issues in connection with the United Kingdoms` withdrawal from the European Union. The aim of this master's thesis is to determine the future legal activity of the United Kingdom in situations where there is a cross-border element in family cases. The content of the master's thesis is based on the research of various legal acts, analysis of case law, research of legal literature (doctrine). Mainly the case law of the Court of Justice of the European Union is analyzed. Within the framework of this work, the author of the master's thesis identified and found various discrepancies between the sources of European law and the sources of international law. The master's thesis is written in latvian language and consists of an annotation in latvian language and english language, four chapters, a summary, a list of used literature and a total volume of 72 pages.",0
9,Nepilngadīgajiem piekrītošā manta un tiesiskā regulējuma problēmas.,"The theme of master thesis is “Property of minor and legal framewrok problems”. In practice, guardians often face the need to apply to an orphan's court for permission to dispose of the child's property. It is the task of the Orphans' Court to assess whether the action will be in the best interests of the child before allowing the guardian to dispose of the child's property. In practice, such mediation by an orphan's court prevents the guardian from acting quickly and efficiently in managing the child's property.",0
10,Noziedzīgi iegūtu līdzekļu legalizēšanas sastāvs un tā pierādīšanas problemātika,"Laundering of proceeds derived from criminal activity or money laundering is a very common criminal activity seeking to fight worldwide. Latvian lawmakers and law enforcement officials have also sought to make all necessary steps to effectively fight against this crime. That's why it is very important to understand what constitutes this crime and what the order of proof is. The aim of the master's thesis is to carry out an analysis of the money laundering composition of crime and to investigate the specific nature of the evidence.  In the thesis are explored such questions as stand-alone money laundering, the presumed proceeds of crime as an object of money laundering, a reduced standard of proof as regards the criminal origin of the property, the reclamation of the burden of proof and other issues of law doctrine and practice.",0
