id,title,abstract,is_generated
1,Ādas bojājumu risks pacientu aprūpē sirds ķirurģijas nodaļā pēcoperācijas periodā,"The bachelor's job aims to figure out the risks of skin damage to patients during the postoperative period in the cardiac surgery department. According to the goal of the job, a question of the study was raised: What risks of skin damage exist in patients during the post-operative period after cardiac surgery. The bachelor's work 'The risk of skin damage in patients' care during the post-operative period in the cardiac surgery department 'contains two basic parts - theoretical and part of the study. The theoretical part of the research work summarises and analyses literature data on the risks of skin damage and their treatment. A quantitative study method has been used in conducting the study, but the study instrument is a follow-up protocol. The first part of the job looks at the notion of skin damage. Is debating the standards for skin-damaging care. Issues related to the assessment and treatment of skin lesions are discussed. The second part analyses the problems of skin injury patient care and looks at different methods of treatment and care for skin damage, as well as aspects of sleep prevention. The third part describes the education of patients. The importance of educating patients with skin damage is justified. The fourth part analyses the practical study “Risks of skin damage to patients during the post-operative period”.  Keywords: self-care, assessment of skin damage, skin damage, skin damage wound care.",0
2,Pacientu apmierinātība  pēc Longo operācijas,"Bachelor degree topic: Patient satisfactory level after Longo operation.  Hemorrhoid disease is very well known, it is one of the most leading gastrointestinal diagnosis and it is common in both genders from age 45 to 65. Treatment options are various, and the majority of surgical techniques are based on the ligation and excision principles, newer techniques are designed to minimize tissue dissection with the aim of reducing postoperative pain and bleeding, one of them is Longo surgery.  Aim: To find out patient’s satisfaction after Longo operation. Research tasks:  1)To analyze the connection of nursing theories with the topic of my research;  2)Identify, summarize and analyze data about Longo method; 3)To develop research tools – interview; 4)Conduct a survey in patients after Longo operation;  5)Summarize and analyze interview answers using content analysis; 6)Summarize recommendations after Longo operation.  Research question: Are patients satisfied after Longo operation?  Research tool: Structured interview questions.  Results: 16 out of 18 patients are satisfied after Longo operation in the operating day. Pre-operative complaints of respondents: bleeding (11 out of 18 respondents), pain (6 out of 18), feeling of nodule / formation in the anus (4 out of 18), itching, discharge (2 out of 18). For postoperative pain respondents answered 3-5 points on average, to which 10 respondents responded. 1 reporter replied that he has 10 points after the operation. The other respondents rated them below 3 points. Assessing patient satisfaction with staff, 18 of the 18 patients answered convincingly that they were satisfied with the staff and they did not have any delays or misunderstandings with the staff. Also, 18 out of 18 respondents were very satisfied with the care provided by the nurses and consider this hospitalization to be very positive and feel cared for, and note that this good care is very helpful for the recovery period.",0
3,Aprūpe pacientiem ar plaušu artērijas trombemboliju intensīvās terapijas nodaļā,"The bachelor's work ""Care for patients with pulmonary thromboembolism in the intensive care unit"" gathers up-to-date information on patient care through W. Henderson's basic needs theory. The goal was to meet the objective and the question was raised: What is the care for patients with pulmonary artery thromboembolic intensive care? The qualitative research method – interview – was used to implement the study. Seven practicing nurses with work experience of at least 5 years were interviewed. The work consists of two parts - theoretical and empirical. The theoretical part analyzes the literature on pulmonary artery thromboembolism in the intensive care unit, its pathogenesis, risk factors, diagnostic and treatment options, and nursing care activities related to this disease. The methodology of the study is described in the empirical part and contrainthe analysis is performed. Based on the results of the study, the purpose of the bachelor's work - to find and analyze nursing care activities, to patients with pulmonary artery thromboembolism, intensive care unit. The work goal has been achieved. Bachelor's work consists of 32 pages and 10 attachments. The work consists of 59 pages in total. The work used 27 literature sources were 10 in Latvian, 10 in English and 7 in Russian languages.  Keywords: pulmonary artery thromboembolism, pulmonary embolism, deep vein thrombosis, venous thromboembolism, nursing care, intensive care.",0
4,"Kardioloģisko pacientu un māsu sadarbība ar māsu, hronisko brūču aprūpes laikā stacionārā","The theme of the Bachelor’s paper - “Cooperation of cardiology patients and nurses in the stationary during care for chronic wounds”. The topicality of the theme is determined by the high number of cardio and cardiovascular illnesses in Latvia and also worldwide. Cardio and cardiovascular illnesses provoke occurrence of chronic wounds and their treatment is long, expensive and labor intensive. The goal of the Bachelor’s paper: to determine whether cooperation of cardiology patients and nurses during care for their chronic wounds is helping patients to obtain self-care skills and knowledge to perform self-care of the wounds. In drafting of the paper the quality research method has been used, applying the research instrument: a partly structured interview. Research tasks have been set: to gather and analyze sources of literature, to perform analysis of Dorothy Orema self-care theory, to develop a research instrument, to conduct the quality research, to collect and analyze the data obtained during the interview, conclusions. In the results analysis section of the paper seven interviews have been collected. Interview respondents, patients of the cardiology unit with chronic wounds. Analysis of the interview shows patient’s personal care experience or a complete lack thereof in the process of chronic wound care to stationary. The main research results show that patients, during cooperation with the nurse, obtain the knowledge and skills needed for self-care, but there is a part of the patients that even from the beginning have doubts whether they would fully apply the obtained skills and knowledge. In this way the wound care succession is interrupted. Keywords: chronic wounds, patient and nurse cooperation, self-care.",0
5,Latvijas augu ēterisko eļļu efektivitāte pret brūču infekcijas izraisošām baktērijām,"The discovery of antibiotics is among the most important medical scientific discoveries of the 20th century. However, the excessive and improper use of antibiotics leads to the development and spread of antibiotic-resistant bacteria. A growing number of researchers direct their attention to biologically active compounds of plants as an alternative to antibiotics. The aim of the study was to evaluate antibacterial effect and to select plants growing in Latvia which could potentially be used in wound ointment preparation. During the research, the antibacterial efficacy of the essential oils of Pinus Sylvestris L., Mentha piperita L., Origanum vulgare L. and Thymus vulgaris L. was tested against E. coli and S. aureus strains. The samples of the oils were tested separately and in combination with the investigational ointment “Velvet”. The particular research  showed that essential oils have the ability to inhibit the development of pathogens.",0
6,Ārstnieciskās palīdzības iespējas senajā Rīgā,"Numerous valuable insights have been accumulated in the historical experience of mankind, but this does not mean that the possibilities of research in the field of Latvian medical history have been exhausted. Therefore, the aim of the master's thesis research is: to study the possibilities of medical care in ancient Riga and evaluate the significance of their historical evidence today, as well as to continue research on other ancient Riga (Vīksna, 2016; Šterne, 1997; Melne, 2004; Derums, 1988, etc.) the process of formation, locations and development of the activities of the St. George's Hospital of the medical institution. In this work, the author has concentrated the information about the dynamics of the location of the first Riga medical treatment institution and the nature of providing medical assistance in it. The theoretical part of the study also presents the content of some hitherto undiscovered historical evidence. The practical part of the study provides an insight into how modern medical professionals and students understand historical facts and phenomena, how they see their significance for the development of modern medicine. The predominant research methods are the analysis and scientific structuring of scientific discoveries about the origin, existence and operation of St. George's Hospital, and the discovery and analysis of new historical documents. Analytical description of the data of a written survey on the understanding of the facts of modern human history. The author believes that it is important to continue research on already known topics in the history of medicine, such as the oldest medical institution in Riga, the tendencies of creation and development of St. George's Hospital, because, as it turns out, it is always possible to find unknown facts. Keywords: hospital; medical history; Factors of operation and development of St. George's Hospital; ancient healing methods; ancient Riga.",0
7,Māsu pieredze aprūpējot mirstošus pacientus pediatrijā,"The topic of the master's thesis is ""Nurses' experience in caring for dying patients in pediatrics"". The topicality of this theme is determined by the fact that death is a theme that is not widely discussed in society. The death of a child is a particularly complicated theme of discussion. The nurse is the person who becomes physically and emotionally involved in the death process, providing care and support for the child and his or her family in a private and emotionally difficult time. The aim of the study was to find out the experience of nurses in caring for dying patients in pediatrics. Tasks: to apply Jean Watson's theory of human caring in the theoretical substantiation of the research, study and analyze scientific literature and sources on nursing experience in caring for dying patients in pediatrics, to develop and describe a research tool, select respondents, organize and conduct nursing interviews, describe and analyze research results, to develop and argue conclusions about nurses' experience in caring for dying patients in pediatrics, to develop recommendations for nurses on reducing emotional stress and support in the event of a patient's death The survey questions: What is the experience of nurses in caring for dying patients in pediatrics? What support measures are needed for nurses in caring for dying pediatric patients? The study used a qualitative method - interviews. The survey questions answered: the main problem faced by nurses is communication with parents, the main nursing support is colleagues, emotional experiences depend on the emotional connection with the patient and his family, nurses do not have a common understanding of available support in the organization and the current nursing education system does not fully prepare nurses for psycho-emotional support.",0
8,Līdzestības novērtējums 1. un 2. tipa cukura diabēta ambulatorajiem pacientiem,"The topic of the bachelor's thesis – Assessment of adherence in outpatients with type 1 and type 2 diabetes. The actuality of the topic is determined by the growing number of diabetic patients every year and consequently, the share of the health care budget devoted to the treatment of these patients is increasing every year, in numerical terms. However, the course of the underlying disease and the development of co-morbidities directly depend on the patients' knowledge of their illness, the availability of specialists and the patient's willingness to cooperate in reducing the harmful effects of the disease and not worsening the general condition of the body. The aim of the work is to find out what is the adherence of outpatients, at the same time looking for solutions to improve it. The task of the research is to confirm or reject the hypothesis:  adherence in outpatients with type 1 and type 2 diabetes is insufficient. Research tools include medical records research protocol and interview questions. Research method – mixed type research method.  The data obtained as a result of the study show, that adherence in outpatients with type 1 and type 2 diabetes is insufficient. The three main criteria that characterize patient adherence are patients' knowledge, the availability of resources necessary for the treatment process, and patients' participation in the performance of therapy tasks. Patients' knowledge is insufficient, which directly affects their participation and participation in the treatment process. The availability of resources, thanks to the support provided by the state for reimbursable medicines and special means, is sufficient, while the availability of health care specialists is insufficient. Patients, due to their inadequate knowledge, insufficiently participated in the implementation of targeted therapy, as a result of which their life expectancy is shortened and the costs of treatment of diabetic patients are significantly increased.",0
9,Intensīvās terapijas un reanimācijas nodaļas pacientu drošība transportēšanas etapā,"The topic of the bachelor's thesis is the safety of patients in the intensive care and resuscitation department during transportation to diagnostic examinations. In the pursuit of a patient-centered integrated healthcare system, the role of nurses has changed significantly, updating additional nursing competencies such as the ability to independently diagnose when patient care is needed, the ability to independently consult and the ability to independently ensure, evaluate and analyze patient care. On a day-to-day basis, the nurse's professional responsibilities relate not only to patient care, but also to the patient's responsibility in transporting him or her to and from diagnostic tests.  The aim of the work is to find out the safety measures when transporting the patients of the intensive care and resuscitation ward for diagnostic examinations. Research tasks: 1. To analyze and compile the available literature on safety measures during transportation from the intensive care and resuscitation department to diagnostic examinations, 2. to analyze Virginia Henderson's theory of nursing in relation to the topic of the bachelor's thesis, 3. to develop research tools: interview and observation protocol for practicing nurses, 4. to carry out practical research by interviewing and observing nurses practicing in the intensive care and resuscitation department, 5. summarize and analyze the obtained results, 6. to draw conclusions and practical recommendations. Research question: What are the safety measures when transporting patients in intensive care and resuscitation wards for diagnostic examinations? Research methodology: The first qualitative method: by interviewing practicing nurses, Second qualitative observation: following the principles of care and safety in the intensive care unit and intensive care unit. Working tools: structured interview, consists of 13 questions and observation protocol, consists of 9 criteria. When transporting a patient for diagnostic examinations, nurses try their best to follow the basic principles of a safe environment. Concluding from the results of the study, the question of the study: what are the safety measures in transporting patients in the intensive care and resuscitation ward for diagnostic examinations? was answered.  Keywords: Intensive care, diagnostics, patient, safety, transportation",0
10,Pacienta un ambulatorās aprūpes māsas sadarbība melanomas riska mazināšanā,"The number of melanoma cases is increasing every year and ambulatory care nurses need to be competent in educating patients. Due to the dangers of melanoma and the increase in the number of cases, a topic was chosen and a study was created to find out what are the educational specifics for ambulatory care nurses. The main tasks of the research are to study the literature related to the proposed topic of melanoma and its prevention in the practice of an ambulatory care nurse; to analyze Virginia Henderson's theory of basic needs; develop a research tool, conduct research and summarize the results to draw a conclusion based on the results. The aim of the study to find out the possible cooperation between the patient and the nurse in order to reduce the risk of melanoma.  Research question: How does a patient take melanoma prevention measures? What are the opportunities for patient-nurse collaboration to reduce the risk of melanoma? What are the professional activities of a nurse in educating the patient about melanoma and its causes. Research method - combined. Ambulatory care nurses who work with a family doctor in practice answered questions in the interview, but patients participated in the survey. The data of the bachelor's thesis research show that the most important preventive measures for melanoma in the practice of an ambulatory care nurse are patient assessment, identification of risk factors and patient education.",0
11,Geriatrijas pacientu aprūpe stacionārā,"The topic of this bachelors thesis is inpatient care of geriatric patients. The relevance of the topic is determined by the growing number of geriatric patients in hospitals. The aim of this bachelors thesis was to find out the provision of care for geriatric patients in hospitals. As well as to find out whether the knowledge of nurses about the care of geriatric patients is sufficient. The study used a quantitative research method - a survey. Betty Neuman theory of nursing in relation to inpatient care of geriatric patients is used in this work. 81 respondents participated in the study. The study was conducted on the Google forms website. It was hypothesized that the providing of inpatient care for geriatric patients depends more on communicative processes than on physiological care.  The hypothesis was partially confirmed, it was concluded that nurses are able to ensure the communicative process. Literature on human aging, common diseases and geriatric care was identified and compiled.",0
12,Stresa menedžments interno aprūpes māsu  praksē,"Theme of Bachelor work is “Stress management in internal care nurse practice”. The focus of the topic is based on the fact that for internal care nurse’ psycho-emotional stress in working environment is associated with constant sense of responsibility for the health and lives of others, different forms of patients’ character, different complicated situations. Social factors, ability to cooperate and co-work with colleagues, contact with the patients are no less important. It is essential for the management of healthcare institutions to be aware of the stress accelerating factors in the day-to-day work of nurses and to prevent or reduce them in good time. The nurses themselves should be able to use the basic components of stress management to reduce daily stress in the working environment. Aim of the work: to explore stress factors and their management in internal care nurse practices. The study carried out has highlighted the actuality of stress management in the professional performance of nurses, showed the essential stressors and indicated the importance of preventive measures to reduce stress in the working environment. The study and its results are practically usable for improvement of the professional performance of nurses for reducing stress in their working environment.  Hypothesis of the study – the longer practicing nurses cope more successfully with stress management, is proved. Key words: stress management, internal care nurses, preventive measures, burning-out.",0
