id,title,abstract,is_generated
1,Bērnu - vecāku attiecību kvalitāte saistībā ar bērna kompulsīvo interneta lietošanu longitudinālā skatījumā,"This study explores the relationship between parent-child interaction and compulsive internet use among children over time. Through a longitudinal perspective, we examine how parents' communication styles, emotional warmth, and monitoring impact children's likelihood of developing problematic internet use behaviors. Our research also investigates the role of child gender, age, and personality traits in this context. The findings shed light on the complex interplay between family dynamics and internet addiction in children, providing valuable insights for educators, mental health practitioners, and policymakers.",1
2,"Pašnāvības domu saistība ar traucētu piederības izjūtu, uztverto apgrūtinājumu un trauksmes sensitivitāti","The present study explores the relationship between thoughts of past failures and disturbances in feelings of belonging, perceived burdensomeness, and sensitivity to anxiety. Using a sample of diverse individuals, data was collected through self-report measures and analyzed using correlation and regression analyses. Results suggest that there is a significant positive relationship between thoughts of past failures and these various forms of psychological distress, highlighting the importance of addressing these negative thought patterns in psychological interventions. Potential implications and limitations are also discussed.",1
3,Modes katalogu dizaina vizuālā stilistika,"This paper presents an extensive analysis of the visual stylistics within the context of modes in design catalogs. The study delves into the different modes used in creating design catalogs and identifies the different visual elements that make up each mode. It also explores the relationship between the visual elements and their impact on the overall design of the catalog. The research highlights the importance of using visual elements that are consistent with the mode being used to ensure coherence and effectiveness in the catalog's communication. Overall, this paper provides a foundation for a broader understanding of how visual stylistics can be employed in designing catalogs that effectively communicate to the intended audience.",1
4,"Nesuicidāls paškaitējums, emociju regulācija un vardarbības pieredze pusaudžiem","This research explores the impact of emotional regulation and violent experiences on adolescents, particularly in the context of self-harm behavior. The study aims to uncover the factors that contribute to non-suicidal self-injury and how emotional dysregulation and past violent experiences may be related to the development of such behavior. Through interviews and surveys conducted with adolescents, the study sheds light on the various coping strategies employed by youth to manage their emotions and the consequences of these strategies on mental health and well-being. The findings highlight the importance of addressing emotional regulation skills and providing support for adolescents who have experienced violence in their lives to prevent the development of self-harm behavior.",1
5,Pusaudžu problemātiskas interneta lietošanas saistība ar vecāku audzināšanas stiliem un attiecībām ar vienaudžiem,"The study examines the relationship between problematic internet use among adolescents and their parent's parenting style and peer relationships. A sample of 200 teenagers between 15 and 18 years old completed a questionnaire assessing their internet use, parenting styles, and peer relationships. Results indicated a significant association between problematic internet use and authoritative parenting styles, as well as negative peer relationships. The findings suggest that parenting styles and peer relationships play important roles in adolescent's internet use and highlight the importance of early intervention to prevent problematic internet use in adolescents.",1
6,Kāzu grafiskās stilistikas tradīcijas Latvijā 20.gadsimta otrajā pusē,"This study explores graphic design traditions in Latvia during the second half of the 20th century. It examines how various cultural, political, and economic factors impacted the development of graphic design styles in Latvia during this time period. The research draws on primary sources such as design publications, periodicals, and interviews with designers to gain insights into the creative processes and techniques used by Latvian graphic designers. The findings shed light on the unique characteristics of Latvian graphic design and its contributions to the broader field of graphic design. Overall, this study provides a valuable perspective on the history of graphic design in Latvia and its cultural significance.",1
7,Piesaistes stila un apmierinātības ar attiecībām saistība ar pieķeršanos dzīvniekiem,"This study explores the relationship between attachment to animals and overall satisfaction with romantic relationships. Using a sample of participants who identified as animal lovers, researchers examined the extent to which individuals' attachment styles with animals were related to their satisfaction levels in romantic relationships. Results suggest that individuals who reported stronger emotional bonds with their pets tended to be more satisfied with their romantic relationships, although the strength and direction of this relationship varied depending on attachment style. The findings highlight the potential impact that relationships with animals can have on humans' wellbeing and interpersonal relationships.",1
8,Māksliniecisko izteiksmes līdzekļu izpēte Dž. Polloka darbos mākslas skolas 1. Klasē,"This research aims to explore the artistic expression techniques used by a well-known artist in the artworks created by first grade students. Through a qualitative analysis of the pieces, we hope to identify common themes and elements that reflect the influence of the artist's style on the young creators. Additionally, we will examine the effectiveness of teaching these techniques to young students and the potential benefits of introducing them to modern art at an early age. The results of this study could contribute to the development of educational curriculum for art schools and provide insight into the ways in which exposure to contemporary art can enhance creativity in children.",1
9,"Uzvedības problēmu, mērījumu un intervenču analīze, plānojot ieviest Labās Uzvedības Spēli skolā","This research aims to analyze and measure behavioral problems and interventions in schools with the goal of implementing a program called ""Good Behavior Game"". The study will focus on collecting data from teachers, students, and parents to identify common behavioral issues and assess the effectiveness of current intervention strategies. By analyzing the data collected, researchers hope to develop a comprehensive plan for implementing the ""Good Behavior Game"" program in schools, thereby creating a positive learning environment for students and improving overall academic performance.",1
10,Starppriekšmetu saiknes īstenošana kulturoloģijas stundās tematā “Sengrieķu kultūra” vidusskolā,"This study explores the implementation of cross-object relationships in cultural studies classes. The research focuses on the topic of ancient Greek culture in high school. The study investigates the impact of introducing cross-object relationships as a teaching tool, specifically in enhancing students' critical thinking skills and their ability to connect different cultural phenomena. The study aims to contribute to the development of effective teaching strategies that foster a deeper understanding of cultural diversity and encourage students to think outside of the box.",1
