id,title,abstract,is_generated
1,Bērnu - vecāku attiecību kvalitāte saistībā ar bērna kompulsīvo interneta lietošanu longitudinālā skatījumā,"The aim of this Master’s Thesis was to determine the parent-child relationship quality considering the emotional warmth valued by parents as an approach to parenting as well as children's assessment of the relationship with their parents in relation with indicators of a child’s compulsive internet use symptoms in the measurements of the first and repeated studies. The research was carried out within the framework of a research cooperation project “School – aged Children’s internet Use in Relation to Socioemotional Development and Parenting Practices in Latvia, Lithuania and Taiwan: A Longitudinal Study”. The study involved 263 second and third grade students, aged 8 to 10 years, with a mean age of 8.6 years and one of the child’s parents, with a mean age of 37.34 years. The following questionnaires were used in the study: for the measurements of the Internet addiction - Compulsive Internet Use Scale, CIUS; Meerkerk, van den Eijnden, Vermulst, & Garresten, 2009; for the measurements of the relationship between children and their parents - statements from Block’s Child Rearing Practices Report, CRPR; Block, 1981. Within the framework of research there was created an additional question for children about how they value their relationship with their parents. The results of the study show that there is a positive statistically significant correlation between how the child self-assesses their compulsive internet habits and how their parent evaluates them, as well as there is a statistically significant relationship between parents assessed emotional warmth as an approach of parenting and the quality of relationships in the child's assessment. Children's assessment of the child's-parent's relationship statistically significantly predicts the child's compulsive Internet use symptoms indicating that the child's assessment of emotionally warm relationships with parents can predict a reduction in the child's compulsive Internet use symptoms. Whereas the parents' assessment of the child's-parent's relationship does not statistically significantly predict the child's compulsive Internet use symptoms. The results of the study show that the more the child feels the emotional warmth expressed by the parents and his or her importance in the family, the less the child will have symptoms of compulsive Internet use.     The aim of this Master’s Thesis was to determine the parent-child relationship quality considering the emotional warmth valued by parents as an approach to parenting as well as children's assessment of the relationship with their parents in relation with indicators of a child’s compulsive internet use symptoms in the measurements of the first and repeated studies. The research was carried out within the framework of a research cooperation project “School – aged Children’s internet Use in Relation to Socioemotional Development and Parenting Practices in Latvia, Lithuania and Taiwan: A Longitudinal Study”. The study involved 263 second and third grade",0
2,"Pašnāvības domu saistība ar traucētu piederības izjūtu, uztverto apgrūtinājumu un trauksmes sensitivitāti","The aim of this study was to explore suicidal ideation in relation to thwarted belongingness, perceived burdensomeness and anxiety sensitivity, as well as to examine the potential effect of thwarted belongingness, perceived burdensomeness and anxiety sensitivity on suicidal ideation. Adult participants (N=500) filled out Negative thoughts scale, Interpersonal Needs Questionnaire and Anxiety Sensitivity Index-3. The results of this study correspond with current empirical evidence regarding suicidal ideation where the perceived burdensomeness and the cognitive dimension of anxiety sensitivity show the strongest correlations, moreover, they appear as predictors of suicidal ideation.",0
3,Modes katalogu dizaina vizuālā stilistika,"University of Latvia, Pedagogy, psychology and art faculty computer design department bachelor study program of Art 4th semester student Laura’s Anspoka’s (Stud. apl. Nr. la16037) diploma  The diploma consists of three parts.  Theoretical part gathers information about the history of fashion catalogs, their development to the present day, types of fashion catalogs.  In the empirical part, fashion look-books and catalogs created by contemporary Latvian designers are reviewed and analyzed according to four criteria created by the author. The general tendencies in them are summarized and conclusions are made. In the creative part, a design project is developed. In this part, a fashion lookbook of the author's own clothing brand is created.",0
4,"Nesuicidāls paškaitējums, emociju regulācija un vardarbības pieredze pusaudžiem","The aim of this research was to investigate the relationships between nonsuicidal self-injury methods and motives, emotion regulation dimensions and histoy of abuse. Sample was made of 82 adolescents, aged 14 -18, mean age – 15,71 years. From them 54 were girls (66 %) and 28 were boys (34 %).             Nonsuicidal self-injury methods and motives was measured with Inventory of statements about self – injury (Klonsky, 2008), emotion regulation dimensions - with Emotion Regulation Questionnaire (Gross & John, 2003) and history of abuse was measured with Childhood Trauma Questionnaire (Fink, Bernstein, Handelsman, Foote,& Lovejoy, 1995).             Results showed statistically significant relationships between nonsuicidal self-injury methods and motives with emotion regulation dimensions and history of abuse. Overall nonsuicidal self-injury methods were statistically significant prognosed by motives -  anti-dissociation, self-punishment and interpersonal boundarites. This research underlies importance of nonsuicidal self-injury motives in development of self – injurous behaviour. .         Key words: nonsuicidal self-injury, emotion regulation, history of abuse",0
5,Pusaudžu problemātiskas interneta lietošanas saistība ar vecāku audzināšanas stiliem un attiecībām ar vienaudžiem,"The aim of this master's thesis was to study the connection between problematic Internet use and parenting styles and relationships with peers; to investigate the extent to which parental upbringing and peer relationships predict PIL. The study involved 70 adolescents aged 11-15 years (mean age 13.03), of whom 40 were girls and 30 were boys. Participants completed the Internet Use Survey (Miltuze, Bite & Sebre, 2012), the People in My Life (PML), Ridenour, Greenberg & Cook, 2006 section of the People in My Life survey, and the Parenting Style Survey (Parental Authority Questionnaire-PAQ, Buri, 1991). The results of the study showed a significant relationship between the authoritarian upbringing style and PIL. This means that a more authoritarian style of upbringing is associated with problematic use of the Internet. A similar relationship was observed between permissive parenting style and PIL, but the statistical significance is weaker. No statistically significant relationship was found between PIL and the levels of trust, communication and alienation, while respondents with higher delinquent behavior in friendship also showed the highest problematic use of the Internet. The results of the hierarchical regression analysis obtained in the study showed that both delinquent behavior and authoritarian upbringing style predict PIL.",0
6,Kāzu grafiskās stilistikas tradīcijas Latvijā 20.gadsimta otrajā pusē,"European wedding traditions have developed on an unitary basis of history and traditions. Indisputably, individual territory historical destinies have affected also wedding visual decoration traditions in these territories. Western Europe lost its individuality; decorations became industrial like, the same was applied for everyone. The special status of Latvia within second half of 20-century affected the fact that wedding visual decoration traditions experienced renaissance. In this period, weddings was one of the allowed traditional events by the political authorities, that is why all Latvian desires for nationality and individuality were concentrated in them.  Due to that, also today Latvian wedding visual decorations is experiencing creative growth, is individual and preserve historical traditions and values.",0
7,Piesaistes stila un apmierinātības ar attiecībām saistība ar pieķeršanos dzīvniekiem,"The aim of the study is to find out to what extent the style of attachment and satisfaction with the partnership predicts attachment to the animal. Is there a connection between attachment to animals, satisfaction with the partnership and attachment style. A total of 150 respondents, aged 20-45, who are in a partnership, participated in the study. The Relationship Questionnaire (Bartholomew & Horowitz, 1991) was used to determine attachment. Relationship Assessment Scale (Hendrick & Hendrick, 1988). Lexington Attachment to Pets Scale (LAPS-M), 2014. The study found that relationship satisfaction predicts overall attachment to animals, but there is no statistically significant relationship to attachment to the style of attachment to animals.",0
8,Māksliniecisko izteiksmes līdzekļu izpēte Dž. Polloka darbos mākslas skolas 1. Klasē,"The main goal of the diploma work “The Research of Artistic Means of Expression in J. Pollock’s works in the 1st grade of the School of Art” is to explore J. Pollock’s means and techniques of artistic expression in his paintings and to encourage 1st grade students to use them in the ptocess of creating their own creative works. To achieve the goal, several tasks are set up, under which the author studies and describes the emergence of the abstract expressionism in the USA and the means of artistic expression in the works created by the artist. Special features of the development of children of primary school age are also being studied, the guidelines for the subject Painting developed by the Nacional Culture Centre of Latvia are getting known, a set of tasks is developed and realised, applying appropirte training methods, as well as the obtained results are summarized and analysed. The results of the study, conclusion and findings can be consulted at the end of the diploma. The appendix contains reproductions of the artist’s work, which were used as visual materials, the developed set of tasks, evalution system tables and pictures of student’s works.",0
9,"Uzvedības problēmu, mērījumu un intervenču analīze, plānojot ieviest Labās Uzvedības Spēli skolā","The aim of the master's thesis was to systematically analyze and summarize the methods and results of research conducted in the world so far on the impact of a class-based support program on the promotion of positive behavior and the reduction of unwanted behavior in school-age children. First, the work examines the manifestations of behavioral problems, focusing on measuring behavior in research. Support programs for unwanted behavior are explained later, with an emphasis on The Good Behavior Game (GBG). The research described in this paper provides an insight into the short-term and long-term effectiveness of the Good Behavior Game. It also addresses issues that should be addressed when planning to introduce a new method of behavior management. The initial goal of the study was to test the effectiveness of the Good Behavior Game in general and special education schools, but due to the emergency situation in the country it was not possible to implement it, so a pilot study of children's behavior problems was conducted in four 3rd and 4th grade general school classes. The agreement of the observations made in this pilot study in the data of two observers was evaluated, which in general showed a partial agreement, as a result of which recommendations are given for observing behavioral problems in future studies, as well as for planning and implementing Good Behavior Game.",0
10,Starppriekšmetu saiknes īstenošana kulturoloģijas stundās tematā “Sengrieķu kultūra” vidusskolā,"The title of this diploma paper is ""Cross-curricular approach in secondary education on Ancient Greek culture studies"". The aim of the research is to explore cross-curricular opportunities in the pedagogical process in secondary grade culture studies. Schemes and criteria have been developed in this study for the purpose of evaluating the cross-curricular approach.   A total of 10 lessons plans have been constructed on Greek culture studies that can be utilized for various classes. Three types of data have been analysed: self evaluation forms of pupils, test results of pupils and criteria based assesement of the teacher.  The lessons plans were approbated in a single secondary school class, benefits and limitations were analyzed if the topic had been taught cross-curricularly, conclusions were made about the process and recomendations were provided for implementing the cross-curricular approach in the pedagogical process.",0
