id,title,abstract,is_generated
1,"Spēles ar nepilnīgu informāciju, Texas holdem spēles situāciju modelēšana","Šī pētījuma mērķis ir izstrādāt modeļus un algoritmus spēlēm ar nepilnīgu informāciju, koncentrējoties uz Texas holdem spēles situācijām. Pētījums izmanto mākslīgā intelekta un mašīnmācīšanās tehnoloģiju, lai izprastu, kā spēlētāji risina un pielāgojas neskaidrām spēles situācijām. Izstrādātie modeļi un algoritmi var tikt izmantoti, lai uzlabotu spēlētāju spējas un veiksmīgi piedalītos turnīros un sacensībās.",1
2,Priekšējās kameras kakta novērtēšana ar optiskās koherences tomogrāfu,"Šajā pētījumā tika izmantots optiskās koherences tomogrāfs, lai novērtētu priekšējo kameras kakti. Tika novērsta nepieciešamība pēc invazīvām procedūrām, kas bieži vien bija saistītas ar diskomfortu un sāpēm. Tika parādīts, ka optiskās koherences tomogrāfs sniedz precīzu un uzticamu informāciju par kakti, kas ļauj ārstiem momentā salīdzināt un novērtēt tās stāvokli. Šie rezultāti var būt noderīgi ne tikai medicīniskiem, bet arī zinātniskiem nolūkiem.",1
3,Ambliopija un ekscentriskā fiksācija bērniem,"Ambliopija ir redzes traucējums, kas rodas, ja viena acs nesaņem tieši un skaidri redzi. Tā ir viena no biežāk sastopamajām slimībām bērniem, kuriem izstrādājas ekscentriskā fiksācija, kas nozīmē, ka acs parasti ir pievērsta uz sāniem, nevis uz priekšu. Šī slimība, ja tā netiek ārstēta, var izraisīt redzes zudumu un pat aklumu. Lai novērstu un ārstētu ambliopiju, bērniem regulāri jāapmeklē oftalmologs, kur tiek noteikts atbilstošs ārstēšanas kurs un veicami vajadzīgie pasākumi.",1
4,Divu lomu spēļu statistiska salīdzināšana,"Pētījumā tiek analizētas un salīdzinātas divu lomu spēļu statistikas dati, izmantojot dažādus pieejamos datu analīzes rīkus un metodes. Tiek izvērtēta spēlētāju iesaiste, laika patēriņš, uzvarētāju skaita, iespējamo minimālo un maksimālo izgājienu skaiti, kā arī citas svarīgas spēles detaļas. Pētījuma rezultāti sniedz ieskatu par spēlētāju uzvedību un spēļu biznesa potenciālu, kā arī var kalpot kā pamats turpmākai statistikas analīzei un spēļu veidošanas izvērtēšanai.",1
5,Studentu augstākās izglītības mācību procesa analīze izmantojot Markova ķēdes,"Darba tēma ir ""Studentu augstākās izglītības mācību procesa analīze izmantojot Markova ķēdes"". Tiek izmantoti statistiski modeļi, lai analizētu studentu mācību procesu augstskolā. Pētījums sniedz ieskatu par to, kā studenti pārejot no vienas stāvokļa uz otru ietekmē viņu izglītības procesu. Analizējot Markova ķēdēs bāzētu modeli, darbs izklāsta studentu uzvedību, veicot statistiku par mācību procesu.",1
6,Akomodācijas un verģences sistēmas darbības traucējumu izplatība Azerbaidžānā,"Pētījumā tiek analizēti un novērtēti Akomodācijas un verģences sistēmas darbības traucējumu izplatības raksturlielumi Azerbaidžānā. Izpētes secinājumi liecina, ka traucējumi šajās sistēmās ir diezgan izplatīti un bieži sastopami dažādās Azerbaidžānas teritorijās. Analīzes dati ļauj identificēt galvenos cēloņus traucējumu rašanās gadījumos, tādējādi veicinot to novēršanu un sistēmu darbības efektivitātes uzlabošanu.",1
7,Homogēnu un heterogēnu reakciju modelēšana gazifikācijas procesā,"Darba mērķis ir izstrādāt reakciju modeļus homogēnu un heterogēnu reakciju gadījumos gazifikācijas procesā. Darbā tiek apskatītas reakciju ātruma konstantes un reakciju kinētikas likmju veidošanās, kā arī to ietekme uz galējo produkta sastāvu. Lai izstrādātu modeļus, tiek izmantoti eksperimentāli iegūtie dati un matemātiskās metodes, piemēram, diferenciāļu vienādojumu risināšana un statistiskā analīze. Darba rezultāti var būt noderīgi, lai prognozētu un optimizētu gazifikācijas procesu, kā arī lai attīstītu jaunus materiālus enerģētikas un rūpniecības jomās.",1
8,Empīriskās ticamības funkcija kodolu gludināšanas metodēm,"Pētījumā tiek aplūkota empīriskās ticamības funkcija (ETF) kodolu gludināšanas metodēs. Pētījums piedāvā jaunu ETF estimācijas metodi, kas balstās uz lineāro nenoteiktības modeļu izmantošanu un adaptīvo krustošanas validāciju. Jaunā metode ļauj efektīvi novērtēt ETF un nodrošina augstu precizitāti, salīdzinot ar esošajām metodēm. Tika veikti eksperimenti, lai salīdzinātu jauno metodi ar esošajām metodēm, un rezultāti parādīja, ka jaunā metode ir efektīvāka un precīzāka. Pētījums sniedz ieskatu ETF novērtēšanas problēmā un piedāvā jaunu metodi, kas var būt noderīga dažādos pielietojumos, piemēram, medicīnā, finansēs un mašīnmācīšanās.",1
9,Siltuma ģenerēšanas un pārneses procesu modelēšana grafos,"Darba mērķis ir izveidot siltuma ģenerēšanas un pārneses procesa modeli grafos, kas pārbaudīts uzreiz vairākiem gadījumiem. Lai sasniegtu mērķi, darbā ir uzcelti trīs dažādu līmeņu modeļi,  no kuriem katrs koncentrējas uz citiem aspektiem - siltuma pārnesi, siltuma ģenerācijas iekārtu darbību un pašu procesu modeļošana. Analizējot dažādus parametrus un to ietekmi uz sistēmas uzvedību, izveidotie grafiskie modeļi ir parādījuši spēju nodrošināt ticamus un pareizus rezultātus. Rezultāti var tikt pielietoti siltumsūkņu ražotājiem, kas spēs izveidot uz tiem balstītus modeļus, lai analizētu un uzlabotu siltuma ģenerēšanas un pārneses sistēmas.",1
10,Paramagnētisku daļiņu ķēdes rotējošā laukā,"Šajā pētījumā tiek apskatīta paramagnētisku daļiņu kustība rotējošā magnētiskā laukā. Tiek veikta teorētiskā analīze un simulācijas, lai novērtētu dažādas parametru ietekmi uz daļiņu uzvedību un rotācijas ātrumu. Tiek izmantoti dažādi pieejas un metodes, lai salīdzinātu rezultātus un iegūtu informāciju par šīm ķēdēm.  Galvenās atziņas liecina, ka magnētiskais lauks spēj ietekmēt ķēdes rotācijas ātrumu un kustību, piedāvājot interesantas atziņas par šī procesa mehānismiem.",1
11,Gradientu pastiprināšanas algoritmu salīdzinājums un mainīgo būtiskuma analīze,"Darba mērķis ir salīdzināt divus gradientu pastiprināšanas algoritmus un veikt to mainīgo būtiskuma analīzi. Darbā ir aprakstītas abu algoritmu teorētiskās pamatvērtības un algoritmu darbības principi. Ir veiktas eksperimentālas testēšanas laikā iegūto rezultātu analīzes, kā arī aprakstītas atšķirības starp diviem algoritmiem. Darba rezultātā ir iegūti secinājumi par to, kuru no algoritmiem ir efektīvāks atkarībā no konkrētajiem apstākļiem un problēmas veida.",1
12,Eiropija jonu fotoluminiscence sudraba nanodaļiņas saturošā oksifluorīdu stikla keramikā,"Darbā pētīta Eiropijas un jonu fotoluminiscences ietekme uz oksifluorīdu stikla keramiku, ko uzlabo sudraba nanodaļiņu izmantošana. Pētījumu rezultātā iegūta informācija par sudraba nanodaļiņu ietekmi uz fotoluminiscences intensitāti un pieļaujamo oksifluorīdu koncentrāciju. Turklāt tika noteikta optimala cietība stiklkeramikas materiālam, lai panāktu maksimālu fotoluminiscences cēloni. Pētījums veikts, lai izprastu un uzlabotu sudraba nanodaļiņu un oksifluorīdu stikla keramikas saderību fotoluminiscences jomā.",1
13,Ar gradientu saistītās minimizācijas metodes,"Darbā tika apskatīti Ar gradientu saistītās minimizācijas metodes pielietojumi dažādās jomās. Pētījumā tika iegūti jauni rezultāti, kas var tikt izmantoti, lai uzlabotu šīs metodes efektivitāti un precizitāti. Tika izmantotas dažādas matemātiskas un statistiskas metodes, lai analizētu saistības starp Ar gradientu un minimizācijas procesu. Darbā tika izmantotas arī dažādas programmatūras un datorzinātnes metodes, lai veiktu analīzi un pētījumus. Pētījums var būt noderīgs dažādiem profesionāļiem un pētniekiem, kuri strādā ar Ar gradientu saistītajām minimizācijas metodēm.",1
14,"PEDOT saturošu nanošķiedru iegūšana, izmantojot elektrovērpšanas metodi, un to elektrisko īpašību raksturošana","Pētījumā tika veikta PEDOT nanošķiedru ražošana, izmantojot elektrovērpšanas metodi. Tālāk tika veikta elektrisko īpašību raksturošana, lai novērtētu materiāla izmantošanas iespējas vadošo elektro materiālu izgatavošanā. Rezultāti liecina par PEDOT nanošķiedru augstu vadītspēju un nestabilitāti, kas aizliegtu to izmantot praktiskā pielietojumā. Tomēr šī metode var būt potenciāls risinājums vēl nepiepildītajiem izaicinājumiem nanomateriālu ražošanā un raksturošanā.",1
15,Divu izlašu salīdzināšana izdzīvošanas datu analīzē,"Pētījumā veikta divu izlašu salīdzināšana, izmantojot izdzīvošanas datu analīzi. Analizēti gan pēcdzemdību iziešanas gadījumi, gan noslēguma posma slimnīcas uzņemšanas gadījumi, kam sekojis nāves iznākums. Kā galvenais secinājums tika noteikts, ka pēcdzemdību iziešana no slimnīcas bija noteicošais faktors, kas ietekmēja pacientu izdzīvošanas iespējas salīdzinājumā ar slimnīcas uzņemšanu pēc kritiska stāvokļa.",1
16,Viedās polimēru struktūras mikrokapsulētās pildvielas stabilitāte ultravioletā starojuma ietekmē,"Pētījums ir veltīts Viedās polimēru struktūras mikrokapsulētās pildvielas stabilitātes novērtējumam ultravioletā starojuma ietekmē. Veicot testus, tika noteiktas polimēru struktūras mikrokapsulētās pildvielas izturības īpašības dažādos UV starojuma apstākļos. Rezultāti parādīja, ka Viedās polimēru struktūras mikrokapsulētās pildvielas ir stabila un spēj pretoties UV starojumam, kas var būtiski ietekmēt tās izmantošanas iespējas.",1
