id,title,abstract,is_generated
1,"Spēles ar nepilnīgu informāciju, Texas holdem spēles situāciju modelēšana","Bakalaura darbā pētītas pretinieku modelēšanas metodes, risināti un analizēti spēlētāju stratēģiju veidi. Lai to paveiktu, ir nepieciešams iepazīties ar Spēļu teoriju. Skaidrākam kontekstam tiek aplūkoti spēļu teorijas jēdzieni, spēļu klasifikācija, tuvāk apskatītas spēles ar nepilnīgu informāciju, kas sevī iekļauj arī Beijesa formulas pielietošanu praktiski, kas nepieciešama, lai sekmīgi analizētu spēli. Kā pētāmā spēle izmantota pokera veids – Texas Hold’em, kuras noteikumi un izspēles gaita  ir aprakstīta darbā.  Spēlei ir izveidotas pretinieku modelēšanas metodes un aprēķinātas uzvaras varbūtības pie noteiktu izspēļu variantiem. Darba noslēgumā ir simulēta 2 spēlētāju spēle, lai praktiski apskatītu aprakstītos modeļus.",0
2,Priekšējās kameras kakta novērtēšana ar optiskās koherences tomogrāfu,"Bakalaura darbs uzrakstīts latviešu valodā uz 25 lapaspusēm, tas satur 6 tabulas, 19 attēlus un 30 literatūras atsauces. Pētījuma mērķis bija izpētīt acs priekšējā kameras kakta struktūras atvērta un slēgta kakta glaukomas gadījumos, un sakarību starp acs priekšējā kameras kakta leņķi un varavīksnenes saknes formu. Tika analizēti 311 vienas līnijas OCT attēli no oftalmologa privātprakses, kas tika iedalīti vairākās grupās: NORM (bez acu saslimšanām), PAKG1 (primāra atvērta kakta glaukoma 1. stadijā), PAKG2 (primāra atvērta kakta glaukoma 2. stadijā), PAKG3 (primāra atvērta kakta glaukoma 3. stadijā) un SAKG (slēgta atvērta kakta glaukoma) tika analizētas varavīksnenes saknes formas (VSF) un priekšējā kameras kakta leņķiskās (PKKL) vērtības. Rezultāti: Netika atrasta nozīmīga atšķirība starp PKKL un pacienta diagnozi (p > 0,05), kā arī starp VSF un pacienta diagnozi (p > 0,05). Tika atrasta korelācija starp VSF un PKKL. Samazinoties PKKL, varavīksnenes saknes forma kļūst izliektāka (r = -0,45, p ",0
3,Ambliopija un ekscentriskā fiksācija bērniem,"Darbs ir uzrakstīts latviešu valodā uz 28 lapaspusēm, satur 13 attēlus, 3 tabulas, 46 literatūras avotu atsauces. Darba mērķis un uzdevumi bija novērtēt bērniem ar ambliopiju ekscentriskās fiksācijas esamību, izmantojot Visuoscopy un makulas integritātes testa metodi. Novērtēt, vai ekscentritātes lielums atbilst redzes asumam, izpētīt makulas integritātes testa nozīmīgumu, iespējamo pielietojumu redzes nozarē. Visiem dalībniekiem tika novērtēts redzes asums tālumā, tuvumā, binokularās, stereoredzes funkcijas, fiksācijas veids, tika nozīmēta oklūzijas terapija. Analizējot metožu rezultātus, tika novērots, ka ne visiem bērniem ar ambliopiju ir ekscentriska fiksācija. Rezultāti apstiprina izvirzīto hipotēzi: novērtējot ekscentriskās fiksācijas esamību bērniem ar ambliopiju, ir iespējams paredzēt redzes asuma uzlabojumu pēc terapijas veikšanas.",0
4,Divu lomu spēļu statistiska salīdzināšana,"Šis darbs apskata divas lomu spēles: Pathfinder 1st Edition, jeb 1E, un Dungeons & Dragons 5th Edition, jeb 5E. Specifiski, tika pētīts, cik atšķirīgi ir radījumi abu spēļu klāstā, lai nonāktu pie secinājuma - vai tie, un līdz ar to - arī spēles savā starpā, ir ar statistisku nozīmību atšķirīgiviens no otra, vai nē. Lai to izdarītu, tika ievākti dati no abām spēlēm - radījumu galvenie raksturlielumi un, kurnepieciešams, veikti papildus aprēķini, lai noskaidrotu to spējas un varētu tās salīdzināt abosgadījumos. Izmantotie matemātiskie salīdzināšanas rīki: T-tests, Vilkoksona tests, Kolmogorova-Smirnova tests,TOST tests; kā arī tika veiktas grafiskā analīze, kur tas bija pieļaujams: histogrammas, ko-relāciju attēlojumi, kastu grafi, u.c.",0
5,Studentu augstākās izglītības mācību procesa analīze izmantojot Markova ķēdes,"Bakalaura darbā apskatīta Markova modeļu teorija ar absorbējošiem stāvokļiem, ar mērķi šos modeļus pielietot izglītības datu analīzei. Tiek izmantoti Latvijas Universitātes Fizikas, Matemātikas un Optomerijas fakultātes studentu mācību ilguma dati par studentiem, kas fakultātē iestājušies no 2006.gada līdz 2016.gadam. Tika pielāgoti fakultātes programmām atbilstoši Markova modeļi, ar kuru palīdzību analizēts studentu mācību progress, aprēķināts, cik liela daļa studentu pabeidz studijas. Tika veikti secinājumi, kādi ir lielākie šķēršļi absolvēt un ko studiju organizēšanā varētu uzlabot.",0
6,Akomodācijas un verģences sistēmas darbības traucējumu izplatība Azerbaidžānā,"Maģistra darb ir uzrakstīts angļu valodā uz 35 lpp. Tas satur 19 tabulas, 2 pielikumus un 16 atsauces uz literatūras avotiem.  Maģistra darba mērķis ir izvērtēt akomodācijas un verģences traucējumu izplatību un veidus Azerbaidžānas galvaspilsētas baku studentu vidū. Pētījumā piedalījās 192 dalībnieki (15-36 g.v.). Visiem tika veikta bezmaksas redzes pārbaude, kur detalizēti tika izvērtēta refrakcija, akomodācija un verģence. Rezultāti parāda, ka 51 ± 4 % dalībniekiem novēro dažāda veida akomodācijas un verģences darbības traucējumus vai to kombinācijas. Visbiežāk novērotās problēmas ir akomodācijas ekscess un konverģences nepietiekamība. Netiek novērota dzimuma un vecuma ietekme uz akomodācijas un verģences darbības traucējumu izplatību.",0
7,Homogēnu un heterogēnu reakciju modelēšana gazifikācijas procesā,"Ik gadu pieaugošais pieprasījums pēc enerģijas, kas saistīts ar pasaules populācijas pieaugšanu un nepārtrauktu industralizāciju, liek meklēt veidus, kā enerģiju iegūt pēc iespējas videi draudzīgākā ceļā. Tiek paredzēts, ka gazifikācija kā enerģijas iegūšanas veids nākotnē kļūs aizvien pieprasītāks, jo kā izejmateriālu iespējams izmantot dažāda veida biomasas, tai skaitā jebkādus organiskos atkritumus, kas ļauj izvairīties no neataunojamo dabas resursu patērēšanas. Lai arī gazifikācija ir jau sen pazīstams enerģijas iegūšanas veids, tā kontrole ir sarežģīta un procesa efektivitāte nav bijusi pietiekama, kas ir kavējis plašāku tās izmantošanu. Lai šo procesu labāk izprastu un optimizētu, pēdējos gados tiek izmantoti matemātiskie modeļi ar kuriem var paredzēt dažādu parametru izmaiņas ietekmi uz procesu. Šajā darbā tika izmantota Eilera-Lagranža metode, lai modelētu gazifikācijas procesu ANSYS Fluent vidē. Tika izveidots līdzejošās plūsmas (entrained flow) tipa gazifikatora vienkāršots 2D modelis. Veicot aprēķinus tika noskaidrots, ka izveidotais modelis 10% kļūdu robežās spēj paredzēt sintētiskās gāzes sastāva atkarību pie dažādiem oksidanta daudzumiem. Taču modelis deva pietiekoši labus rezultātus tikai zemo temperatūru diapazonā.",0
8,Empīriskās ticamības funkcija kodolu gludināšanas metodēm,"Maģistra darbā aplūkota varbūtību blīvuma funkcijas un neparametriskās regresijas funkcijas novērtēšana ar kodolu gludināšanas un empīriskās ticamības funkcijas metodēm. Darbā tika veikta simulāciju izpēte, kas parāda, ka empīriskās ticamības funkcijas metode labi darbojas blīvuma funkcijas un regresijas funkcijas novērtēšanā un dod labus rezultātus pārklājuma precizitātei. Darba gaitā tika paradītī praktiski lietojumi bioloģisko populāciju skaita un blīvuma novērtēšanā un bioloģisko datu regresijas analīzē. Definēta empīriskās ticamības funkcijas pielietošana, kad ir pieejama papildus informācija par populācijas sadalījumu. Doti nepieciešamie algoritmi kodolu gludināšanas un empīriskās ticamības metožu praktiskai realizācijai.",0
9,Siltuma ģenerēšanas un pārneses procesu modelēšana grafos,"Šajā maģistra darbā ir apskatīts siltuma pārneses un starojuma pārneses process siltumvadīšanas vienādojumam, ar kuriem tālāk izveidoti matemātiskie modeļi. Vispirms analizē diskrēto Laplasa operatoru siltumvadīšanas vienādojumiem tas attēlots ar grafu palīdzību. Tika izveidoti matemātiskie modeļi diskrētiem gadījumiem ar avota locekļiem un bez tiem un veikti to skaitliskie eksperimenti.  Ar Furjē likumu siltuma plūsmai  tika veidota diskretizācija no vienas grafa virsotnes uz otru. Pēc tam tiek aplūkots ēnošanas efekts un radiatīvā pārnese un modeļiem veiktas simulācijas ar taišņu metodi programmu paketē MATLAB. Darbā ir aprakstīts kāda ir saistība siltumvadīšanas vienādojumiem uz grafiem un metriskiem grafiem. Visbeidzot izstrādāta siltumenerģijas plūsmas matemātiskā analīze  maksimuma principam.",0
10,Paramagnētisku daļiņu ķēdes rotējošā laukā,"Šajā darbā ir veikti paramagnētisku daļiņu kustības skaitliskie aprēķini viskozā šķidrumā rotējošā laukā. Modelī tiek izmantotas daļiņas ar vienas ass magnētisko anizotropiju. Pēc veikto simulāciju rezultātiem tika izpētīti daļiņu rotācijas režīmi ķēdēs, kad daļiņas anizotropijas ass spēj un kad nespēj izsekot lauka rotācijai un parādīta šo režīmu ietekme uz ķēdes stabilitāti rotējošā laukā. Ir iegūta maksimālā, jeb kritiskā lauka rotācijas frekvence pie kādas ķēde nesalūst, atkarībā no ķēžu garuma pie dažādiem magnētiskās anizotropijas parametriem. Skaitliskie rezultāti salīdzināti ar literatūrā atrodamiem teorētiskiem rezultātiem. Ja daļiņas telpā izkārto haotiski, tad pēc iedarbošanās ar rotējošu lauku daļiņas sastājas plaknēs, kas sakrīt ar lauka rotācijas plakni, kurās izveidojas ķēdes. Ķēdes rotē līdzi laukam, savā starpā mijiedarbojas un apmainās ar daļiņām. Simulācijās tiek vākta ķēžu garumu statistika un ir izteikti novērojams lauka rotācijas frekvencei atbilstošs tipiskais ķēžu garums. Tipiskais ķēžu garums ir gandrīz par konstantu vērtību mazāks kā kritisko ķēžu garumu. Visi aprēķini veikti ar paša veidotām datorprogrammām.",0
