id,title,abstract,is_generated
1,Zemes lietojuma veidu ietekme uz ezeru ekoloģisko kvalitāti Gaujas upju baseinu apgabalā,"Pētījumā tiek analizēta zemes lietojuma veidu ietekme uz ezeru ekoloģisko kvalitāti Gaujas upju baseinu apgabalā. Izmantotie dati liecina, ka apsaimniekotās zemes platības kavē ietekmes uz ezeriem samazināšanos. Savukārt, mežu platību samazināšanās un lauksaimniecības intensifikācija negatīvi ietekmē ezeru ekoloģisko kvalitāti. Analizējot ietekmi uz dažādiem ezeru parametriem, novērojams, ka lielāks zemes platību apjoms ar mežu var uzlabot ezeru trofisko statusu, bet intenzīva lauksaimniecības izmantošana var negatīvi ietekmēt ezeru attīstību, kā arī veicināt augšņu piesārņojumu. Rezultāti norāda, ka ir nepieciešams uzlabot zemes lietojuma planēšanu, lai mazinātu negatīvo ietekmi uz ezeru un dabas stāvokli.",1
2,Latvijas ozolu audžu ekosistēmu augšņu raksturojums,"Šajā pētniecībā tika veikts detalizēts Latvijas ozolu audžu ekosistēmu augšņu raksturojums, izmantojot dažādas metodes un tehnikas, ieskaitot grunts un augu parauga savākšanu, ķīmiskos un fiziķiskos analīzes. Tika novērtēta augšņu kvalitāte un sastāvs atkarībā no audžu vecuma, atrašanās vietas un citiem faktoriem. Rezultāti atklāj interesantas atšķirības reģionu starpā, kas varētu būt noderīgi turpmākajā pētniecībā un pat praktiskajā pielietojumā.",1
3,Zivju sugu aizsardzība NATURA 2000 teritorijās: Latvijas piemērs,"Zivju sugu aizsardzība NATURA 2000 teritorijās ir augstākā prioritāte, kas ir svarīga, lai saglabātu bioloģisko daudzveidību un nodrošinātu cilvēka un dabas saskaņotu attīstību. Latvijas piemērs liecina par veiksmīgu zivju aizsardzības stratēģiju, kuru efektivitāte ir sasniegta, izmantojot integrētu pieeju, kas ietver zivju sugu bioloģisko informāciju, dabas resursu vadību un sadarbību ar krasta iedzīvotājiem. Šāda pieeja nodrošina ilgtspējīgu zivju resursu izmantošanu, kā arī pozitīvu ietekmi uz dabu un vietējo sabiedrību.",1
4,Dolokrēti un to izplatība devona Amatas svītas ģeoloģiskajā griezumā Amatas upes baseinā,"Starp stratigrāfiskajiem līmeņiem Amatas sērijā devona griezumā var atrast dolokrētus, kas ir atrodamas dažādās izplatības zonās, norādot uz struktūru un attiecībām starp dažādiem stratigrāfiskajiem horizontiem. Šajā pētījumā mēs apskatīsim dolokrētu izplatību devona Amatas svītas ģeoloģiskajā griezumā un pētīsim to parādīšanās cēloņus un radīs ieguvumus attēlojot Amatas upes baseinā.",1
5,Augu darbības pazīmes vidējā devonā Latvijā,"Šajā pētījumā tiek apskatītas augu darbības pazīmes vidējā devonā Latvijā. Tika analizētas dažādas augu sugas, to sastāvs, augšanas ātrums un bojājumi. Tika novērotas arī ietekmes, kas rodas no vides faktoriem, piemēram, klimata un ģeoloģijas. Rezultāti parāda, ka vidējais devons Latvijā ir ļoti atšķirīgs no citām valstīm un tam ir dažādas unikālas augu darbības pazīmes.",1
6,Devona Pļaviņu svītas dolomītu fizikāli mehāniskās īpašības,"Pētījuma mērķis bija noteikt Devona Pļaviņu svītas dolomītu fizikāli mehāniskās īpašības. Pētījuma laikā tika veikti dažādi testi, lai noteiktu materiāla blīvumu, sacietēšanas laiku, deformācijas spēku un citus būtiskus parametrus. Rezultāti parādīja, ka Devona Pļaviņu svītas dolomīts ir ļoti izturīgs pret deformāciju un ir piemērots dažādiem inženiertehniskiem projektiem, kas prasa šāda tipa materiālu izmantošanu.",1
7,Laugas purva ūdens un kūdras ķīmiskais sastāvs,"Pētījumā tika analizēts laugas purva ūdens un kūdras ķīmiskais sastāvs. Tika veiktas dažādas analīzes, lai noskaidrotu makroelementu un mikroelementu daudzumu, pH līmeni, orgānisko vielu saturu un citus svarīgus faktorus. Rezultāti liecina, ka laugu purva ūdens un kūdras ķīmiskais sastāvs ir ļoti daudzveidīgs un atšķiras atkarībā no konkrētās vietas un tās vēsturē. Tika konstatēts, ka purva ūdens un kūdras var būt būtiski līdzekļi vides aizsardzībai un dabas resursu saglabāšanai, ja to ķīmiskais sastāvs tiek rūpīgi analizēts un izmantots atbilstoši.",1
8,Sadzīves notekūdeņu apsaimniekošanas tiesiskie aspekti decentralizētajās kanalizācijas sistēmās Latvijā,"Latvijas sadzīves notekūdeņu apsaimniekošanas tiesiskie aspekti decentralizētajās kanalizācijas sistēmās ir ārkārtīgi svarīgi, lai nodrošinātu tīru un veselīgu vidi. Šis pētījums analizē decentralizētu kanalizācijas sistēmu tiesiskos regulējumus un to ietekmi uz sadzīves notekūdeņu attīrīšanas procesu. Tiek izskatīta centrālās un vietējās pārvaldes loma un atbildība šajā jomā. Tāpat pētījumā tiks apskatīti citi faktori, piemēram, iedzīvotāju un uzņēmumu iesaistīšana un to finansiālā atbildība. Pētījums ir vērsts uz esošo likumdošanu un prakšu novērtējumu un piedāvā ieteikumus, kā uzlabot decentralizēto kanalizācijas sistēmu tiesisko regulējumu, lai nodrošinātu efektīvu un ilgtspējīgu sadzīves notekūdeņu apsaimniekošanu Latvijā.",1
9,Lielmēroga dzīvojamo rajonu pārmaiņu procesi: Iļģuciema piemērs Rīgā,"Pētījums ir veltīts lielmēroga dzīvojamo rajonu pārmaiņu procesiem, izmantojot Iļģuciema piemēru Rīgā. Darba mērķis ir analizēt, kāda veida pārmaiņas notikušas Iļģuciema rajonā un kā tās ir ietekmējušas tā sociāli ekonomisko situāciju. Darbs sastāv no divām daļām. Pirmā daļa sniedz teorētisku pamatojumu pilsētvides un dzīvojamo rajonu transformācijai. Otrā daļa piedāvā Iļģuciema piemēru kā praktisko piemēru. Pētījuma rezultāti varētu kalpot kā ieteikumi, kā racionālāk izmantot urbāno telpu un uzlabot dzīvojamās vides kvalitāti.",1
10,Piekrastes pārvaldības novērtējums un attīstības priekšlikumi Jūrmalas pilsētas pašvaldībā,"Pētījuma mērķis ir novērtēt Piekrastes pārvaldības attīstību Jūrmalas pilsētas pašvaldībā un sagatavot priekšlikumus tās uzlabošanai. Pētītāji izmantos dažādus pētniecības paņēmienus, lai iegūtu informāciju par Piekrastes pārvaldības darbību un pašvaldības iedzīvotāju viedokļus. Pētījuma rezultāti sniegs ieskatu situācijā un iespējas uzlabot Piekrastes pārvaldību Jūrmalas pilsētas pašvaldībā, kā arī sniegs ieteikumus lēmumu pieņēmējiem par vajadzīgajiem uzlabojumiem.",1
11,"Humusvielu biostimulējošās aktivitātes novērtējums, izmantojot dīgšanas testus","Pētījumā tika novērtēta humusvielu biostimulējošā aktivitāte, izmantojot dīgšanas testus. 30 dienas ilgi skābekļa bagātinātā vidē tika novērots, ka humusvielu pielikšana ietekmē augu dīgšanu. Rezultāti konstatēja, ka humusvielas pozitīvi ietekmē sēklu klijēšanu un augu izaugsmi, tādējādi varētu būt potenciāls lētāks un videi draudzīgāks biostimulants, kas varētu atvieglot augu audzēšanu.",1
