id,title,abstract,is_generated
1,Runātāja retoriskais portrets pandēmijas situācijā.,"Runātāja retoriskais portrets pandēmijas situācijā ir pētījums par runātāju spēju būt efektīvam un pielāgoties pasaules situācijai ar pandēmijas ierobežojumiem. Šajā pētījumā tika analizēti dažādu profesiju runātāji un to veikums uzstāšanās laikā, izmantojot retoriskas tehnikas un īpašas apgalvojumu pierādīšanas metodes. Iegūtie dati atklāja, ka pandēmijas situācija prasa no runātājiem lielākas pielāgošanās spējas un izpratni par auditorijas prasībām, tādējādi kārojot retoriku.",1
2,Autonomā vācu valodas apgūšana studentu vidū,": Dalība autonomās vācu valodas apmācībā ietekmē studentu valodas prasmes un pašpārliecību mācību gaitā. Pētījuma mērķis bija izvērtēt, kā norit autonomās vācu valodas apmācības un kādas prasmes studenti iegūst no individuālās mācīšanās. Pētījumā piedalījās 30 studenti no dažādām augstskolām Latvijā. Pēc apmācības beigām studenti norādīja, ka ir ieguvuši lielu pašpārliecību vācu valodas prasmēs un labāk spēj izprast lasīto un runāt vācu valodā. Autonomā apmācība tika atzīta par efektīvu un interesantu mācīšanās metodi, kuru vēlme turpināt izmantot turpmākajā studiju procesā.",1
3,E-apmācības aplikāciju izmantošana vācu valodas stundās vidusskolās,"Pētījuma mērķis bija izpētīt E-apmācības aplikāciju izmantošanas iespējas vācu valodas stundās vidusskolās. Tika veikts vērtējums, kā šīs aplikācijas varētu palīdzēt uzlabot skolēnu vācu valodas prasmes. Pētījums parādīja, ka šīs aplikācijas ir efektīvs veids, kā papildināt tradicionālās mācības un veicināt skolēnu motivāciju mācīties vācu valodu. Tomēr, lai sasniegtu pilnīgu iespēju, ir svarīgi gūt atgriezenisko saiti no skolēniem un pilnveidot aplikāciju funkcionalitāti.",1
4,Spāņu valoda Latvijā: Latvijas iedzīvotāju lingvistiskā attieksme kā faktors valodas izplatībā,"Pētījuma mērķis ir analizēt Latvijas iedzīvotāju lingvistisko attieksmi pret spāņu valodu un tās izplatību Valstī. Pētījuma hipotēze ir tāda, ka Latvijas iedzīvotāju attieksme ir viens no svarīgākajiem faktoriem, kas ietekmē spāņu valodas izplatību. Pētījuma materiālā ietilpst gan kvalitatīvā, gan kvantitatīvā datu analīze, tostarp aptaujas un intervijas, lai iegūtu plašu skatījumu uz spāņu valodas lomu Latvijā. Rezultāti parāda, ka spāņu valodas vērtējums un izplatība ir atkarīga no valsts iedzīvotāju lingvistiskās attieksmes un kultūras faktoriem.",1
5,Argumentācija Beļģijas un Francijas politiskajā diskursā no 2010. līdz 2020. gadam: kontrastīvā analīze,"Pētījuma mērķis ir analizēt un salīdzināt Beļģijas un Francijas politiskā diskursa argumentāciju, laika posmā no 2010. līdz 2020. gadam. Kontrastējot divu valstu politisko vidi, šajā pētījumā tiek skatītas dažādas argumentācijas formas, kā arī to svarīgākās tēmas un argumentu lielākās atšķirības. Pētījums sniedz ieskatu politiskā diskursa attīstībā abās valstīs un palīdzēs saprast, kā mainījusies politiskā valoda pēdējos gados, kā arī kādi ir galvenie argumenti, ko protagonisti izmanto, lai pārliecinoši ietekmētu sabiedrības izpratni un attieksmi pret politisko situāciju.",1
6,Mūsdienu latviešu erotiskais romāns - Karīnas Račko piemērs,"""Mūsdienu latviešu erotiskais romāns - Karīnas Račko piemērs"" ir rakstnieces Karīnas Račko veidots darbs, kas apvieno sevī gan erotiku, gan romantiku. Šajā grāmatā tiek stāstīta Karīnas personiskā pieredze mīlestības jomā, savstarpējās attiecības un jutības. Grāmata iepazīstina lasītāju ar modernu pieeju erotiskajai literatūrai, bet vienlaikus rosinās padomāt par mīlestību un to, kas to patiesībā nozīmē. Karīnas sakopojot šīs divas tēmas, radījusi grāmatu, kas noteikti aizraus lasītājus no pirmajām lapaspuses līdz pat pēdējam vārdam.",1
7,Tulkošanas metodes un subjektīvisma faktors daiļliteratūras tulkošanā,"Darbā tiek apskatītas dažādas tulkošanas metodes un to pielietojums daiļliteratūras tulkošanā. Īpaša uzmanība tiek pievērsta subjektīvisma faktoram, kā arī tā ietekmei uz tulkošanas procesu un rezultātu. Tiek analizēti piemēri no dažādām valodām un autoru darbiem, lai izprastu, kā subjektīvisms var ietekmēt tulkošanas izvēli un galējo produktu. Darbs tiek pamatots ar teorētiskiem un praktiskiem piemēriem, lai sniegtu ieskatu tulkošanas darba sarežģītībās un iespējās.",1
8,Meteoroloģisko parādību atspoguļojums latviešu valodā,"Pētījuma mērķis ir izpētīt meteoroloģiskās parādības un to definīcijas, kā arī to tulkojumus latviešu valodā. Pētījumā tika izmantota dažāda literatūra un avoti, lai apkopotu pēc iespējas plašāku informāciju. Tika veikta arī apkopojumu analīze, lai noteiktu meteoroloģiskās parādības visbiežāk sastopamos tulkojumus un to atšķirības no citiem valodu tulkojumiem. Pētījums var kalpot kā materiāls meteoroloģijas jomas speciālistiem, tulkošanas speciālistiem, kā arī valodniekiem.",1
9,Tulkošanas stratēģijas Valsts Centrālās bankas gada pārskata ievadā,"Valsts Centrālās bankas gada pārskats ir galvenais līdzeklis, lai nodrošinātu skaidru informāciju par bankas darbību un saistīto ekonomisko situāciju. Tulkošanas stratēģijas ieviešana pārskata ievadā palīdzēs efektīvi nodrošināt šo informāciju arī starptautiskajā mērogā. Šajā darbā tiek analizēti un salīdzināti dažādi tulkošanas risinājumi, kas var būt piemēroti gada pārskata ievaddaļai. Darbā tiek uzsvērta pareiza tulkošanas stratēģijas izvēlēšanu nozīme, lai nodrošinātu skaidru un precīzu informācijas pārnesi, kā arī atklātību bankas darbībā.",1
10,Metaforas fitnesa treneru publikācijās sociālajos medijos,"Pētījums analizē fitnesa treneru publikācijas un to darbības sociālajos medijos, fokusējoties uz metaforu lietojumu. Pētījumā tiek identificēti un analizēti metaforiskie izteicieni, kas tiek izmantoti, lai aprakstītu fitnesa treneru profesionālo darbību un atbalstīt klientus sasniegt fitnesa mērķus. Analīze atklāja vairākas atliktas un pārnestas metaforas, kas saskaras ar uzturu, treniņiem un attīstībai. Pētījums sniedz iespēju iegūt skaidrāku izpratni par to, kā fitnesa treneri izmanto metaforas savu darbību un klientu atbalstam sociālajos medijos.",1
