id,sentence,is_generated
1,Bakalaura darbs ir veltīts komunikatīvo dominantu izpētei runātāja retoriskājā portretā COVID-19 situācijā.,0
2,"Autora mērķis ir veikt izteicienu kopuma ""stratēģisku"" analīzi, kas dod iespēju retoriski attēlot divus ārstus ekspertus: E. Mališevu (Krievija) un U. Dumpi (Latvija).",0
3,"Autors veic komunikācijas stratēģiju realizāciju salīdzinošu analīzi runātāju runā, izmantojot retoriskās (""stratēģiskās"") analīzes metodi, identificē pazīmes, kas raksturo izpratni par COVID-19 situāciju, tās prezentācijas specifiku sociālajā vidē pārliecināšanas nolūkos.",0
4,"Darbs var interesēt filologus, kā arī visus lasītājus, kurus interesē šī problēma.",0
5,Šis darbs ir veltīts vācu valodas patstāvīgas mācīšanās pētīšanai studentu vidū.,0
6,"Tas ir balstīts uz autores tiešo pieredzi Erasmus studiju apmaiņas programmas laikā, kad studentiem bija nepieciešams apgūt vācu valodu un komunicēt starpkultūru vidē.",0
7,"Rezultātā tika pētītas vācu valodes apguves iespējas un veidi studentu vidū, kā arī autonomija šajā procesā.",0
8,"Pētot bibliogrāfiju, tika konstatēts, ka ir ierobežots daudzums literatūras, kas īpaši koncentrējas uz vācu valodas apguvi studentu vidū Erasmus programmas kontekstā.",0
9,"It īpaši maz ir zināms par viņu mērķiem, vēlmēm un iecienītākajām metodēm.",0
10,"Darba mērķis ir ne tikai noteikt metodes, ko studenti izmanto vācu valodas apguvei, bet arī noskaidrot, cik efektīva ir pašmācība un vai tā ir populārāka nekā valodas mācīšanās pie individuāla skolotāja vai valodas kursos.",0
11,"Lai sasniegtu šo mērķi, tika izskatīta un apkopota teorētiskajā daļā zinātniskā un metodiskā literatūra.",0
12,"Praktisko daļu veido analīze, pamatojoties uz rezultātiem, kas tika iegūti, veicot aptauju starp 125 ārvalstu studentiem, kuri mācās vācu valodu.",0
13,"Bakalaura darbā tiek aplūkota vidusskolas skolēnu motivācija mācīties vācu valodu, kā arī E-Learning aplikāciju izmantošana valodas apgūšanai.",0
14,"Darba mērķis ir ar aptaujas palīdzību noskaidrot, vai vidusskolas skolēni izmanto kādu no E-Learning aplikācijām, lai mācītos vācu valodu.",0
15,Aptaujā piedalījās 33 skolēni no Salaspils 2. vidusskolas un Rīgas 13. vidusskolas.,0
16,"No iegūtajiem rezultātiem tika secināts, ka vidusskolas skolēni ir motivēti mācīties vācu valodu un uzskata, ka tā būtu vajadzīga nākotnē darbā, ceļojumos vai izglītībā.",0
17,Darba hipotēze netika apstiprināta.,0
18,"Latvijā, valstī ar stingru politisku un juridisku atbalstu valsts valodas nostiprināšanai, uz noteikta vēsturiska un ģeopolitiska fona ienāk arī viena no lielākajām pasaules valodām – spāņu valoda.",0
