id,title,abstract,is_generated
1,Zemes lietojuma veidu ietekme uz ezeru ekoloģisko kvalitāti Gaujas upju baseinu apgabalā,"Zemes lietojuma veids ir viens no būtiskākajiem faktoriem, kas ietekmē upju un ezeru ekoloģisko kvalitāti. Daudzās upēs un ezeros nepārdomātās apsaimniekošanas dēļ ir lielas biogēno vielu, pesticīdu un komplekso ķīmisko savienojumu koncentrācijas. Maģistra darba mērķis ir noskaidrot dažādu zemes lietojuma veidu ietekmi uz Gaujas upju baseina apgabalā esošu ezeru ekoloģisko kvalitāti. Darbā tika izmantoti virszemes ūdeņu kvalitātes monitoringa dati, ekoloģiskās kvalitātes novērtējuma pielietotie bioloģiskie indeksi - T, ASPT, DSFI, EPT, Šenona-Vīnera daudzveidības indekss (H), LLMMI - morfoloģiskie ezeru parametri. Pētījuma rezultāti parādīja, ka biogēno vielu (Nkop) noplūde no aramzemēm negatīvi ietekmē ezeru ekoloģisko kvalitāti. Makrozoobentosa indeksu vērtības un mežu platību savstarpējās attiecības apliecina, ka lielāks mežu īpatsvars sateces baseinā ir saistīts ar augstāku ezeru ekoloģisko kvalitāti. Savukārt urbānās teritorijas pēc galveno komponentu analīzes rezultātiem uzrāda līdzīgas atbildes reakcijas ar hlorofilu-a un amonija slāpekli un kopumā tās pozitīvi korelē.",0
2,Latvijas ozolu audžu ekosistēmu augšņu raksturojums,"Pētījumu aktualitāti nosaka klimatu pārmaiņu ietekme uz parastā ozola (Quercus robur) izplatības paplašināšanos ziemeļu virzienā. Klimatam kļūstot maigākam un palielinoties vides piesārņojumam, augsnes bagātinās ar barības vielām, veicinot platlapju augu sabiedrībām piemērotu ekoloģisko nišu apjomu (Laiviņš 2018). Ozolu augšņu ietekmējošo faktoru izpēte sniedz iespēju mežsaimniecībā un dabas aizsardzībā nākotnē atrast potenciālās ozolu audžu izplatīšanās vietas. Maģistra darba mērķis ir noskaidrot augsnes īpašību nozīmi ozolu audžu izplatībai Latvijā un augsnes cilmieža, kokaudzes sastāva un zemes izmantošanas vēstures ietekmi uz augsnes īpašībām.  Maģistra darbā apkopota informācija par augsnes īpašībām un faktoriem, kas ietekmē ozolu audžu izplatību Latvijā. Pētījumā darba izstrādes laikā ir apkopota informācija par ozolu audžu augšņu izplatības likumsakarībām gan  Eiropā, gan Latvijā. Tika izmantoti dati no Latvijā saimnieciski izmantojamām ozolu audzēm un ilgstoši mežsaimniecībā neizmantojamām ozolu audzēm Moricsalā. Iegūtie rezultāti parāda, ka ozolu audžu izplatību ietekmē granulometriskais sastāvs, ko savukārt ietekmē to veidojošie ģeoloģiskie nogulumi. Kā arī, Latvijas ozolu audžu īpašības ir atkarīgas no granulometriskā sastāva, kokaudzes sastāva, ko parāda koku nobiru kvalitāte, atstājot būtisku ietekmi uz augsnes minerālā horizontu virsējo slāni (0-10 cm).",0
3,Zivju sugu aizsardzība NATURA 2000 teritorijās: Latvijas piemērs,"Bioloģiskās daudzveidības saglabāšana ir aktuāla ne tikai Latvijā, bet arī visā pasaulē, kur ilgtspējīga attīstība iet roku rokā ar sugu saglabāšanu un aizsardzību. Bakalaura darbā “Zivju sugu aizsardzība Natura 2000 teritorijās: Latvijas piemērs”, izmantojot projekta “Natura 2000” ietvaros veidoto datu bāzi, apkopojot datus par Latvijas Natura 2000 teritorijās sastopamajām zivju sugām, tika veikta zivju sugu aizsardzības un ekoloģiskā stāvokļa izvērtēšana. Aizsargājamās teritorijas saskaras ar dažādiem bioloģiskās daudzveidības ietekmējošiem faktoriem. Uz upju pietekām savulaik uzbūvēti daudzi dzirnavu dambji un vairāki mazo HES aizsprosti. Šie aizsprosti ir šķērslis migrējošajām zivju sugām. Lai situāciju uzlabotu, jāizbūvē zivju ceļi pie mākslīgajiem šķēršļiem ūdenstecēs. Bakalaura darbs sastāv no 45 lappusēm, 4 attēliem, 3 tabulām, 2 pielikumiem. Atslēgas vārdi: sugu daudzveidība, zivju sugu saglabāšana, zivju aizsardzība, Natura 2000.",0
4,Dolokrēti un to izplatība devona Amatas svītas ģeoloģiskajā griezumā Amatas upes baseinā,"Maģistra darbs ir par dolokrētiem un to izplatību devona Amatas svītas ģeoloģiskajā griezumā Amatas upes baseinā. Dokumentēts Amatas svītas ģeoloģiskais griezums Dolomītu kraujā un Īļaku iezī, veikti pieslīpējumu un plānslīpējumu pētījumi un stabilo izotopu analīze. Darba rezultātā noskaidrots, ka Amatas svītas augšdaļā aptuveni 4 m intervālā ir vismaz divi seno augšņu horizonti. Nogulumi ir drošām plūdmaiņu pazīmēm ir sastopami tikai zem šī intervāla. Maģistra darbā iegūtie dati norāda uz regresīvu sedimentācijas baseina attīstību devona Amatas laikposma beigās.",0
5,Augu darbības pazīmes vidējā devonā Latvijā,"Maģistra darbā ir raksturotas vidējā devona Arukilas un Burtnieku svītu nogulumos esošās rizokrēcijas, kas pārsvarā saistītas ar dolokrētiem. Sakņu struktūru atrašanās nogulumos ļauj identificēt subaerālās atsegšanās notikumus vai sekla ūdens vidi. Pētījumā izmantotas oglekļa un skābekļa stabilo izotopu analīzes, granulometriskā sastāva analīzes, kā arī rizokrēciju un dolokrētu mikrotekstūru un makrotekstūru raksturojums. Dokumentēta rizokrēciju un dolokrētu atrašanās vieta ģeoloģiskajos griezumos. Secināts, ka vidējā devonā augiem pamazām ir palielinājušies sakņu izmēri, un tie ir auguši gan sauszemē, gan sekla ūdens apstākļos neaktīvos deltu kanālos vai ezeriņos.",0
6,Devona Pļaviņu svītas dolomītu fizikāli mehāniskās īpašības,"Maģistra darba mērķis ir raksturot augšējā devona Pļaviņu svītas dolomītus, ka arī raksturot to fizikāli-mehāniskas īpašības pētāmajās atradnēs, kuras atrodas Latvijas centrālajā un ziemeļaustrumu daļā. Pētījuma izstrādes laikā lauka darbu ietvaros tika veikti atseguma sienu dokumentācijas un paraugošanas darbi. Izmantojot plānslīpējumu pētījumus un Losandželosas un Mikro-Devāla nodilumizturības testus, tika iegūta nepieciešamā informācija par ieža fizikāli-mehāniskajam īpašībām un tekstūras un struktūras ietekmi uz tām. Pētījuma rezultātā secināts, ka Pļaviņu svītas dolomītu fizikāli-mehāniskas īpašības pasliktinās no Latvijas ziemeļaustrumiem uz rietumiem. Papildus tika secināts, ka dolomīta tekstūras un struktūras ir būtisks faktors, kas nosaka dolomīta fizikāli-mehāniskās īpašības.",0
7,Laugas purva ūdens un kūdras ķīmiskais sastāvs,"Dreimanis, J. „Laugas purva ūdens un nogulumu ķīmiskais sastāvs”. Maģistra darbs. Rīga, Latvijas Universitāte, Ģeogrāfijas un Zemes zinātņu fakultāte, 2019. Maģistra darba ietvaros veikts kūdras un purva ūdens ķīmiskā sastāva pētījumi gan Laugas purva ietekmētajās teritorijās, gan purva dabiskajā daļā, kā arī arī Laugas purva ezeros.   Maģistra darba mērķis ir noskaidrot, raksturot un salīdzināt purva ūdeņu un nogulumu ķīmisko sastāvu un piesārņojumu dažādi ietekmētās Laugas purva daļās. Lai noskaidrotu purva ūdeņu un nogulumu ķīmisko sastāvu un veiktu piesārņojuma raksturojumu, tika veikti lauka pētījumi, tai skaitā, ģeoloģiskā urbšana un paraugu ņemšana analīzēm laboratorijā. Veikta purva ūdens ķīmiskā sastāva noteikšanu ar šķidruma-gāzu hromatogrāfu un metālu sastāva noteikšanu. Izmantojot datorprogrammas (MS Excel, GCMS Solution Version 4.3 u.c veikta datu apstrāde un vizualizācija, kā arī rezultātu interpretācija. Izanalizējot pētījmumā iegūtos datus, secināts, ka kūdra satur ievērojami lielāku piesārņojošo vielu daudzumu, tajā skaitā, metālu elementu, nekā purva un purva ezeru ūdens dažādi ietekmētās Laugas purva daļās.    Atslēgas vārdi: purva ūdeņi, kūdra, ķīmiskais sastāvs, gāzu hromatogrāfija, metālu analīze.",0
8,Sadzīves notekūdeņu apsaimniekošanas tiesiskie aspekti decentralizētajās kanalizācijas sistēmās Latvijā,"Pēdējo piecu gadu laikā Latvijā plaši tika diskutēts par sadzīves notekūdeņu attīrīšanu decentralizētās kanalizācijas sistēmās, jo vietās (pārsvarā ciemos), kur nav izbūvēta centralizētā kanalizācijas sistēma, ir ļoti daudz problēmu ar notekūdeņiem: iedzīvotāju neapmierinātība, neattīrīto notekūdeņu novadīšana vidē utt. Darbā pacelts jautājums ir ļoti aktuāls, jo sadzīves notekūdeņu attīrīšanas decentralizētājās sistēmās tiesiskā bāze tikai tagad pakāpeniski sāk darboties, un vēl nav vispusīgi pietiekami pētīta Latvijā. Darbā tiek pētīts jautājums, kā tiesiski un praktiski darbojas noteikumi par decentralizēto kanalizācijas sistēmu apsaimniekošanu un reģistrēšanu Latvijā.",0
9,Lielmēroga dzīvojamo rajonu pārmaiņu procesi: Iļģuciema piemērs Rīgā,"Mājokļu deficīta un industrializācijas procesa virzītie modernisma tradīcijas veidotie lielmēroga dzīvojamie rajoni, kas tika būvēti laika posmā no II pasaules kara līdz 1990. gadu sākumam ir nozīmīga daļa no Rīgas apbūves un mājvieta vairāk kā 60% Rīgas iedzīvotāju. Laika gaitā rajoni ir nolietojušies, un pārmaiņas tajos netiek pienācīgi plānotas. Maģistra darbs “Lielmēroga dzīvojamo rajonu pārmaiņu procesi: Iļģuciema piemērs Rīgā”  zinātniskā novitāte ir kopš 1990.-tajiem gadiem notikušo pārmaiņu procesu apzināšana un sistematizēšana. Darba mērķis ir izstrādāt priekšlikumus lielmēroga dzīvojamo rajonu problemātikas risināšanai Rīgā, ka galveno metodi izmantojot scenārijs. Darba rezultāti ir lielmēroga dzīvojamos rajonos pēdējos trīsdesmit gados notikušo pārmaiņu procesu sistematizācija un priekšlikumi to plānošanai.",0
10,Piekrastes pārvaldības novērtējums un attīstības priekšlikumi Jūrmalas pilsētas pašvaldībā,"Piekrastes pārvaldība mūsdienās kļūst arvien aktuālāka, jo problēmas piekrastes teritorijās arvien vairāk pieaug gan klimata pasiltināšanās dēļ, gan arī dažādu citu faktoru ietekmē. Taču viena no problēmām ir tāda, ka piekrastes teritorija ir uzskatāma par ārkārtīgi grūti pārvaldāmu sistēmu, jo tā vienlaikus ir gan ļoti dinamiska zona, gan tai pat laikā arī ļoti jutīga pret dažādām antropogēnām ietekmēm, gan arī tāpēc, ka tā ir interešu konfliktu zona, kurai raksturīgs savdabīgs un daudzveidīgs dabas un kultūrvēsturiskais mantojums. Šādas sarežģītas sociāli-ekoloģiskas sistēmas pārvaldīšanā svarīga ir visaptveroša un integrēta pieeja. Maģistra darba „Piekrastes pārvaldības novērtējums un attīstības priekšlikumi Jūrmalas pilsētas pašvaldībā” mērķis ir izzināt un novērtēt piekrastes kā sociāli-ekoloģiskas sistēmas pārvaldību vietējā pārvaldes līmenī, kā arī izstrādāt rīcībpolitikas priekšlikumus izvēlētajai mērķteritorijai – Jūrmalas pilsētas pašvaldībai – un tās galvenajām mērķgrupām. Maģistra darbā veikta zinātniskās literatūras analīze, normatīvo aktu un plānošanas dokumentu revīzija, veikts sākotnējais piekrastes pārvaldības situācijas novērtējums Jūrmalas pašvaldībā, kā arī izstrādāta inovatīva piekrastes plānošanas dokumenta – „Jūrmalas piekrastes pārvaldības pārskata” (jeb „Jūrmalas PPP”) – pirmā, eksperimentālā versija.",0
