id,title,abstract,is_generated
1,Runātāja retoriskais portrets pandēmijas situācijā.,"Bakalaura darbs ir veltīts komunikatīvo dominantu izpētei runātāja retoriskājā portretā COVID-19 situācijā. Autora mērķis ir veikt izteicienu kopuma ""stratēģisku"" analīzi, kas dod iespēju retoriski attēlot divus ārstus ekspertus: E. Mališevu (Krievija) un U. Dumpi (Latvija). Autors veic komunikācijas stratēģiju realizāciju salīdzinošu analīzi runātāju runā, izmantojot retoriskās (""stratēģiskās"") analīzes metodi, identificē pazīmes, kas raksturo izpratni par COVID-19 situāciju, tās prezentācijas specifiku sociālajā vidē pārliecināšanas nolūkos.  Darbs var interesēt filologus, kā arī visus lasītājus, kurus interesē šī problēma.",0
2,Autonomā vācu valodas apgūšana studentu vidū,"Šis darbs ir veltīts vācu valodas patstāvīgas mācīšanās pētīšanai studentu vidū. Tas ir balstīts uz autores tiešo pieredzi Erasmus studiju apmaiņas programmas laikā, kad studentiem bija nepieciešams apgūt vācu valodu un komunicēt starpkultūru vidē. Rezultātā tika pētītas vācu valodes apguves iespējas un veidi studentu vidū, kā arī autonomija šajā procesā. Pētot bibliogrāfiju, tika konstatēts, ka ir ierobežots daudzums literatūras, kas īpaši koncentrējas uz vācu valodas apguvi studentu vidū Erasmus programmas kontekstā. It īpaši maz ir zināms par viņu mērķiem, vēlmēm un iecienītākajām metodēm. Darba mērķis ir ne tikai noteikt metodes, ko studenti izmanto vācu valodas apguvei, bet arī noskaidrot, cik efektīva ir pašmācība un vai tā ir populārāka nekā valodas mācīšanās pie individuāla skolotāja vai valodas kursos. Lai sasniegtu šo mērķi, tika izskatīta un apkopota teorētiskajā daļā zinātniskā un metodiskā literatūra. Praktisko daļu veido analīze, pamatojoties uz rezultātiem, kas tika iegūti, veicot aptauju starp 125 ārvalstu studentiem, kuri mācās vācu valodu.",0
3,E-apmācības aplikāciju izmantošana vācu valodas stundās vidusskolās,"Bakalaura darbā tiek aplūkota vidusskolas skolēnu motivācija mācīties vācu valodu, kā arī E-Learning aplikāciju izmantošana valodas apgūšanai. Darba mērķis ir ar aptaujas palīdzību noskaidrot, vai vidusskolas skolēni izmanto kādu no E-Learning aplikācijām, lai mācītos vācu valodu. Aptaujā piedalījās 33 skolēni no Salaspils 2. vidusskolas un Rīgas 13. vidusskolas.  No iegūtajiem rezultātiem tika secināts, ka vidusskolas skolēni ir motivēti mācīties vācu valodu un uzskata, ka tā būtu vajadzīga nākotnē darbā, ceļojumos vai izglītībā.  Darba hipotēze netika apstiprināta.",0
4,Spāņu valoda Latvijā: Latvijas iedzīvotāju lingvistiskā attieksme kā faktors valodas izplatībā,"Latvijā, valstī ar stingru politisku un juridisku atbalstu valsts valodas nostiprināšanai, uz noteikta vēsturiska un ģeopolitiska fona ienāk arī viena no lielākajām pasaules valodām – spāņu valoda. Maģistra darbā tiek pētīta Latvijas iedzīvotāju lingvistiskā attieksme pret svešvalodu, t.sk. spāņu, valodas apguvi. Darbā izmantota analītiskā, aprakstošā un salīdzinošā metode, datu analīzei – divas aptaujas un vairākas strukturētas intervijas ar nozares speciālistiem. Spāņu valodas apguvei Latvijā kopumā ir labvelīga lingvistiskā vide – to iespējams apgūt vispārizglītojošajās skolās, kursos, mācību centros. Ir iespēja arī iegūt oficiālu savu zināšanu apliecinājumu DELE eksaminācijas centrā. Taču spāņu valodas izplatība un popularitāte nav tik liela, cik tā, pamatojoties uz pētījumā iegūtajiem secinājumiem, Latvijā varētu būt. Iespējams, traucē informācijas trūkums, izglītības likumu izpratne vai lingvistiskie aizspriedumi, par prioritāro svešvalodu lielākajā daļā vispārizglītojošo skolu izvirzot angļu valodu. Spāņu valoda varētu kļūt par līdztiesīgu angļu valodas konkurenti apgūstamo svešvalodu sistēmā, turklāt izglītības procesa normatīvais regulējums nenosaka, ka angļu valoda ir obligātā svešvaloda. Augstākajā izglītībā būtu nepieciešama arī spāņu valodas bakalaura programma, kas nodrošinātu izglītības posmu pēctecību, sagatavojot augsti kvalificētus un profesionālus valodas speciālistus Eiropas daudzvalodīgajā vidē. Atslēgvārdi: spāņu valoda, valsts valoda, svešvaloda, lingvistiskā attieksme, izglītības sistēma, normatīvie akti, mācīšana.",0
5,Argumentācija Beļģijas un Francijas politiskajā diskursā no 2010. līdz 2020. gadam: kontrastīvā analīze,"Retrospektīva analīze rāda, ka starptautisko imigrantu skaits pēdējos 30 gados ir dubultojies un ka šis pieaugums galvenokārt attiecas uz Rietumeiropas valstīm. Tas parāda, ka problēma, kas saistīta ar imigrācijas diskursu, ir aktuāla mūsdienās. Mēs pētījām politisko diskursu, kas saistīts ar imigrāciju Francijā un Beļģijā. Mēs salīdzinājām gan argumentācijas retoriskos, gan lingvistiskos aspektus.",0
6,Mūsdienu latviešu erotiskais romāns - Karīnas Račko piemērs,"Pētījuma “Mūsdienu latviešu erotiskais romāns – Karīnas Račko piemērs” mērķis ir konstatēt un analizēt mūsdienu erotiskā romāna iezīmes Karīnas Račko (1988) romānos, kā arī noteikt autores romānu ietekmi uz lasītājiem. Maģistra darbā tiek pētīta autores daiļrade un viņas fenomens latviešu literatūrā. Maģistra darba objekts ir četri autores romāni – “Saplēstās mežģīnes”, “Debesis pelnos”, “Samaitātā” un “Sasietā”. Maģistra darbā sniegts īss pārskats par erotiskā romāna īpatnībām latviešu un cittautu literatūrā, apskatīts mūsdienu erotiskais romāns kā masu kultūras žanrs, kā arī pētītas mūsdienu erotiskā romāna iezīmes Karīnas Račko romānos, izdarot secinājumus, ka autores romānos ir novērojamas līdzīgas gan saturiskās, gan stilistiskās iezīmes, kas raksturīgas mūsdienu erotiskā romāna žanram.",0
7,Tulkošanas metodes un subjektīvisma faktors daiļliteratūras tulkošanā,"Daiļdarba tulkotājs var tikt uzskatīts arī par darba līdzautoru, jo ne labas valodu (avotvalodas un mērķvalodas) zināšanas, ne vienu un to pašu tulkošanas stratēģiju izmantošana negarantē vienādu iznākumu. Daiļliteratūras tulkošanā noteicošais ir tulkotāja subjektīvisma faktors. Tulkojumu mērķvalodā ietekmē tulkotāja valodas zināšanas, valodas izjūta, vārdu krājums, valodas bagātība, tulkotāja pieredze, viņa zināšanas par daiļdarbā aprakstīto zemi, vidi, kultūru, cilvēkiem, arī drosme un uzdrīkstēšanās, spēja identificēties ar daiļdarba autoru. Šie visi ir uzskatāmi par subjektīviem rādītājiem, kurus nevar izmērīt pēc noteiktiem kritērijiem. Šajā darbā aplūkotas dažādas tulkošanas stratēģijas un pieejas gan no teorētiskā viedokļa, gan analizējot to pielietojumu Amerikas Savienoto valstu bijušās pirmās lēdijas Mišelas Obamas (Michelle Obama) autobiogrāfiskā romāna “Izaugt” (Becoming) daļas divu tulkotāju tulkojumos (kas veikti neatkarīgi viens no otra). Rezultātā tiek rastas skaidras norādes uz subjektīvisma faktora neizbēgamo ietekmi daiļliteratūras tulkošanā.",0
8,Meteoroloģisko parādību atspoguļojums latviešu valodā,"Bakalaura darba Meteoroloģisko parādību atspoguļojums latviešu valodā mērķis ir  skatīt meteoroloģiskas parādības gan no semantiska, gan sintaktiska viedokļa – izpētīt, kādās sintaktiskās konstrukcijās tiek atspoguļotas meteoroloģiskas parādības un noteikt šo parādību nosaukumu tipisko apkaimi.  Darbs sastāv no ievada, apzīmējumu saraksta, četrām nodaļām, secinājumiem un izmantotās literatūras saraksta. Pirmajā nodaļā ir dots ieskats funkcionālo stilu sistēmā, jo meteoroloģiskās parādības dažādos stilos tiek raksturotas atšķirīgi. Otrajā nodaļa uzmanība vērsta uz vienkārša teikuma sintakses raksturošanu. Trešajā nodaļā teorētiski un praktiski tiek skatītas divkomponentu teikumu shēmas. Ceturtajā nodaļā tiek pētīts, ar kādiem skaņu verbiem var apzīmēt meteoroloģiskas parādības un kādus apzīmētājus piesaista lietvārdi, kas nosauc meteoroloģiskas parādības.",0
9,Tulkošanas stratēģijas Valsts Centrālās bankas gada pārskata ievadā,"Finanšu tulkošana ir ļoti sarežģīts un augsti pieprasīts mūsdienās specializētās tulkošanas veids, kura kvalitāte ir cieši saistīta ar pareizu tulkošanas stratēģiju un rīku izvēli. Lai identificētu tulkošanas pieejas un stratēģijas, kas ir ieteicamās konkrētajā specializētās valodas apakš-žanrā, ir svarīgi izanalizēt labākus šī apakš-žanra tulkojumus. Šī maģistra darba mērķis – ir izpētīt tulkošanas stratēģijas, kas ir visbiežāk pielietotās konkrētā finanšu tulkojumu apakš-žanrā – Valsts Centrālās bankas gada pārskata ievadā. Pētāmo tekstu korpuss tika sastādīts no tādu valsts banku un starptautisko finanšu institūciju kā LB, CBR, ECB un EBRD gada pārskatiem, laika periodā no 2009. līdz 2018. gadiem. Lai sasniegtu galvenos pētījuma mērķus, tika pielietoti retrospektīvais tulkošanas stratēģiju novērtējums un kvantitatīvā analīze, kā arī valodas korpusa triangulācijas metode. Pētījuma rezultātus veido rekomendācijas attiecībā uz visvairāk ieteicamajām tulkošanas stratēģijām konkrētajā finanšu tulkojumu apakš-žanrā, terminoloģijas bāzi, kas ietvēra 422 terminus, un trīs paralēli korpusi jeb tulkošanas atmiņas, kuras varētu tikt lietotas mašīntulkošanā. Maģistra darba rezultāti varētu būt noderīgi tulkotājiem-iesācējiem, tulkotājiem, kuri nodarbojas ar finanšu un specializēto tulkošanu un izglītības darbiniekiem.",0
10,Metaforas fitnesa treneru publikācijās sociālajos medijos,"Metaforas sociālajos medijos un īpašos kontekstos, piemēram, metaforas politiskā diskursā, ir tikušas pētītas, tomēr pētījums par metaforām fitnesa treneru publikācijās sociālajos medijos nav ticis atrasts. Bakalaura darba mērķis ir pētīt un sagrupēt metaforu kategorijas, kuras ir izmantotas fitnesa treneru publikācijās sociālajos medijos. Izmantotās pētījuma metodes ir literatūras apskats un satura analīze. Rezultāti parāda, ka fitnesa treneri biežāk izmanto strukturālās metaforas nekā orientācijas metaforas un ontoloģiskās metaforas. Visbiežāk izmantotā strukturālā metafora ir FITNESS IR CĪŅA.",0
