id,title,abstract,is_generated
1,Tiesas izdevumu noteikšanas prasības un piemērošanas īpatnibas civilprocesā.,"Praksē visbiežāk sastopamie problēmjautājumi ir saistāmi ar likumdevēja noteikto valsts nodevas apmēru, kas, iespējams, ierobežo personas brīvu pieeju tiesu iestādēm. Tāpat, izvērtējot personas mantisko stāvokli, būtu ievērojams samērīguma princips, lai personai netiktu liegtas tiesības uz tiesas pieejamību. Autore uzskata, ka aktuāla problēma ir Civilprocesa likuma 43.panta ceturtajā daļā paredzētās tiesas vai tiesneša tiesības izvērtēt personas mantisko stāvokli, tomēr Civilprocesa likumā nav norādīti konkrēti kritēriji, kas neļauj personai veikt tiesas izdevumu samaksu, ceļot prasību tiesā. Pētījuma gaitā būtu apsverams, vai Civilprocesa likuma 34., 35.pantā un 43.panta ceturtā daļa nebūtu papildināma, lai tiktu vienveidota tiesu prakse un pieņemti vienveidīgi nolēmumi. Pētījuma mērķis ir izvērtēt valsts nodevas apmēra samērīgumu attiecībā pret indivīda tiesību aizstāvēšanu tiesā, kā arī likumdevēja gribas noskaidrošanu, kas pieļauj likuma robu pastāvēšanu un tiesu faktiskās rīcības izvērtēšanu, realizējot Civilprocesa likuma piemērošanu praksē. Pētījuma gaitā noskaidrots, ka likumdevējs, nenosakot kancelejas nodevas mērķi, pieļauj, ka Civilprocesa likumā ir iekļauti tiesas izdevumi, kuri dublējas ar Ministru kabineta noteikumos noteiktajiem tiesas sniegtajiem maksas paklpojumiem. Tāpat noskaidrots, ka likumdevējs nav konkretizējis, kāpēc Civilprocesa likuma 34.pantā ticis noteikts tieši šāds valsts nodevu apmērs. Kā arī nav rastas skaidras atbildes vai, nosakot valsts nodevu apmēru, likumdevējs būtu vērtējis to samērīgumu attiecībā pret vispārējo ekonomisko situāciju valstī un valsts iedzīvotāju maksātspēju. Turklāt izpētes gaitā nskaidrots, ka Civilprocesa likuma 43.panta ceturtās daļas nevienveidīga piemērošana varētu tikt vērtēta, kā personas tiesību uz pieeju tiesai pārkāpumus.",0
2,Tiesu varas neatkarības diskurss Latvijas teritorijā (1940-1993),"Līdz ar cilvēktiesību atzīšanu un attīstību starptautiskajā telpā, aktualizējās arī tiesiskuma nodrošināšanas jautājums. Tiesiskums ir viena no kopīgajām vērtībām, kas ir Eiropas Savienības pamatā. Tiesu varas neatkarība ir būtisks priekšnosacījums tiesiskuma nodrošināšanai. Tomēr tiesu varas neatkarības principa pārkāpumi un ar to saistītā problemātika, pastāv vēl mūsdienās. Maģistra darba mērķis ir izpētīt tiesu varas neatkarības diskursu Latvijas teritorijā (1940 - 1993), analizējot tā laika izpratni par tiesu varu un tās neatkarību.  Tiesu varas neatkarības problemātika neradās tukšā vietā. Lai Latvija varētu realizēt starptautiski atzīto prasību pēc neatkarīgas un objektīvas tiesas, vispirms ir jābūt vienotai izpratnei par tiesu neatkarības saturu un tā tvērumu. Savukārt šīs izpratnes formēšana nav iespējama bez vēsturiskās izpētes.",0
3,Piesārņojuma novēršanas tiesiskais regulējums lauksaimniecībā,"Maģistra darbā “Piesārņojuma novēršanas tiesiskais regulējums lauksaimniecībā” tiek aplūkoti  priekšnoteikumi dažādu potenciāli piesārņojošu vielu lietošanai lauksaimniecībā, lai mazinātu piesārņojuma iespējamību. Darbā analizēts  izkliedējošā (difūzā) piesārņojuma regulējums un ar to saistītā problemātika lauksaimniecībā. Autore darba izstrādes gaitā konstatējusi vairākas problēmas, kas pastāv tiesiskajā regulējumā, pētot dažādas publikācijas, normatīvos aktus, literatūru un citus avotus. Darbā piedāvāti risinājumi problēmu novēršanai, pilnveidojot normatīvo regulējumu un novēršot konstatētās nepilnības. Kā secināja autore, piesārņojuma    uzraudzība lauksaimniecībā ir sarežģīta un tiek realizēta ar daudzu normatīvo aktu palīdzību, kuru pārzināšana sagādā grūtības ne tikai lauksaimniekam, bet arī uzraugošajām iestādēm.",0
4,Latvijas Republikas Valsts prezidenta ievēlēšana un tā pilnveidošanas aspekti,"Jau vairākus gadus Latvijā gan iedzīvotāju vidū, gan parlamenta telpās ir izskanējis tāds variants, ka tauta varētu vēlēt Valsts prezidentu vispārīgās, vienlīdzīgās, tiešās un aizklātās vēlēšanās. Jāatzīst, ka šādas vēlēšanas nav raksturīgas valstīm ar  parlamentārās republikas valsts iekārtu, kur Valsts prezidentu ievēlē pats parlaments, kurā konstitucionālos pienākumus pilda tautas vēlēti deputāti. Bet gan šāds regulējums ir izplatīts valstīs, kuras ir federācijas vai arī Valsts prezidentam ir plašākas pilnvaras nekā parlamentārās republikās. Galvenais šī darba mērķis bija aplūkot Valsts prezidenta ievēlēšanas procedūru Latvijas Republikā, kā arī salīdzināt to ar citām valstīm, no kurām iespējams varētu kaut ko pārņemt un papildināt Latvijas regulējumu. Tas nozīmē to, ka tika aplūkots arī tautas vēlēta prezidenta vēlēšanu procedūra, kuras variācijas iespējas attiecībā pret pašreizējo vēlēšanu procedūru bija iecienīts temats gan pirmās neatkarības laikā, gan pēc neatkarības atjaunošanas, kā arī tagad.  Pētījuma rezultātā tika konstatēts, ka parlamentārā republikā tautas vēlēts Valsts prezidents bez plašākām pilnvarām ir iespējama kombinācija, kā to arī norāda piemēri citās valstīs. Diskusiju vērts arī būtu variants, kad Valsts prezidentu ievēlē Saeima un pašvaldību pārstāvji, kas arī ir citu valstu konstitūcijās vērojama tendence.",0
5,"Pamattiesību ierobežojuma tiesiskuma kritērijs ""noteikts ar likumu"" Satversmes tiesas judikatūrā","Maģistra darbā pētīts pamattiesību ierobežojuma ar “likumu” saturs Satversmes tiesas judikatūrā. Darba mērķi ir izpētīt jēdziena “likums” saturu, likumdošanas procesā pieļautās likumdevēja kļūdas, ko konstatējusi Satversmes tiesa, izpētīt tiesu prakses piemērus, kuros atspoguļojas labas likumdošanas principa saturs un apkopot labas likumdošanas satura likumdošanas procesa uzlabošanai. Darba pētnieciskajā daļā tiek sniegts risinājums normas skaidrības uzlabošanai, balstoties uz Latvijas judikatūru un arī ārvalstu piemēriem, tāpat tiek rasti risinājumi likumdošanas procesa kvalitātes uzlabošanai, minot konkrētus piemērus, balstoties uz Satversmes tiesas judikatūrā formulēto labas likumdošanas principu, tādējādi veicinot sabiedrības uzticēšanos valstij un tiesībām.",0
6,Dzīvības un veselības apdraudējums dalībā un līdzdalībā,"Maģistra darba tēma ir “Dzīvības un veselības apdraudējums dalībā un līdzdalībā.”  Darbā tiek pētīta dalības un līdzdalības attīstība Latvijas teritorijā. Dalības un līdzdalības attīstība sākta pētīt ar likumiem, kas bija spēkā Latvijas teritorijā no 1918. gada 18. novembra. Darbā tiek aplūkoti dalības un līdzdalības jēdzienu skaidrojumi un īpašie jautājumi. Darba ietvaros tiek aplūkota arī dalības un līdzdalības nošķiršana.  Darbā tiek analizēta tiesu prakse par dzīvības un veselības apdraudējumu dalībā un līdzdalībā. Darba mērķis ir izpētīt un analizēt literatūru, normatīvo regulējumu un, galvenokārt, tiesu praksi par vairāku personu piedalīšanos noziedzīgos nodarījumos, kuri apdraud personu dzīvību un veselību.",0
7,Pašvaldības domes un tās priekšsēdētāja atlaišanas mehānisms Latvijā,"Pašvaldības autonomijas princips paredz, ka pašvaldība savās izpausmēs lielā mērā ir neatkarīga. Tomēr pašvaldības rīcības tiesiskuma kontroles ietvaros dažādām pilnvarotajām institūcijām ir piešķirtas tiesības atlaist pašvaldības lēmējinstitūciju vai domes priekšsēdētāju. Šādu tiesību izmantošana var radīt, galvenokārt, Satversmes 101. pantā ietverto tiesību pārkāpumus, tādēļ ir ļoti svarīgi atlaišanu veikt ievērojot demokrātiskā tiesiskā valstī pastāvošos principus un normatīvos aktus. Darba mērķis ir analizēt pašvaldības domes un tās priekšsēdētāja atlaišanas mehānismus Latvijā, identificējot problēmjautājumus, kas saistīti ar šo mehānismu izmantošanu. Tāpat darbā tiek analizēti pašvaldības domei un tās priekšsēdētājam piešķirtie tiesību aizsardzības līdzekļi, kas kļūst pieejami, ja šādi mehānismi tiek izmantoti. Tika secināts, ka nepieciešams uzlabot mehānismus, kas paredz pašvaldības domes un tās priekšsēdētāja atlaišanu. Šādi pašvaldības tiktu pasargātas no nepareizas tiesību normu interpretācijas, politiskajām intrigām, un tiktu veicināta vietējo iedzīvotāju iesaiste pašvaldību darbā.",0
8,Brexit tiesiskās sekas ģimenes lietās,"Maģistra darbs “Brexit tiesiskās sekas ģimenes lietās” ir vērsts uz aktuālo ģimenes tiesību jautājumu izpēti saistība ar Apvienotās Karalistes izstāšanos no Eiropas Savienības. Maģistra darba galvenais uzdevums ir konstatēt, kāda būs Apvienotās Karalistes juridiskā darbība nākotnē, situācijās, kad ģimenes lietās pastāvēs pārrobežu elements. Maģistra darba saturs tiek balstīts uz dažādu tiesību aktu izpēti, judikatūras analīzi, juridiskās literatūras (doktrīnas) izpēti. Darba ietvaros galvenokārt tika analizēta Eiropas Savienības Tiesas judikatūra. Darba ietvaros tika konstatētas dažādas Eiropas Tiesību avotu nesakritības ar starptautiskajiem tiesību avotiem. Maģistra darbs ir rakstīts latviešu valodā un sastāv no anotācijas latviešu un angļu valodā, četrām nodaļām, kopsavilkuma, izmantotās literatūras saraksta un kopējais apjoms ir uz 72 lapaspusēm.",0
9,Nepilngadīgajiem piekrītošā manta un tiesiskā regulējuma problēmas.,"Maģistra darba tēma ir “Nepilngadīgajiem piekrītošā manta un tiesiskā regulējuma problēmas”. Praksē aizbildņi bieži saskaras ar nepieciešamību vērsties bāriņtiesā, lai saņemtu atļauju, lai varētu rīkoties ar bērna mantu. Bāriņtiesu uzdevumā, pirms dot atļauju aizbildnim rīkoties ar bērna mantu, ir izvērtēt vai rīcība būs bērna interesēm atbilstoša. Šāda bāriņtiesas starpniecība praksē kavē aizbildņa ātru un efektīvu darbību bērna mantas pārvaldībā.",0
10,Noziedzīgi iegūtu līdzekļu legalizēšanas sastāvs un tā pierādīšanas problemātika,"Noziedzīgi iegūtu līdzekļu legalizēšana jeb naudas atmzgāšana mūsdienās ir ļoti izplatīts noziedzīgais nodarījums, kuru cenšas apkarot visā pasaulē. Arī Latvijas likumdevēji un tiesībsargājošo iestāžu pārstāvji ir centušies veikt visu nepieciešamo, lai efektīvi cinītos ar šo noziegumu. Tādēļ īpaši svarīgi ir saprast, kas ietilpst šī nozieguma sastāvā un kāda ir tā pierādīšanas kārtība. Maģistra darba mērķis ir veikt noziedzīgi iegūtu līdzekļu legalizācijas sastāva analīzi, kā arī izpētīt tā pierādīšanas īpatnības. Darbā ir aplūkoti tādi aktuāli problēmjautājumi kā autonoma noziedzīgi iegūtu līdzekļu legalizācija, prezumēta noziedzīgi iegūta manta kā noziedzīgi iegūtu līdzekļu legalizēšanas priekšmets, samazināts pierādīšanas standarts attiecībā uz mantas noziedzīgo izcelsmi, pierādīšanas nastas pārlikšana un citi tiesību doktrīnā un praksē pastāvošie jautājumi.",0
