id,title,abstract,is_generated
1,Neatliekamu laparotomiju slēgšanas metožu salīdzinājums,"Pētījumā tika salīdzināti neatliekamās laparotomijas slēgšanas metodes. Tika veikta aptauja starp operatīvajiem ārstiem, kuri izmanto dažādas metodes, lai noskaidrotu to efektivitāti un priekšrocības. Rezultāti parādīja, ka dažādas metodes ir piemērotas atkarībā no pacienta veselības stāvokļa un operācijas sarežģītības. Tomēr, vairumā gadījumu, atvērtās laparotomijas izmantošana ir labāka izvēle, jo tā nodrošina stabilu un nepārtrauktu audu slēgšanu.",1
2,Magnētiskās rezonanses protokols pie muskuloskeletālās sistēmas audzējiem un audzējiem līdzīgiem veidojumiem,"Pētījumā tiek apskatīts magnētiskās rezonanses protokols piemērošanas iespējamība muskuloskeletālās sistēmas audzēju un audzēju līdzīgu veidojumu diagnosticēšanai. Tiek analizēti dažādie MRI protokoli un to pielietojums praktiskā medicīniskā darbībā. Acīmredzama ir MRI priekšrocība, kas ļauj detalizēti izpētīt audzēja raksturu, lielumu un atrašanās vietu, kā arī tā ietekmi uz apkārtējiem audiem un orgāniem. Tomēr, lai uzlabotu diagnozes precizitāti, būtu nepieciešams turpmāks protokolu izpētes aspekta detalizētāks un specifiskāks novērtējums.",1
3,"Akūta komplicēta resnās zarnas divertikulīta ķirurģiskās ārstēšanas 10 gadu pieredze Rīgas Austrumu klīniskās universitātes stacionārā ""Gaiļezers""","Šajā pētījumā tika analizēta ķirurģiskās ārstēšanas 10 gadu pieredze ar akūtu komplicētu resnās zarnas divertikulītu Rīgas Austrumu klīniskās universitātes stacionārā ""Gaiļezers"". Tika novērtēti pacientu klīniskie dati, divējādā ķirurģiskā pieejas metode un postoperatīvie rezultāti. Rezultāti parādīja, ka laparoskopiskā ķirurģija ir devis izcilus kortikālos rezultātus salīdzinājumā ar laparotomiju. Turklāt šī pieeja ir droša un pozitīvi ietekmē pacientu dzīves kvalitāti pēckārtīgi. Šis pētījums var kalpot kā pamats turpmākiem izpētes darbiem un atbalsts lēmumu pieņemšanai kliniskajā praktikā.",1
4,Datortomogrāfijas protokols sagatavojot priekšdziedzera vēža pacientus distances staru terapijas metodēm,"Latvijā diagnostikas un ārstēšanas nolūkā metastātisku un agresīvu vēžu gadījumos lieto distances staru terapijas metodes. Lai nodrošinātu pacientu precīzu un efektīvu ārstēšanu, nepieciešama datortomogrāfijas protokolu sagatavošana priekšdziedzera vēža pacientiem. Šim nolūkam tiek izmantotas jaunākās tehnoloģijas un standarti, kas palīdz noteikt precīzu ārstēšanas plānu un minimizēt iespējamās komplikācijas. Datortomogrāfijas protokolu sagatavošana spēj uzlabot priekšdziedzera vēža pacientu dzīves kvalitāti, uzsākot efektīvu un precīzu distances staru terapijas ārstēšanas procesu.",1
5,Dabīgo angiotenzīna konvertējošo enzīmu inhibitoru ietekme uz kallikreīna aktivitāti in vitro,"Pētījumā tika izvērtēta dabīgo angiotenzīna konvertējošo enzīmu inhibitoru ietekme uz kallikreīna aktivitāti in vitro. Tika veikti mērījumi ar dažādiem inhibitoriem koncentrācijās no 10 nM līdz 100 μM. Rezultāti parādīja, ka inhibitoru efektivitāte atšķīrās atkarībā no koncentrācijas un specifiskā inhibitora veida. Šie rezultāti norāda uz iespēju attīstīt jaunus inhibitorus ar potenciālu lielākai efektivitātei un selektivitātei kallikreīna aktivitātes inhibēšanā in vitro.",1
6,Motoro funkciju novērtēšana rotarod un kondziela testos pelēs išēmiska insulta modelī,"Darba mērķis bija novērtēt motoriskās funkcijas pelēm pēc izstrādāta išēmiska insulta modela izveides. Rotarod un kondziela testi tika izmantoti, lai novērtētu motoriskās funkcijas pēc insulta. Kopumā tika novērots, ka rotarod un kondziela testi ir spējīgi precīzi novērtēt motoriskās funkcijas pelēm pēc išēmiska insulta. Rezultāti varētu palīdzēt saprast išēmiskā insulta patoloģiju un veidot jaunas terapijas metodes.",1
7,Ergonomiskie riski farmaceitu darbā un veselības veicināšanas pasākumi,"Pētījums analizē farmaceitu darbā esošos ergonomiskos riskus un to ietekmi uz veselību. Tiek apskatīti dažādi faktori, kas varētu ietekmēt darbinieku darba komfortu un izraisīt muskuļu un skeleta slimības. Tālāk tiek analizēti dažādi veidi, kā novērst šos riskus un veicināt darbinieku veselību, ieskaitot ergonomiski pareizu darba vietu ierīkošanu, regulāru atpūtu un vingrinājumus, kā arī apmācību par ergonomikas pamatiem. Pētījums ir svarīgs, lai uzlabotu farmaceitu darba apstākļus un veselību.",1
8,"Hroniska pankreatīta ķirurģiskās ārstēšanas rezultāti: sešu gadu pieredze Rīgas Austrumu klīniskās universitātes slimnīcas, stacionārā ""Gaiļezers""","Pētījums analizē sešu gadu laikā iegūtos datus par kroniska pankreatīta ķirurģiskās ārstēšanas rezultātiem Rīgas Austrumu klīniskajā universitātes slimnīcas, stacionārā ""Gaiļezers"". Kopumā tika novēroti dažādi uzlabojumi, taču arī komplikācijas un atkārtotas hospitalizācijas. Vairums pacientu tika ārstēti ar dažādām operācijām, un visbiežāk tika veikta distālās pankreatektomijas. Galvenie izdzīvošanas rādītāji bija atkarīgi no slimības stadijas un pacienta novērošanas perioda. Pētījums sniedz būtisku ieguldījumu kroniska pankreatīta ķirurģiskās ārstēšanas jomā un palīdz izprast slimības gaitu un komplikāciju riskus.",1
9,"Augļa ārējais apgrozījums – efektivitāte un tās ietekmējošie faktori,  dzemdību iznākums un komplikācijas","Pētījumā noskaidrota Augļa ārējā apgrozījuma efektivitāte un tās ietekmējošie faktori, dzemdību iznākums un komplikācijas. Pētījumā tika izmantotas dažādas metodes, lai novērtētu efektivitāti, tostarp ultraskaņas, Doplera un augļa kardiotokogrāfiju. Pētījuma rezultāti parādīja, ka Augļa ārējais apgrozījums ir svarīgs faktors, kas var ietekmēt dzemdību iznākumu un komplikācijas. Turklāt, daži faktori, piemēram, grūtniecības vecums un augļa svars, var ietekmēt efektivitāti un veidoties komplikācijas. Pētījuma atklājumi var palīdzētu ārstiem un ginekologiem izvēlēties piemērotākās aprūpes un metodes grūtniecēm ar risku uz komplikācijām un palīdzētu uzlabot dzemdību iznākumu.",1
10,Psihosociālie riski aptiekās nodarbinātajiem un veselības veicināšanas pasākumi,"Zinātniskais pētījums ir vērsts uz psihoemocionālo stāvokli aptiekas darbiniekiem Latvijā, kas attiecās uz darba vidi, uzticēšanu kolektīvam, komunikāciju, prasmi vadīt stresu un spriedzi. Pētījumā izmantoti aptaujas, intervijas un novērošanas dati, lai identificētu riskus un faktorus, kas ietekmē darbinieku veselību un darba efektivitāti. Balstoties uz rezultātiem, ir izstrādāti veselības veicināšanas pasākumi, kuru mērķis ir uzlabot darba vidi un darbinieku emocionālo labsajūtu, kas veicinātu arī klientu apkalpošanas kvalitāti.",1
11,Radioloģijas metožu pielietojums kriminālistikā,"Radioloģijas tehnoloģiju pielietojums kriminālistikā ir kļuvis par svarīgu lomu kriminoloģijas pētniecības laukā. Šajā rakstā tiek analizēti dažādi aspekti, kas saistīti ar radioloģisko metožu pielietojumu kriminālistikā. Tiek apskatītas radioloģiskās izmeklēšanas metodes, to ietekme uz kriminālistikas procesu un kriminālistikas problēmas, kas saistītas ar to pielietojumu. Kā arī tiek aplūkota iespējamā nākotnes attīstība attiecībā uz šo jomu. Galvenais mērķis ir sniegt ieskatu kriminālistikas zinātnes attīstībā un radioloģisko metožu pielietojumā šajā nozarē.",1
12,"Terapeitiskās taktikas ""stimulēt un ablēt""  izvērtējums pacientiem ar permanentu ātriju fibrilāciju un hronisku sirds mazspēju","Pētījuma mērķis bija vērtēt terapeitiskās taktikas ""stimulēt un ablēt"" efektivitāti pacientiem ar permanentu ātriju fibrilāciju un hronisku sirds mazspēju. Retrospektīva studija tika veikta ar 82 pacientiem, kuriem tika veikta šī terapija. Pēc 12 mēnešiem novērošanas, pacientu skaits ar sirds mazspējas uzbrukumiem un paaugstinātu slimības stadiju bija ievērojami samazinājies. Turklāt, arī ātriju fibrilācijas skaits un intensitāte bija samazinājusies. Šī terapeitiskā taktika varētu būt vērtīgs līdzeklis pacientiem ar permanentu ātriju fibrilāciju un hronisku sirds mazspēju.",1
13,Mamogrāfijas attēlu kvalitātes kritēriju izvērtējums un korelācija ar pacientu diskomforta līmeni izmeklējuma laikā,"Pētījumā tika izvērtēta mamogrāfijas attēlu kvalitāte un tās ietekme uz pacientu diskomfortu izmeklējuma laikā. Tika novērots, ka laba attēla kvalitāte samazina pacientu diskomfortu un palielina pareizu diagnozi. Tādēļ, ir svarīgi īstenot pasākumus, lai uzlabotu mamogrāfijas attēlu kvalitāti un tādējādi uzlabotu pacientu pieredzi izmeklējuma laikā.",1
14,Latvijā legālie kaņepju preparāti un to izmantošana Latvijas iedzīvotāju vidū,"Pēdējos gados Latvijā ir vērojams pieaugums kanabinoīdu preparātu popularitātē. Lai gan vairāki no tiem ir likumīgi, to lietošana tiek uzskatīta par joprojām neapzinātu sabiedrības daļu. Šajā rakstā tiks apskatīti legālie kanabinoīdu preparāti un to izmantošana Latvijas iedzīvotāju vidū, kā arī diskutēta to regulēšana un potenciālais ieguldījums medicīnā un citās jomās.",1
15,Vitrektomijas efektivitāte pirmreizējas regmatogēnas tīklenes atslāņošanās gadījumā,"Pētījuma mērķis bija novērtēt vitrektomijas efektivitāti pirmreizējā regmatogēnā tīklenes atslāņošanās gadījumā. Pētījumā tika izmantota retrospektīva datu analīze, kurā iekļauti 50 pacienti ar pirmreizējo tīklenes atslāņošanās diagnozi. Izrādījās, ka vitrektomijas procedūra sniedz efektīvu rezultātu, lai panāktu tīklenes pievilkšanos pacientiem ar pirmreizējo regmatogēno tīklenes atslāņošanos. Pētījuma rezultāti atbalsta vitrektomijas izmantošanu kā vienu no galvenajiem risinājumiem šāda veida tīklenes patoloģiju ārstēšanai.",1
16,Kreisā krūts dziedzera vēža pacientu sagatavošanas protokols staru terapijai ar datortomogrāfijas metodi,"Kreisā krūts dziedzera vēža pacientu sagatavošanas protokols staru terapijai ar datortomogrāfijas metodi ir izstrādāts, lai palielinātu sasniegto terapijas efektivitāti un samazinātu blakusparādību iespējamību. Protokols ietver pacienta sagatavošanu gan fiziski, gan emocionāli, kā arī precīzu datortomogrāfijas plānošanu un ārstēšanas vadību. Šāda veida protokols nodrošina pacientiem ar kreisās krūts dziedzera vēzi ievērojami uzlabotu ārstēšanas kvalitāti un rezultātu prognozēšanu.",1
17,COVID-19 stacionēto pacientu profils un Remdesivir efektivitātes novērtēšana,"Pētījuma mērķis bija novērtēt COVID-19 stacionēto pacientu profilus un Remdesivir efektivitāti. Analizēti dati no 50 pacientiem, kuri tika ārstēti ar Remdesivir, un salīdzināti ar kontroles grupu. Rezultāti parādīja signifikantu uzlabojumu pacientu stāvoklī un mazāku nāves gadījumu skaitu starp Remdesivir grupas pacientiem. Tomēr, nepieciešama turpmāka izpēte, lai pilnīgi novērtētu Remdesivir efektivitāti COVID-19 slimnieku ārstēšanā.",1
18,Inovatīvs diabētisko pēdu čūlu ārstējošs  medikaments asinsvadu ķirurģijas praksē,"Jauno, inovatīvo medikamentu klāsts, kas iet uz priekšu diabētisko pēdu čūlu ārstēšanā, ir daudzsološs. Šajā rakstā aprakstīts jauns medikaments, kas var būt efektīvs asinsvadu ķirurģijas praksē diabētisko pēdu čūlu ārstēšanai. Šis medikaments ir pētīts un atzīts par drošu un efektīvu, tāpēc tas kāds varētu būt lielisks papildinājums diabētiskā pēdu čūlu ārstēšanā un asinsvadu ķirurģijas praktizē.",1
19,Zarnu trakta mikrobiotas mainība bērniem antibakteriālas terapijas lietošanas gadījumā,"Pētījums veikts, lai novērtētu Zarnu trakta mikrobiotas mainības bērniem, kuri izmanto antibakteriālas terapijas. Pētījumā tika iekļauti bērni vecumā no 1 līdz 10 gadiem. Rezultāti parādīja, ka antibakteriālā terapija izraisīja būtiskas izmaiņas zarnu mikrobiotā, ar lielāku mikrobu fokusu skaitu un struktūras izmaiņām. Šādi pētījumi ir būtiski, lai saprastu antibakteriālo terapiju ietekmi uz bērniem un veicinātu labākas mikrobiotas veselību.",1
20,Pēcoperācijas sāpju terapijas efektivitāte un pacientu  subjektīvā attieksme pret sāpēm,"Pēcoperācijas sāpes ir viens no galvenajiem apdraudējumiem, kas saistīti ar operāciju. Šajā pētījumā tiek pētīta sāpju terapijas efektivitāte pēc operācijas un pacientu subjektīvā attieksme pret sāpēm. Pētījuma mērķis ir novērtēt, vai noteikta sāpju terapijas veida lietošana samazina sāpes un uzlabo pacientu subjektīvo attieksmi pret sāpēm. Pētījumā ir iesaistīti 50 pacienti, kuri tika veikti operācijas. Pacientiem tika veiktas mērījumi par sāpju intensitāti, lietojot vizuālo analogās skalu un tika novērtēti pacientu vērtējumi par efektivitāti un blakusparādībām. Pētījuma rezultāti liecina, ka noteikti sāpju terapijas veidi samazina sāpes un uzlabo pacientu subjektīvo attieksmi pret sāpēm. Šie atzinumi var veicināt labāku pēcoperācijas aprūpi un uzlabot pacientu dzīves kvalitāti.",1
21,Mugurkaula jostas daļas magnētiskās rezonanses izmeklējuma attēlu kvalitātes kritēriji starpskriemeļu disku patoloģijas gadījumā,"Pētījumu novērtēja, vai 3.0T magnētiskā rezonanses izmeklējuma attēlu kvalitāte Mugurkaula jostas daļas, izmantojot standarta un uzlabotus satura tehnoloģijas, varētu izmantot kā kritērijus starpskriemeļu disku patoloģijas gadījumā. Izrādījās, ka uzlabotas satura tehnoloģijas nodrošina labākas attēlu kvalitātes un precīzākus izmeklējumus.",1
22,Skābes radītu traucējumu ārstēšanai paredzēto preparātu aprites izvērtējums aptiekā,"Pētījums analizēja skābes radītu traucējumu ārstēšanai paredzēto preparātu aprites situāciju aptiekās. Tika apkopota informācija par šo preparātu pieprasījuma līmeni aptiekās, to pieejamību, uzglabāšanu un izsniegšanu pacientiem. Tika novēroti dažādi faktori, kas varētu ietekmēt preparātu apriti, piemēram, pacientu informēšanas līmenis par šīm zālēm, ārstu ieteikumu sniegšana, ražotāju piegādēs iespējami radušies problēmas un citi. Kopumā pētījums apliecināja, ka skābes radītu traucējumu ārstēšanai paredzētie preparāti ir pieejami un lietojami, taču ir nepieciešamas uzlabotas informācijas un apmācības saistībā ar to uzglabāšanu un lietošanu, lai nodrošinātu optimālu pacientu aprūpi.",1
23,Atšķirības insulta menedžmentā Somijā un Latvijā,"Pētījums sniedz analīzi par atšķirībām insulta menedžmentā Somijā un Latvijā, izmantojot kvalitatīvas un kvantitatīvas metodes. Pētījuma rezultāti pierāda, ka Somijā ir labāka pieejamība un izpratne par insultu, turpretī Latvijā ir nepieciešama lielāka izglītība sabiedrības līmenī un uzlabota hronisku slimību aprūpe. Izmantojot salīdzinošo analīzi, šis pētījums sniedz ieguldījumu insulta menedžmenta uzlabošanā.",1
24,"Apkārtējai videi draudzīga prakse, veicot vispārējo anestēziju","Veicot vispārējo anestēziju, apkārtējai videi draudzīga prakse ir svarīga. Pētījumi parāda, ka ierasto anestēzijas līdzekļu lietošana var radīt negatīvas sekas gan pacientiem, gan videi. Šajā rakstā tiek apskatīti vairāki risinājumi, kā veidot videi draudzīgu praksi, tai skaitā zāļu izmantošanu, kas ir bioloģiski noārdāmi un nekaitē apkārtējai videi. Tas ir svarīgs solis uz priekšu, lai nodrošinātu ilgtspējīgu medicīnas praksi.",1
25,Vairogdziedzera audzēja biežāk sastopamie morfoloģiskie varianti Latvijas Onkoloģijas centrā,"Pētījumā, kas veikts Latvijas Onkoloģijas centrā, tika izvērtēti vairāki Vairogdziedziedzera audzēja morfoloģiskie varianti, kas ir bieži sastopami šajā centrā. Pētījuma rezultāti parāda, ka šie varianti ir plaši izplatīti un var būt nozīmīgi turpmākajā terapijas plānošanā un prognozēšanā. Pētījums dod svarīgu ieguldījumu Vairogdziedziedzera audzēju raksturojumā un palīdzēs uzlabot pacientu aprūpi un ārstēšanu.",1
26,Laboratoriskie rādītāji agrīna  mirstības riska novērtēšanā multidisciplināra stacionāra intensīvās terapijas nodaļā pacientiem ar sadzīvē sākušos sepsi,"Pētījums aplūko agrīnas mirstības risku pacientiem ar sadzīvē sākušo sepsi, kas tiek novērtēts, izmantojot laboratoriskos rādītājus. Pētījuma mērķis ir izpētīt un salīdzināt dažādus laboratoriskos rādītājus, lai noteiktu to piemērotību agrīnas mirstības novērtēšanai pacientiem ar sepsi. Pētījums tiek veikts intensīvās terapijas nodaļā, izmantojot multidisciplināru pieeju, lai nodrošinātu vispusīgu novērtēšanu un racionālu terapiju. Rezultāti varētu sniegt ieguldījumu agrīnas mirstības novērtēšanā un mūsu sapņu ātrākās izārstēšanas sasniegšanā.",1
27,Hiperandrogenēmijas un insulīna rezistences klīniskās izpausmes pacientēm ar 2. tipa cukura diabētu,". Pētījumā tika izvērtētas hiperandrogenēmijas un insulīna rezistences klīniskās izpausmes pacientiem ar 2. tipa cukura diabētu. Secinājumi liecina, ka pacientiem ar visaugstāko testosterona līmeni asinīs bija biežāk novērojamas insulīna rezistences pazīmes, piemēram, augsts glikozes līmenis un BMI. Tāpat hiperandrogenēmija bija saistīta ar paaugstinātu riskslimīti koronāro sirds slimību attīstībai. Šīs divas klīniskās pazīmes, ja tās nav pienācīgi ārstētas, var palielināt 2. tipa cukura diabēta komplikāciju attīstības risku, tādējādi uzsvērot nepieciešamību profesionāļu ievērot individuālas pieejas visu pacientu ārstēšanā.",1
