id,title,abstract,is_generated
1,Neatliekamu laparotomiju slēgšanas metožu salīdzinājums,"Pētījuma galvenās analizējamās tēmas ir akūtu laparotomiju pacientu brūču slēgšanas metodes un tehnikas un to ietekme uz brūces dzīšanas procesu, agrīnu komplikāciju attīstību. Darba mērķis ir retrospektīvi salīdzināt dažādas brūču slēgšanas metodes pie neatliekamām laparotomijām. Pētījumā tika analizēti 100 pacientu operāciju protokoli un slimības vēstures pēc neatliekamām laparotomijām, operāciju protokoli tiek pielietoti sākot ar 2021.gadu.  Tika analizētas brūču slēgšanas metodes, tehnikas un izmantotie materiāli. Tika apkopoti dati par pēc operāciju agrīnām komplikācijām. Darbā iegūtie dati liecina ,ka lielākā daļa ķirurgu izmanto vispārpieņemtas metodes un izmanto rekomendējamos materiālus brūču slēgšanai pēc neatliekamām laparotomijām. Tika konstatēts ,ka sastop salīdzinošu mazu skaitu pēc operāciju komplikācijas.  Pēc statistikās analīzes tika konstatēts ,ka visbiežākās patoloģijas kad tiek veikta neatliekama laparotomija ir ileuss, kuņģa čulas perforācija un apendicīts.  Ti-ka konstatēts, ka izmantojot šauro dūriena tehniku ≤ 10mm un >10 – 20mm aponei-rozes šūšanai  un komplikāciju attīstībai , netika iegūta statistiski nozīmīga saistība (p = 0,576). Bet novēro tendenci ,ka komplikācijas var attīstīties platās šuves gadī-jumā. Apskatot antibakteriāla diega izmantošanas saistību ar komplikācijām, netika atrasta statistiski nozīmīga saistība (p>0,999). Visbiežāk izmantotais diegs ir PDS. Aponeirozes šuvē iekļautie slāņi uzrādīja statistiski nozīmīgu saistību ar komplikā-ciju esamību (p = 0,031), vairākos slāņos komplikācijas ir biežāk nekā tad, ja apo-neirozē iekļauti tikai aponeirozes slāņi, t. i., 9.3% pret 0,0%. Lai precīzāk izvērtētu visefektīvāko brūces slēgšanas metodi un vislabākos materiālus, nākotnē ir jāveic prospektīvs pētījums ar stingru kontroli pēc nealieka-mām laparotomiskām operācijām. Turpmākajos pētījumos ir jāiesaista lielāks dalīb-nieku skaits. Precīzāk jāizvērtē pēc operāciju komplikāciju attīstība.",0
2,Magnētiskās rezonanses protokols pie muskuloskeletālās sistēmas audzējiem un audzējiem līdzīgiem veidojumiem,"Bakalaura darba tēma ir: ""Magnētiskās rezonanses protokols pie muskuloskeletālās sistēmas audzējiem un audzējiem līdzīgiem veidojumiem"". Bakalaura darba tēmas aktualitāte balstās uz to, ka lai arī muskuloskeletālās sistēmas audzēji statistiski uz kopējā onkoloģisko saslimšanu skaita fona nav bieži izplatīti, tomēr kvalitatīva to diagnostika ir neatņemama pacientu ārstniecības procesa sastāvdaļa ar mērķi uzlabot pacientu dzīves kvalitāti un dzīvildzi. Bakalaura darba mērķis ir noskaidrot magnētiskās rezonanses izmeklējumos pielietotos protokolus pie muskuloskeletālās sistēmas audzējiem un audzējiem līdzīgiem veidojumiem.  Pētniecības uzdevumi ir analizēt literatūru par muskuloskeletālās sistēmas uzbūvi un funkcijām, analizēt literatūru par muskuloskeletālās sistēmas audzējiem un audzējiem līdzīgiem veidojumiem un to klasifikāciju, analizēt literatūru par magnētiskās rezonanses izmeklējumu taktiku muskuloskeletālai sistēmai, analizēt literatūru par magnētiskās rezonanses izmeklējumu protokoliem, to uzbūvi, standartiem un optimizāciju, veikt secinājumus par literatūrā aprakstītajiem magnētiskās rezonanses protokoliem un salīdzināt tos ar klīniskajā praksē pielietotajiem. Bakalaura darbā izvirzītā hipotēze ir: magnētiskās rezonanses izmeklējumu protokols pie muskuloskeletālās sistēmas audzējiem un audzējiem līdzīgiem veidojumiem tiek optimizēts atbilstoši klīniskajiem mērķiem. Pētniecības metodes - salīdzinošā analīze un kontentanalīze. Bakalaura darba apjoms ir: 34.lpp, 5 nodaļas, un 7 apakšnodaļas, 7 tabulas, 1 attēls. Darbā izmantoti 30 literatūras avoti. 10 secinājumi. 1 pielikums Atslēgas vārdi: magnētiskā rezonanse, protokols, audzēji, sekvences, plaknes",0
3,"Akūta komplicēta resnās zarnas divertikulīta ķirurģiskās ārstēšanas 10 gadu pieredze Rīgas Austrumu klīniskās universitātes stacionārā ""Gaiļezers""","Akūts komplicēts divertikulīts ir nopietna ķirurģiska saslimšana, kas prasa ātru un precīzu diagnostiku, kā arī neatliekamu ķirurģisku iejaukšanos. Slimības norit ar smagu gaitu, ir nepieciešama liela apjoma operācija, kas saistīta ar paaugstinātu pēcoperācijas komplikāciju risku, pacientu nāvi. Pētījuma mērķis: Noskaidrot akūta komplicēta resnās zarnas divertikulīta ķirurģiskās ārstēšanas veida izvēli atkarībā no pakāpes pēc Hinchey klasifikācijas un komplikācijas pēcoperācijas periodā. Metodes: Retrospektīvā pētījumā, tika iekļauti 109 Rīgas Austrumu klīniskās universitātes slimnīcas stacionāra “Gaiļezers” pacienti, kuriem tika veikta ķiruģiska ārstēšana akūta komplicēta resnās zarnas divertikulīta dēļ. Tika veikta datu aprakstoša un statistiskā analīze IMB SPSS statistics 26. Rezultāti: No 2012. līdz 2022. gadam RAKUS stacionārā “Gaiļezers”  ārstējās 47 (43,1%) vīrieši un 62 (56,9%) sievietes ar diagnozi akūts komplicēts resnās zarnas divertikulīts. Pirmajās 24 stundās operāciju veica 77 (70%) pacientiem. Visbiežāk veiktā operācija bija Hartmaņa operācija - 53 (48,2%) pacientiem. Bija novērota statistiski nozīmīga saistība starp Hinchey pakāpi un ķirurģiskās ārstēšanas metodes izvēli (p",0
4,Datortomogrāfijas protokols sagatavojot priekšdziedzera vēža pacientus distances staru terapijas metodēm,"Bakalaura darba tēma ir „Datortomogrāfijas protokols sagatavojot priekšdziedzera pacientus distances staru terapijas metodēm”. Priekšdziedzera vēzis ir visizplatītākais vēzis vīriešu vidū. Visā pasaulē 2020. gadā priekšdziedzera vēzis tika diagnosticēts aptuveni 1 414 259 cilvēkiem. Tas ir ceturtais visbiežāk diagnosticētais vēzis pasaulē.  Darba mērķis ir noskaidrot datortomogrāfijas protokolu, sagatavojot priekšdziedzera vēža pacientus distances staru terapijas metodēm.  Pētniecības uzdevumi ir analizēt literatūru par priekšdziedzera anatomiju un fizioloģiju; priekšdziedzera vēža patomorfoloģiju un klasifikāciju, diagnostikas un ārstēšanas metodēm; par staru terapijas metodēm un  distances staru terapijas posmiem; par priekšdziedzera vēža pacienta sagatavošanu staru terapijai; veikt aptauju par datortomogrāfijas protokolu, sagatavojot priekšdziedzera vēža pacientus distances staru terapijas metodēm; apkopot un analizēt aptaujā iegūtos datus un veikt secinājumus. Pētniecības metode - kvalitatīva, strukturēta aptauja. Darba rezultātā noskaidrojās datortomogrāfijas protokols, sagatavojot priekšdziedzera vēža pacientus distances staru terapijas metodēm.  Darba apjoms 39 lappuses, to veido 4 nodaļas un 10 apakšnodaļas, darbā izmantoti 24 literatūras avoti, 4 pielikumi, darbā iekļauti 2 attēli, ir pētījuma diagrammas, tabulas un veikti secinājumi. Atslēgas vārdi: priekšdziedzera vēzis, distances staru terapija, datortomogrāfijas protokols, radiogrāfers.",0
5,Dabīgo angiotenzīna konvertējošo enzīmu inhibitoru ietekme uz kallikreīna aktivitāti in vitro,"SARS-Cov-2 vīruss, izmantojot angiotenzīna-konvertējošo enzīmu 2 (AKE2) kā receptoru, iekļūst šūnās un izmaina angiotenzīna un bradikinīna sistēmu līdzsvaru. Pacientiem slimības sākumā var parādīties plaušu tūska, kas ir saistīta ar vietēju asinsvadu caurlaidību. Inhibējot kallikreīna aktivitāti varētu samazināt bradikinīna sintēzi, kas samazinātu vīrusa izraisītās plaušu tūskas. Šī pētījuma mērķis ir pētīt dažu dabas vielu ar AKE2 inhibitoru īpašībām spēju inhibēt kallikreīna aktivitāti in vitro. Rezultāti parāda, ka florizīns, kvercetīns, rutīns, cianidīna-3O-glikozīds un zaļā tēja inhibē cilvēka plazmas kallikreīna aktivitāti. Visaktīvākais ir florizīns ar IC50 0,37mg/ml. Dabīgie kallikreīna inhibitori varētu kalpot kā bāzes molekulas jaunu zāļu vielu pret iedzimtu angioneirotisko tūsku meklējumiem vai COVID-19 profilaksei.",0
6,Motoro funkciju novērtēšana rotarod un kondziela testos pelēs išēmiska insulta modelī,"Išēmisks insults ir viens no biežākajiem nāves un invaliditātes cēloņiem pasaulē. Rezultātā tiek būtiski bojāti smadzeņu rajoni, kas izraisa motoros traucējumus. Lai izprastu išēmiska smadzeņu bojājuma izraisītās motorās komplikācijas cilvēkiem, pielieto preklīniskos uzvedības testus izmēģinājuma dzīvniekiem. Maģistra darba mērķis bija, izmantojot preklīnisku insulta modeli, izpētīt muskuļu koordinācijas un muskuļu spēka izmaiņas pelēm, pielietojot kondziela un rotarod testus, divu mēnešu periodā.  Pētījuma rezultāti parāda, ka kondziela tests išēmijas pelēm parādīja jutīgumu agrīna muskuļu spēka vājuma identifikācijā, savukārt rotarod tests neuzrādīja izmaiņas muskuļu koordinācijā,  sākot ar piekto dienu pēc insulta. Kondziela testam ir nepieciešami tālāki pētījumi, lai uzkrātie dati ļautu zinātniekiem izvēlēties pēc iespējas jutīgākus uzvedības testus.",0
7,Ergonomiskie riski farmaceitu darbā un veselības veicināšanas pasākumi,"Mūsdienās Latvijā pieaug arodslimību saistība ar ergonomiskiem riskiem darbā.  Visizplatītākās no tām ir skeleta, muskuļu un saistaudu sistēmas slimības. Šī darba mērķis bija pētīt ergonomiskus riskus aptiekas darbiniekiem un izstrādāt  veselības veicināšanas pasākumus. Darba rezultāti parāda, ka farmaceita palīgi visvairāk ir pakļauti muskuļu-skeleta  saslimšanu riskam, savukārt farmaceiti un farmaceitu asistenti ir pakļauti asinsrites  traucējumu un acu slimību riskiem. To var izskaidrot ar ilgstošu darbu stāvus un ar pārslodzi,  jo aptiekās bieži nepietiek darbinieku un esošajiem darbiniekiem nav iespējas atpūsties pauzes  laikā.",0
8,"Hroniska pankreatīta ķirurģiskās ārstēšanas rezultāti: sešu gadu pieredze Rīgas Austrumu klīniskās universitātes slimnīcas, stacionārā ""Gaiļezers""","Ievads. Hronisks pankreatīts (HP) ir progresējoša iekaisuma slimība aizkuņģa dziedzerī, kas rada neatgriezenisku dziedzera audu atrofiju un fibrozi. Tas pakāpeniski rada eksokrīnu un endokrīnu aizkuņģa dziedzera mazspēju. Slimībai progresējot, pastiprinoties sāpju sindromam, aizkuņģa dziedzerī attīstās arī lokālas komplikācijas. Iepriekšminētais rada indikācijas ķirurģiskai ārstēšanai. Iespējamo operāciju veidi iedalās divās grupās: rezecējošas un drenējošas. Kopumā aizkuņģa dziedzera operācijas ir tehniski izaicinošas un augsti invazīvas, līdz ar to asociējas ar nozīmīgu pēcoperācijas komplikāciju risku (53,3 %). Darba mērķis. Retrospektīvi noskaidrot ķirurģiskās ārstēšanas veidus un intrahospitāli attīstījušās komplikācijas pēcoperācijas periodā pacientiem ar HP Rīgas Austrumu klīniskās universitātes slimnīcas (RAKUS) stacionārā “Gaiļezers”, kā arī salīdzināt tās ar literatūras datiem.  Materiāli un metodes. Pētījumā retrospektīvi ir iekļauti pacienti no 16 gadu vecuma ar HP diagnozi (diagnozes kods no Starptautiskās slimību klasifikācijas sistēmas: (SSK – 10) K86.0, K86.1, K86.3, K86.8), kā arī šiem pacientiem bija veikta operatīva ārstēšana vispārājā anestēzijā (manipulācijas kods: 21060, 21068). Pacienti ārstējušies stacionārā laika posmā no 2015. līdz 2021. gadam ieskaitot. Datu ievadei tika izmantot modificēta pancreasgroup.org anketa. Datu ievade protokols aplūkojams pielikumā. (Skatīt pielikums Nr. 1) Pēcoperācijas komplikāciju klasificēšanai tika izmantota Klaviena - Dindo klasifikācija (KDK) (Skatīt pielikumu Nr. 2). Papildus aizkuņģa dziedzera fistula, pēcoperācijas asiņošana un žults noplūde tika aplūkotas pēc International Study Group of Pancreatic Fistula (ISGPS) pakāpēm. (Skatīt pielikums Nr. 3) Datu analīzei bija izmantota aprakstošā statistika. Korelāciju analīzei izveidoja spriedzes tabulas un izmantoja Pīrsona Chi kvadrāta testu (PCKT). Rezultāti. Kopumā pētījumā iekļauti 124 pacienti. No tiem 88 pacienti (71%) bija vīrieši un 36  (29%) sievietes. Pētījumā atlasīto pacientu vecums svārstījās no 16 līdz 83 gadiem (vidējais vecums 48,94 ± 12,158). Visbiežāk veiktās operācijas bija veikta operācija Frey modifikācijā bez žultsvada fenestrācijas – 56 pacientiem (45%). Tam sekoja  pseidocisto – gastrostomijas 22 pacientiem (18%) un pseidocistu ārējas drenāžas 10 pacientiem (8%). Kopumā pēcoperācijas periodā komplikācijas novēroja 60 pacientiem (48%). Pamatā tās bija: aizkavēta kuņģa evakuācija 21 pacientam (19%), asiņošana no operācijas zonas 19 pacientiem (18%), aizkuņģa dziedzera fistula 13 pacientiem (12%), brūces infekcija 11 pacientiem (10%) un 10 pacientiem vaskulāras komplikācijas (9%). Secinājumi. Latvijā vīriešus ar HP biežāk ārstē ķirurģiski. Biežāk izmantotā modifikācija bija pēc Freja. Lielākoties izmantoja divpadsmit pirkstu zarnas saudzējošas modifikācijas. Biežākā komplikācija bija aizkaizkavēta kuņģa evakuācija. Ķirurģiskā efektivitāte pēdējos 6 gados ir bijusi efektivitīva.",0
9,"Augļa ārējais apgrozījums – efektivitāte un tās ietekmējošie faktori,  dzemdību iznākums un komplikācijas","Ievads. Augļa iegurņa guļa ir otra biežākā augļa guļa. Vaginālu dzemdību gadījumā tā tiek saistīta ar biežāku komplikāciju attīstību. Šī iemesla dēļ ir palielinājusies plānveida Ķeizargrieziena izmantošana grūtniecības atrisināšanai līdz pat 85.1%. Tomēr tas nekorelē ar dzemdību iznākumiem. Augļa ārējais apgrozījums (AAA) ir manipulācija, kas tiek rekomendēta visām sievietēm ar vienaugļa grūtniecību, kur auglis atrodas iegurņa priekšguļā sākot no 36.grūtniecības nedēļas, ja nepastāv kontrindikācijas. Tā ir atzīta par drošu un efektīvu metodi ar vidējo veiksmīgo apgrozījuma rādītāju – 58%, kas paaugstina vaginālu dzemdību ar augļa galviņas priekšguļu incidenci.  Darba mērķis. Noskaidrot AAA efektivitāti, iespējamos parametrus, kas ietekmē efektivitāti. Novērtēt AAA ietekmi uz grūtniecības norisi, dzemdību veidu un komplikāciju incidenci.  Materiāli un metodes. Retrospektīvs pētījums no 2019.gada janvāra līdz 2021.gada decembrim PSKUS Sievietes un bērna veselības klīnikā. Iegūtie dati tika analizēti SPSS ver.22. Rezultāti. Pētījumā iekļautas 62 grūtnieces. Kopējā AAA efektivitāte 41.9%. Spontānas vaginālas dzemdības pēc veiksmīga apgrozījuma 65.4%, bet pēc neveiksmīga apgrozījuma prevelēja plānveida Ķeizargriezieni - 77.8% ar spontānām vaginālām dzemdībām 16.7% (p",0
10,Psihosociālie riski aptiekās nodarbinātajiem un veselības veicināšanas pasākumi,"Psihosociālie riski aptiekās nodarbinātajiem un veselības veicināšanas pasākumi. Darba  autore: Oksana Matjase. Darba vadītāja: asoc. profesore, Dr. med. Ženija Roja. Darba apjoms  55 lappuses, ietver 2 tabulas, 19 attēlus, 2 pielikumus un 35 literatūras avotus. Darbs sastāv no  3 daļām: literatūras apskats, materiāli un metodes, rezultāti un diskusija.  Psihosociālais risks ir viens no izplatītākajiem riska faktoriem, ar tiem sastopas gandrīz  visi nodarbinātie, tajā skaitā farmaceiti. Darba mērķis ir pētīt psihosociālus riskus farmaceita  darbā un analizēt stresa ietekmi uz farmaceitu darbā. Darbā tika izmantotas divas metodes: Kopenhāgenas psihosociālā aptauja (īsā versija) un Darba stresa indeksa noteikšana. Aptaujas  dati liecināja, ka aptiekas darbiniekiem bieži ir nevienmērīgi sadalīta slodze un darbā bieži  rodas emocionāli satraucošas situācijas. Darba stresa indeksa aprēķins pierādīja, ka aptiekās  nodarbinātie pakļauti lielai garīgai un fiziskai slodzei. Izstrādāti veselības veicināšanas  pasākumi.",0
