id,title,abstract,is_generated
1,Bērnu - vecāku attiecību kvalitāte saistībā ar bērna kompulsīvo interneta lietošanu longitudinālā skatījumā,"Maģistra darba mērķis bija noskaidrot bērnu un viņu vecāku savstarpējo attiecību kvalitāti, ņemot vērā vecāku novērtēto emocionālo siltumu kā audzināšanas pieju, un arī bērnu vērtējumu par attiecībām ar saviem vecākiem, kā tas ietekmē bērna kompulsīvo interneta lietošanas simptomu rādītājus pirmā un atkārtotā pētījuma mērījumos. Pētījums veikts pētniecības sadarbības projekta “Skolas vecuma bērnu interneta lietošana saistībā ar viņu socioemocionālo attīstību un vecāku audzināšanas pieejām Latvijā, Lietuvā un Taivānā: Longitudināls pētījums’’ ietvaros. Pētījumā piedalījās 263 otrās un trešās klases skolēni, vecumā no 8 līdz 10 gadiem, kuru vidējais vecums  bija 8,6 gadi , un viens no bērna vecākiem, kuru vidējais vecums bija 37,34 gadi. Pētījuma dalībniekiem tika izmantotas šādas aptaujas: interneta atkarību simptomu mērīšanas tika izmantota Kompulsīvas interneta lietošanas (KIL) aptauja (Compulsive Internet Use Scale, CIUS; Meerkerk, van den Eijnden, Vermulst, & Garresten, 2009); bērnu un viņu vecāku savstarpējo attiecību mērīšanā tika izmantoti apgalvojumu no Bloka vecāku audzināšanas pieejas aptaujas (Block’s Child Rearing Practices Report, CRPR; Block, 1981). Pētījuma ietvaros tika izveidots papildus jautājums bērniem par to, kā viņi novērtē savas attiecības ar saviem vecākiem. Pētījuma rezultāti parāda, ka pastāv pozitīva statistiski nozīmīga saistība, kā bērns pats novērtē savus kompulsīvos interneta paradumus un to, kā tos vērtē viņa vecāks, ka arī pastāv statistiski nozīmīga saistība starp vecāku novērtēto emocionālo siltumu kā audzināšanas pieeju un attiecību kvalitāti bērna vērtējumā. Bērna vērtējums par bērnu – vecāku attiecībām statistiski nozīmīgi prognozē bērna kompulsīvās interneta lietošanas simptomus, norādot, ka bērna vērtējums par kvalitatīvām – emocionāli siltām attiecībām ar vecākiem, var prognozēt bērna kompulsīvās interneta lietošanas simptomu mazināšanos. Savukārt vecāku vērtējums par bērnu  – vecāku attiecībām, statistiski nozīmīgi neprognozē bērna kompulsīvās interneta lietošanas simptomus. Pētījuma rezultāti rāda, jo vairāk bērns sajūt vecāku pausto emocionālo siltumu un savu nozīmīgumu ģimenē, jo mazāk bērnam būs izteikti kompulsīvās interneta lietošanas simptomi.",0
2,"Pašnāvības domu saistība ar traucētu piederības izjūtu, uztverto apgrūtinājumu un trauksmes sensitivitāti","Šī pētījuma mērķis bija izpētīt pašnāvības domu saistību ar traucētu piederības izjūtu, uztverto apgrūtinājumu un trauksmes sensitivitāti, kā arī izzināt traucētas piederības izjūtas, uztvertā apgrūtinājuma un trauksmes sensitivitātes prognozēšanas potenciālu attiecībā uz pašnāvības domām. Pilngadību sasnieguši respondenti (N=500) aizpildīja Pašnāvības domu skalu, Interpersonālo vajadzību aptauju un Trauksmes sensitivitātes aptauju. Pētījuma rezultāti attiecībā uz saistībām ar pašnāvības domām atbilst līdzšinējam empīriskajam pamatojumam, kur visciešākās saistības uzrāda uztvertais apgrūtinājums un trauksmes sensitivitātes kognitīvā dimensija, kam turklāt ir prognozētāju raksturs.",0
3,Modes katalogu dizaina vizuālā stilistika,"Latvijas Universitātes Pedagoģijas, psiholoģijas un mākslas fakultātes Datorgrafikas nodaļas Mākslas profesionālā bakalaura studiju programmas 4. kursa studentes Lauras Anspokas (Stud. apl. Nr. la16037) diplomdarbā „Modes katalogu vizuālā stilistika” tiek pētīta modes katalogu pielietojamība un attīstības tendences mūsdienās, kā arī Latvijas dizaineru radītās modes skatāmgrāmatas jeb katalogi. Diplomdarbā ir trīs daļas. Teorētiskajā daļā tiek apkopota informācija par modes katalogu vēsturi, to attīstības gaitu līdz mūsdienām, modes katalogu veidiem. Empīriskajā daļā tiek apskatītas un analizētas mūsdienu Latvijas dizaineru radītās modes skatāmgrāmatas un katalogi pēc četriem autores izveidotiem kritērijiem. Apkopotas kopējās tendences tajos un izdarīti secinājumi. Radošajā daļā tiek izstrādāts dizaina projekts. Šajā daļā tiek radīta autores pašas veidota apģērbu zīmola modes skatāmgrāmata.",0
4,"Nesuicidāls paškaitējums, emociju regulācija un vardarbības pieredze pusaudžiem","Pētījuma mērķis bija noskaidrot saistības starp nesuicidāla paškaitējuma veidiem un motīviem, emociju regulācijas dimensijām un vardarbības pieredzi. Izlasi veidoja 82 pusaudži vecumā no 14 – 18 gadiem, vidējais vecums – 15,71 gadi, no kuriem 54 bija meitenes (66 %) un 28 bija zēni (34 %).             Nesuicidāla paškaitējuma veidi un motīvi tika mērīti ar Paškaitējuma apgalvojumu aptauju (Inventory of statements about self – injury, Klonsky, 2008), emociju regulācijas dimensijas - ar Emociju regulācijas aptauju (Emotion Regulation Questionnaire, Gross & John, 2003) un vardarbības pieredze - ar Bērnības traumas aptauju (Childhood Trauma Questionnaire, Fink, Bernstein, Handelsman, Foote,& Lovejoy, 1995).               Rezultāti norāda uz statistiski nozīmīgām nesuicidālā paškaitējuma veidu un motīvu saistībām ar emociju regulācijas dimensijām un vardarbības piededzi. Nesuicidāla paškaitējuma veidus statistiski nozīmīgi prognozē motīvi mazināt disociāciju, sevi sodīt vai atdalīt no citiem. Šis pētījums norāda uz nesuicidāla paškaitējuma motīvu lomu paškaitējošas uzvedības attīstībā.      Atslēgas vārdi: nesuicidāls paškaitējums, emociju regulācija, vardarbības pieredze",0
5,Pusaudžu problemātiskas interneta lietošanas saistība ar vecāku audzināšanas stiliem un attiecībām ar vienaudžiem,"Šī maģistra darba mērķis bija izpētīt problemātiskas interneta lietošanas (PIL) saistību ar vecāku audzināšanas stiliem un attiecībām ar vienaudžiem; izpētīt cik lielā mērā vecāku audzināšana un attiecības ar vienaudžiem prognozē PIL. Pētījumā piedalījās 70 pusaudži vecumā no 11-15 gadiem (vidējais vecums 13,03 gadi), no kuriem 40 bija meitenes un 30 zēni. Pētījuma dalībnieki aizpildīja interneta lietošanas aptauju (Miltuze, Bite & Sebre, 2012), „ Cilvēki manā dzīvē” aptaujas daļu par attiecībām ar labāko draugu (People in my Life (PML), Ridenour, Greenberg &Cook, 2006) un Vecāku audzināšanas stila aptauju (Parental Authority Questionnaire-PAQ, Buri, 1991).  Pētījuma iegūtie rezultāti parādīja nozīmīgu saistību starp autoritāro audzināšanas stilu un PIL. Tas nozīmē, ka izteiktāks autoritārais audzināšanas stils saistīts ar problemātisku interneta lietošanu. Līdzīga saistība novērota starp pieļaujošo audzināšanas stilu un PIL, tomēr statistiskā nozīme ir vājāka. Statistiski nozīmīga saistība netika atrasta starp PIL un uzticēšanas, komunikācijas un atsvešināšanās pakāpēm attiecībās ar vienaudžiem, toties respondenti ar augstāku delinkventu uzvedību draudzībā parādīja arī augstāko problemātisku interneta lietošanu. Pētījumā iegūtie hierarhiskās regresijas analīzes rezultāti parādīja, ka, gan delinkventa uzvedība, gan autoritārais audzināšanas stils prognozē PIL.",0
6,Kāzu grafiskās stilistikas tradīcijas Latvijā 20.gadsimta otrajā pusē,"Eiropas kāzu tradīcijas veidojušās uz vienotas vēsturisko vērtību un tradīciju bāzes. Atsevišķu teritoriju vēsturiskie likteņi nenoliedzami ietekmējuši arī šo teritoriju kāzu grafiskās noformēšanas tradīcijas. Rietumeiropa 20.gs. 2. pusē ātri vien pazaudēja iepriekš iegūto  individualitāti, noformējums kļuva rūpniecisks, visiem vienāds. Latvijas īpašais politiskais  statuss 20.gs. 2. pusē ietekmēja to, ka kāzu vizuālā noformējuma tradīcijās piedzīvoja uzplaukumu. Kāzas šajā laikā bija vienas no politiskās varas atļautajām tradīcijām, tāpēc tajās koncentrējās visas latviešu alkas pēc nacionalitātes un individualitātes. Pateicoties tam, arī šobrīd latviešu kāzu grafiskais un vizuālais noformējums piedzīvo radošu uzplaukumu, ir individuāls un saglabā vēsturiskas tradīcijas un vērtības.",0
7,Piesaistes stila un apmierinātības ar attiecībām saistība ar pieķeršanos dzīvniekiem,"Pētījuma mērķis ir noskaidrot cik lielā mērā piesaistes stils un apmierinātība ar partnerattiecībām prognozē pieķeršanos dzīvniekam. Vai pastāv saistība starp pieķeršanos dzīvniekiem, apmierinātību ar partnerattiecībām un piesaistes stilu. Pētījumā kopā piedalījās 150 respondentes, vecumā no 20-45 gadiem, kuras ir partnerattiecībās. Piesaistes noteikšanai tika izmantota Attiecību aptauja (Relationship Questionnaire, Bartholomew & Horowitz, 1991). Attiecību novērtēšanas skala (Relationship Assessment Scale, Hendrick & Hendrick, 1988). Leksingtona pieķeršanās dzīvniekiem aptauja- Meksikas variants ( Lexington Attachment to Pets Scale (LAPS) Mexikan Version (LAPS-M), 2014). Pētījums atklāja, ka Apmierinātība ar attiecībām prognozē Vispārējo pieķeršanos dzīvniekiem, toties nav statistiski nozīmīgas saistības piesaistes stilam ar pieķeršanos dzīvniekiem.",0
8,Māksliniecisko izteiksmes līdzekļu izpēte Dž. Polloka darbos mākslas skolas 1. Klasē,"Diplomdarba “Māksliniecisko izteiksmes līdzekļu izpēte Dž. Polloka darbos mākslas skolas 1. klasē” galvenais mērķis ir izpētīt Dž. Polloka mākslinieciskās izteiksmes līdzekļus un tehniku viņa gleznotajos darbos un rosināt 1. klases audzēkņus izmantot tos  savu radošo darbu radīšanas procesā. Lai mērķi sasniegtu, tiek izvirzīti vairāki uzdevumi, kuru ietvaros autore pēta un apraksta abstraktā ekspresionisma rašanos ASV un mākslinieciskās izteiksmes līdzekļus mākslinieka radītajos darbos. Tiek pētītas arī sākumskolas vecuma bērnu attīstības īpatnības, iepazītas Latvijas Nacionālā kultūras centra izstrādātās mācību priekšmeta Gleznošana vadlīnijas, izstrādāta un realizēta uzdevumu kopa, piemērojot atbilstošas mācību metodes, kā arī apkopoti  un analizēti  iegūtie rezultāti. Diplomdarba noslēgumā var iepazīties ar pētījuma rezultātiem, secinājumiem un gūtajām atziņām. Pielikumā ir apskatāmas mākslinieka darbu reprodukcijas, kas tika izmantotas kā uzskates materiāli, izstrādātā uzdevumu kopa, vērtēšanas sistēmas tabulas un audzēkņu darbu attēli.",0
9,"Uzvedības problēmu, mērījumu un intervenču analīze, plānojot ieviest Labās Uzvedības Spēli skolā","Maģistra darba mērķis bija sistemātiski analizēt un apkopot pasaulē līdz šim veikto pētījumu metodes un rezultātus par klasē balstītas atbalsta programmas ietekmi pozitīvas uzvedības veicināšanai un nevēlamas uzvedības mazināšanai skolas vecuma bērniem. Vispirms darbā tiek apskatītas uzvedības problēmu izpausmes, pievēršot uzmanību uzvedības mērīšanai pētniecībā. Vēlāk tiek skaidrotas atbalsta programmas nevēlamai uzvedībai, akcentu liekot uz Labās Uzvedības Spēli (The Good Behavior Game, GBG). Šajā darbā aprakstītie pētījumi sniedz ieskatu Labās Uzvedības Spēles īstermiņa un ilgtermiņa efektivitātē. Tāpat arī tiek uzrunāti jautājumi, kuriem būtu jāpievērš uzmanība, plānojot ieviest jaunu uzvedības vadības metodi. Pētījuma sākotnējais mērķis bija veikt Labās uzvedības spēles efektivitātes pārbaudi vispārizglītojošās un speciālās izglītības skolās, taču saistībā ar ārkārtas situāciju valstī to nebija iespējams realizēt, līdz ar to tika  veikts bērnu uzvedības problēmu novērošanas pilotpētījums četrās vispārizglītojošas skolas 3.un 4.klasēs. Tika izvērtēti šī pilotpētījuma ietvaros veikto novērojumu sakritība divu novērotāju datos, kas kopumā uzrādīja daļēju sakritību, kā rezultātā darbā tiek sniegti ieteikumi uzvedības problēmu novērošanai turmākajos pētījumos, kā arī Labās Uzvedība Spēles plānošanai un ieviešanai.",0
10,Starppriekšmetu saiknes īstenošana kulturoloģijas stundās tematā “Sengrieķu kultūra” vidusskolā,"Diplomdarba nosaukums ir “Starppriekšmetu saiknes īstenošana kulturoloģijas stundās tematā “Sengrieķu kultūra” vidusskolā”. Mērķis ir izpētīt starppriekšmetu saiknes iespējas pedagoģiskajā procesā kulturoloģijā vidusskolā. Diplomdarbā izstrādātas shēmas un kritēriji starppriekšmetu saiknes izvērtēšanai.  Pētījuma gaitā izstrādāti 10 stundu plāni tematam “Sengrieķu kultūra”, kurus iespējams pielietot dažādās klašu grupās. Pētījumā analizēti 3 veidu dati: skolēnu pašvērtējuma anketas, skolēnu pārbaudes darbu vērtējumi un skolotāja pašvērtējums pēc konkrētiem kritērijiem.  Stundu plāni aprobēti vienā vidusskolas klasē, tad analizēti ieguvumi un trūkumi, ja tematu apgūst ar starppriekšmetu saiknes palīdzību, izdarīti secinājumi un piedāvātas rekomendācijas praktiskai ieviešanai pedagoģiskajā procesā.",0
