sentence,is_generated
BMX (Bicycle Motocross) is a specific type of cycling and became more popular when it was included in the 2008 Olympic Games program.,0
The sport is sprint-type and very explosive and requires versatile training from athletes.,0
The main goal of the study is to evaluate the functional parameters of BMX cyclists' physical performance by comparing the results of muscle oxygenation change in the increasing load test obtained with the Moxy device with the results of the cardiopulmonary exercise test..,0
A group of BMX athletes was selected to perform the VO2max test with increasing load to failure.,0
"The results showed the athletes' heart rate and blood pressure at exercise, as well as the athletes demonstrated their aerobic and anaerobic abilities.",0
"Information was collected and BMX sports were characterized and compared with the results of other types of cycling, such as MTB (Mountain Bike) and road cycling athletes.",0
The study highlights the uniqueness of BMX in athletes' physical fitness and competition.,0
The data show high anaerobic performance and good performance after the anaerobic threshold.,0
The study concluded that BMX athletes have good recovery abilities and that they can develop maximum power in a shorter period of time much better than other cycling athletes.,0
Gear transmission is very important for developing and maintaining maximum power.,0
"However, due to the specifics of the load in BMX sports, it is difficult to make accurate measurements and adapt the laboratory experiment all close to BMX sports conditions, so finding and using an alternative device in the real environment could give us a much deeper understanding of BMX athlete physiology.",0
"Cardiometabolic diseases are among most significant causes of mortality in the world, and, since they are largely preventable, widely accessible methods for reducing cardiometabolic risk and identifying the risk factors are needed in order to ensure effective prevention measures.",0
The aim of this bachelor’s thesis was to evaluate the significance of the effect of lifestyle factors on the development of cardiometabolic risk development.,0
This study involved 65 adults within the range of 30 to 54 years old.,0
"Anthropometric measurements were acquired via self-reported anthropometry and the evaluation of lifestyle factors was based on a survey, which was sent to every respondent individually, following an invitation to participate in this study.",0
Anthropometric data was used to calculate the values of cardiometabolic risk factors.,0
The statistical analysis of the data consisted of correlation and covariation analysis.,0
"The obtained results allow to conclude that lifestyle factors, which show significant adverse effects on the development of cardiometabolic risk in a relatively small study population (n=65), are smoking and consumption of alcohol.",0
Global consumption of  pesticides is very high.,0
"Due to their widespread use, pesticides enter the aquatic ecosystems and are common in the environment.",0
"Pollution from pesticides attracts the attention of researchers, as these pesticides can have a significant impact on aquatic ecosystems and consequently animal and human health.",0
The objective of this study is to determine the potential effects of widespread pesticides on aquatic organisms.,0
Using two biotesting methods: the microalgae growth inhibition test and the acute crustacean immobilization test.,0
"In addition to biotesting, survey was conducted to interview farmers, to learn their used pesticide use justification and storage.",0
"During the experiment, the EC50 – effective medial concentrations and LC50 – sublethal concentrations, LOEC - the lowest exposure concentrations at which inhibition of test organisms was observed and the NOEC - the highest concentrations at which no effects on test organisms were observed were determined during the tests.",0
Experimental results show that all selected pesticides have high toxicity.,0
"Highest toxicity in daphnia tests was shown by the insecticide “Proteus OD”, which unfortunately is widely used in the fight against insects, and in the algae tests the herbicide “Broadway Star” (see conclusions).",0
Pesticides with several active substances were found to contribute more rapidly to the inhibition of aquatic organisms than pesticides with only one active substance.,0
Tested zooplankton organisms showed greater sensitivity to pesticides than phytoplankton organisms.,0
"Pesticides that enter water bodies can cause both microalgae un crustaceans’ demise, especially in waters bodies near agricultural land.",0
Farmers emphasize that the use of pesticides is necessary to increase production efficiency and promote farm development.,0
"The assessment for the European Red List of Birds 2015, has indicated that in the last 20  years there has been serious reductions in the distribution and abundance of breeding Common  pochard Aythya ferina, resulting in the European population being upgraded from IUCN Least  Concern status to Vulnerable.",0
In this study we created an overview of the pochards distribution  changes in Latvia by using bird atlas data from three time periods: 1980-1984; 2000-2004;  2013-2017.,0
To evaluate changes in abundance we used data from two long term waterbird  studies in Lake Engure (1958-2019) and Lake Kaņieris (2005-2019).,0
Our atlas analysis indicate that in in the last 33 years species distribution has lessered  signifficantly.,0
Also the breeding population in Lake Engure since the end of nineties has  experienced a dramatic decrease.,0
"Reason for it is a mix of factors – loss of breeding habitat,  decrease of black-headed gulls Larus ridibundus colonies, and increase in predator, especially  American mink Mustela vison, numbers.",0
"In our opinion, it is valid to asses these limiting factors  to the general breeding pochard population in Latvia.",0
"Meanwhile, in the last 14 years breeding  population of pochards in Lake Kaņieris has stayed relatively small, but stable.",0
"According to numerous studies, extracellular vesicles (EVs) are released by almost all cell types within human body and act as mediators of various biological processes via cell-to-cell communication.",0
Recent studies show that intercellular communication is possible between human microbiota and host cells as well.,0
"In this study, we show that EVs isolated from human blood and urine contain RNA fragments derived from various microorganisms.",0
"The most commonly represented phyla and superphyla in blood and urine were Proteobacteria, PVC group and Terrabacteria.",0
"To determine if the major source of these microbial transcripts is gut microbiome, we developed a method for the isolation of EVs from human stool samples.",0
"Next, we plan to perform RNA sequencing (RNA-seq) analysis of EVs isolated from plasma, urine and stool from the same individuals.",0
"HHV-6 is an omnipresent pathogen which can establish lifelong persistency in its host and is linked to the development of multiple diseases, among them – autoimmune.",0
"Although the link between HHV-6 and autoimmune thyroid disease has been shown, mechanisms elucidating how HHV-6 influences the onset of autoimmunity remain unclear.",0
"HHV-6 possesses a number of immunomodulating properties, which are used to manipulate the host immune system for viral evasion and dissemination.",0
The role of HHV-6 encoded viral chemokine receptors U12 and U51 in the development of autoimmunity was evaluated by using potentially immunogenic synthetic peptides designed from viral amino acid sequences.,0
Peptide immunogenicity and antibody cross reactivity was evaluated using suspension multiplex immunological assay.,0
"HHV-6 was detected in all of the patient’s thyroid gland samples (64/64, 100%) and in 37 of them an active HHV-6 infection was found (37/64, 58%).",0
"The expression of HHV-6 chemokine receptors U12 and U51 was detected in 23 of the patient’s thyroid gland samples (23/64, 36%).",0
"Samples positive for viral chemokine receptors expression had significantly elevated viral loads (p=0,0155).",0
"HHV-6 peptide specific IgG and IgM antibodies were found in patient’s samples, with higher signals for IgM antibodies, which is indicative of reactivation and active HHV-6 infection.",0
"No cross reactivity between HHV-6 peptide specific antibodies and human recombinant CCR1, 3 and 5 was found.",0
Further research is necessary to determine the immunogenicity of HHV-6 gene U12 and U51 encoded proteins.,0
"Heterobasidion annosum (Fr.) Bref s.l. root rot causes serious economical losses in European Union, about 790 million euros per year.",0
To limit the spread of root rot in Latvia coniferous stumps over 10 cm in diameter are being protected from Heterobasidion spp.,0
infection using biological control agent containing P. gigantea spores.,0
Previous studies have shown that natural P. gigantea infection is not sufficient to effectively control Heterobasidion spp.,0
prevalence in pine stumps.,0
