sentence,is_generated
"BMX (Bicycle Motocross) ir specifisks riteņbraukšanas veids un kļuvis populārāks, kad tika iekļauts Olimpisko spēļu programmā 2008. gadā.",0
"BMX sports ir sprinta veida sports, kas ir izteikti eksplozīvs un vienlaikus prasa no atlētiem daudzpusīgu sagatavotību.",0
"Darba galvenais mērķis ir izvērtēt BMX riteņbraucēju fizisko darbaspēju funkcionālos parametru, salīdzinot savstarpēji muskuļu oksigenācijas izmaiņas rezultātus pieaugošas slodzes testā, kas iegūti ar Moxy ierīci, ar kardiopulmonālās slodzes testa rezultātiem.",0
"Tika izvēlēti 7 BMX sportisti, kura veica VO2max testu ar pieaugošu slodzi līdz atteicei, paralēli šim testam vienlaikus tika ievākti dati ar Moxy ierīci, kura tika novietota uz augšstilba laterālā platā muskuļa (m.vastus lateralis), katram dalībniekam uz dominējošās kājas – pārvarot trases šķēršļus tā atrodas priekšā un tiek noslogota vairāk kā otras kājas muskuļi.",0
"Rezultāti parādīja sportistu aerobo un anaerobo sliekšņu iestāšanos gan pēc Moxy ierīces datiem, balstoties uz SmO2 samazināšanos, gan pēc kardiopulonālā testa datiem.",0
Tika novērota sakritība starp Moxy datiem un kardiopulonālā testa datiem.,0
Tika veikta informācijas apkopošana un BMX sporta raksturošana un salīdzināšana ar citu riteņbraukšanas veidu rezultātiem kā MTB (kalnu riteņbraukšanas) un šosejas sportistu rezultātiem.,0
Pētījums izceļ BMX unikalitāti sportistu fiziskajā sagatavotībā un sacensību norisē.,0
Dati parāda augstus anaerobos rādītājus un labas darbaspējas pēc anaerobā sliekšņa iestāšanās.,0
"Pētījumā tika secināts, ka BMX sportistam ir labas atjaunošanās spējas un, ka tie daudz labāk nekā citi riteņbraukšanas sportisti var attīstīt maksimālo jaudu īsākā laika periodā.",0
Maksimālās jaudas attīstīšanai un uzturēšanai ļoti nozīmīgs ir riteņa zobratu pārnesums.,0
"Tomēr slodzes un trases specifikas dēļ, kāda ir BMX sportā, ir grūti veikt precīzus mērījumus un pielāgot laboratorijas eksperimenta apstākļus atbilstoši BMX sporta vides apstākļiem.",0
"Tika secināts, ka pastāv korelācija starp anaerobo, aerobo sliekšņu iestāšanās laikiem salīdzinot testā abu iekārtu rezultātus.",0
"Moxy ierīce varētu būt alternatīva, lai varētu pētīt BMX sportistu fizioloģiskos rādītājus reālvidē, tas dotu daudz dziļāku izpratni par BMX sportista fizioloģiju.",0
"Kardiometabolās saslimšanas (KMS) ir viens no nozīmīgākajiem nāvi izraisošajiem faktoriem pasaulē, un, tā kā tās ir lielā mērā novēršamas, efektīvu preventīvo pasākumu ieviešanai nepieciešamas plašai populācijai pieejamas agrīnas KMS riska novērtēšanas un riska faktoru identificēšanas metodes.",0
Šī bakalaura darba mērķis bija izvērtēt dzīvesveida faktoru ietekmes nozīmīgumu KMS riska pazīmju attīstībā.,0
Pētījumā piedalījās 65 pieaugušie vecumā no 30 līdz 54 gadiem.,0
"Antropometrisko datu ieguvei tika izmantota pašreģistrējamās antropometrijas metode un dzīvesveida faktoru ietekmju izvērtējumam tika izmantota anketa, kas tika nosūtīta respondentiem pēc individuāla uzaicinājuma piedalīties pētījumā.",0
Antropometriskie dati tika izmantoti KMS riska indikatoru aprēķināšanai.,0
Datu statistiskajai apstrādei tika izmantotas korelācijas un kovariācijas analīzes.,0
"Pētījumā iegūtie rezultāti ļauj secināt, ka dzīvesveida faktori, kas relatīvi nelielā pētījuma dalībnieku populācijā (n=65) uzrāda būtisku nelabvēlīgu ietekmi uz kardiometabolā riska indikatoru attīstību, ir kaitīgie ieradumi - smēķēšana un alkohola lietošana.",0
"Projekta mērķis ir izpētīt 30 minūšu mērenas intensitātes slodzes, ar jaudu 60% no maksimāla skābekļa patēriņā, kumulatīvo efektu, tajā skaitā arī laika intervāla starp atkārtotām slodzēm ilguma ietekmi (24 stundas vai 12 stundas),  uz organisma metabolismu raksturojošiem parametriem.",0
"Pētījumā plānots iesaistīt vīriešus, kam raksturīgs mazkustīgs dzīvesveids.",0
"Pētāmās personas pēc nejaušības principa tiks sadalītas divās vienāda lieluma grupās, no kurām vienas grupas dalībniekiem intervāls starp slodzēm plānots 12 stundas ilgs, bet otras grupas dalībniekiem intervāls starp slodzēm plānots 24 stundas ilgs.",0
Pesticīdu patēriņš pasaulē ir ļoti liels.,0
"Pateicoties plašajam pielietojumam pesticīdi nokļūstot hidroekosistēmās, un ir plaši izplatīti vidē.",0
"Pesticīdu radītais piesārņojums piesaista pētnieku uzmanību, jo šo pesticīdu darbīgās vielas var būtiski ietekmēt ūdens ekosistēmas un to kvalitāti, sekojoši dzīvnieku un cilvēku veselību.",0
Pētījuma mērķis ir noteikt plaši izplatītu pesticīdu potenciālo ietekmi uz ūdens organismiem.,0
Izmantojot divas biotestēšanas metodes : mikroaļģu augšanas inhibēšanas testu un akūto vēžveidīgo imobilizācijas testu.,0
"Papildus biotestēšanai, tika veikta lauksaimnieku aptauju, kuras gaitā tika apkopoti dati par lauksaimnieku izmantotajiem pesticīdiem, to uzglabāšanu un pamatojumu pesticīdu izmantošanai.",0
Biotestēšanas testu veikšanas gaitā tika iegūti dati par izvēlēto pesticīdu inhibējošo ietekmi uz ūdens organismiem.,0
