id,title,abstract,is_generated
1,MUSKUĻAUDU OKSIGENĀCIJAS PARAMETRU IZMANTOŠANAS IESPĒJAS ANAEROBĀ SLIEKŠŅA NOTEIKŠANĀ BMX SPORTISTIEM,"BMX (Bicycle Motocross) ir specifisks riteņbraukšanas veids un kļuvis populārāks, kad tika iekļauts Olimpisko spēļu programmā 2008. gadā. BMX sports ir sprinta veida sports, kas ir izteikti eksplozīvs un vienlaikus prasa no atlētiem daudzpusīgu sagatavotību.  Darba galvenais mērķis ir izvērtēt BMX riteņbraucēju fizisko darbaspēju funkcionālos parametru, salīdzinot savstarpēji muskuļu oksigenācijas izmaiņas rezultātus pieaugošas slodzes testā, kas iegūti ar Moxy ierīci, ar kardiopulmonālās slodzes testa rezultātiem. Tika izvēlēti 7 BMX sportisti, kura veica VO2max testu ar pieaugošu slodzi līdz atteicei, paralēli šim testam vienlaikus tika ievākti dati ar Moxy ierīci, kura tika novietota uz augšstilba laterālā platā muskuļa (m.vastus lateralis), katram dalībniekam uz dominējošās kājas – pārvarot trases šķēršļus tā atrodas priekšā un tiek noslogota vairāk kā otras kājas muskuļi. Rezultāti parādīja sportistu aerobo un anaerobo sliekšņu iestāšanos gan pēc Moxy ierīces datiem, balstoties uz SmO2 samazināšanos, gan pēc kardiopulonālā testa datiem. Tika novērota sakritība starp Moxy datiem un kardiopulonālā testa datiem. Tika veikta informācijas apkopošana un BMX sporta raksturošana un salīdzināšana ar citu riteņbraukšanas veidu rezultātiem kā MTB (kalnu riteņbraukšanas) un šosejas sportistu rezultātiem. Pētījums izceļ BMX unikalitāti sportistu fiziskajā sagatavotībā un sacensību norisē. Dati parāda augstus anaerobos rādītājus un labas darbaspējas pēc anaerobā sliekšņa iestāšanās.  Pētījumā tika secināts, ka BMX sportistam ir labas atjaunošanās spējas un, ka tie daudz labāk nekā citi riteņbraukšanas sportisti var attīstīt maksimālo jaudu īsākā laika periodā. Maksimālās jaudas attīstīšanai un uzturēšanai ļoti nozīmīgs ir riteņa zobratu pārnesums. Tomēr slodzes un trases specifikas dēļ, kāda ir BMX sportā, ir grūti veikt precīzus mērījumus un pielāgot laboratorijas eksperimenta apstākļus atbilstoši BMX sporta vides apstākļiem. Tika secināts, ka pastāv korelācija starp anaerobo, aerobo sliekšņu iestāšanās laikiem salīdzinot testā abu iekārtu rezultātus. Moxy ierīce varētu būt alternatīva, lai varētu pētīt BMX sportistu fizioloģiskos rādītājus reālvidē, tas dotu daudz dziļāku izpratni par BMX sportista fizioloģiju.",0
2,Dzīvesveida paradumu ietekmes izvērtējums uz kardiometabolo saslimšanu risku pieaugušiem cilvēkiem.,"Kardiometabolās saslimšanas (KMS) ir viens no nozīmīgākajiem nāvi izraisošajiem faktoriem pasaulē, un, tā kā tās ir lielā mērā novēršamas, efektīvu preventīvo pasākumu ieviešanai nepieciešamas plašai populācijai pieejamas agrīnas KMS riska novērtēšanas un riska faktoru identificēšanas metodes. Šī bakalaura darba mērķis bija izvērtēt dzīvesveida faktoru ietekmes nozīmīgumu KMS riska pazīmju attīstībā. Pētījumā piedalījās 65 pieaugušie vecumā no 30 līdz 54 gadiem. Antropometrisko datu ieguvei tika izmantota pašreģistrējamās antropometrijas metode un dzīvesveida faktoru ietekmju izvērtējumam tika izmantota anketa, kas tika nosūtīta respondentiem pēc individuāla uzaicinājuma piedalīties pētījumā. Antropometriskie dati tika izmantoti KMS riska indikatoru aprēķināšanai. Datu statistiskajai apstrādei tika izmantotas korelācijas un kovariācijas analīzes. Pētījumā iegūtie rezultāti ļauj secināt, ka dzīvesveida faktori, kas relatīvi nelielā pētījuma dalībnieku populācijā (n=65) uzrāda būtisku nelabvēlīgu ietekmi uz kardiometabolā riska indikatoru attīstību, ir kaitīgie ieradumi - smēķēšana un alkohola lietošana.",0
3,"Atkārtotas, mērenas intensitātes fiziskas slodzes kumulatīvie efekti uz metabolismu raksturojošiem parametriem.","Projekta mērķis ir izpētīt 30 minūšu mērenas intensitātes slodzes, ar jaudu 60% no maksimāla skābekļa patēriņā, kumulatīvo efektu, tajā skaitā arī laika intervāla starp atkārtotām slodzēm ilguma ietekmi (24 stundas vai 12 stundas),  uz organisma metabolismu raksturojošiem parametriem. Pētījumā plānots iesaistīt vīriešus, kam raksturīgs mazkustīgs dzīvesveids. Pētāmās personas pēc nejaušības principa tiks sadalītas divās vienāda lieluma grupās, no kurām vienas grupas dalībniekiem intervāls starp slodzēm plānots 12 stundas ilgs, bet otras grupas dalībniekiem intervāls starp slodzēm plānots 24 stundas ilgs.",0
4,Pesticīdu izplatība hidroekosistēmās un to potenciālā ietekme uz ūdens organismiem,"Pesticīdu patēriņš pasaulē ir ļoti liels. Pateicoties plašajam pielietojumam pesticīdi nokļūstot hidroekosistēmās, un ir plaši izplatīti vidē. Pesticīdu radītais piesārņojums piesaista pētnieku uzmanību, jo šo pesticīdu darbīgās vielas var būtiski ietekmēt ūdens ekosistēmas un to kvalitāti, sekojoši dzīvnieku un cilvēku veselību.   Pētījuma mērķis ir noteikt plaši izplatītu pesticīdu potenciālo ietekmi uz ūdens organismiem. Izmantojot divas biotestēšanas metodes : mikroaļģu augšanas inhibēšanas testu un akūto vēžveidīgo imobilizācijas testu.  Papildus biotestēšanai, tika veikta lauksaimnieku aptauju, kuras gaitā tika apkopoti dati par lauksaimnieku izmantotajiem pesticīdiem, to uzglabāšanu un pamatojumu pesticīdu izmantošanai. Biotestēšanas testu veikšanas gaitā tika iegūti dati par izvēlēto pesticīdu inhibējošo ietekmi uz ūdens organismiem. Testu laikā noskaidrotas to EC50 – efektīvi mediālās koncentrācijas un LC50 – subletālās koncentrācijas, LOEC - zemākās iedarbības koncentrācijas, pie kurām novēro test organismu inhibīciju un NOEC - lielākās koncentrācijas, pie kurām nenovēro nekādu iedarbību uz test organismiem.   Eksperimentu rezultāti uzrāda, ka visiem izvēlētiem pesticīdiem ir augsts toksiskums. Augstāko toksiskumu dafniju testos uzrādīja insekticīds “Proteus OD”, kas diemžēl tiek plaši izmantots cīņa pret insekticīdiem, bet aļģu testos herbicīds “Broadway Star” (skat.secinājumos). Pesticīdi ar vairākām darbīgām vielām veicina straujāku ūdens organismu inhibēšanu salīdzinājumā ar pesticīdiem, kuriem ir tikai viena darbīgā viela. Testētie zooplanktona organismi uzrādīja lielāku jūtību pret pesticīdu iedarbību salīdzinājumā ar fitoplanktona organismiem. Pesticīdu nokļūšana ūdenstilpnēs var izraisīt gan mikroaļģu, gan vēžveidīgo samazināšanos un bojāeju, īpaši ūdenstilpnēs tuvu apstrādājamajam lauksaimniecības zemēm. Lauksaimnieki uzsver, ka pesticīdu izmantošana ir nepieciešama ražošanas efektivitātes paaugstināšanai un veicina saimniecisko darbību.",0
5,Brūnkakļa Aythya ferina izplatības un skaita izmaiņas Latvijā 1958-2019,"Eiropas apdraudēto putnu sarakstā (European Red List of Birds 2015) redzams, ka pēdējos  20 gados brūnkakļu Aythya ferina Eiropas un pasaules populācijām ir vērojams būtisks  izplatības un skaita samazinājums, kā rezultātā brūnkaklis ir iekļaujams apdraudēto  (Vulnerable) sugu sarakstā. Savukārt, 2019. gada nogalē pieņemts lēmums šo sugu svītrot no  Latvijas medījamo sugu saraksta. Šajā darbā izveidots pārskats par brūnkakļa izplatības un  skaita izmaiņām Latvijā, izmantojot datus no divām ilgtermiņa ligzdojošo ūdensputnu  uzskaitēm Engures (1958-2019) un Kaņiera (2005-2019) ezeros, kā arī datus no trim ligzdojošo  putnu atlantiem: 1980-1984; 2000-2004; 2013-2017. Darbā izvērtēti arī populāciju ietekmējošie  faktori.  Salīdzinot atlantu izplatības karšu datus, redzams, ka sugas izplatība Latvijā pēdējo 33  gadu laikā ir būtiski samazinājusies. Arī ligzdojošo brūnkakļu populācijai Engures ezerā sākot  ar 90. gadu beigām ir vērojams būtisks skaita kritums . Šo skaita sarukumu visticamāk radījis  vairāku faktoru kopums – dzīvotņu zaudēšana, lielo ķīru Larus ridibundus populācijas  samazinājums, kā arī plēsēju, it īpaši Amerikas ūdeles Mustela vison, skaita palielināšanās. Šos  faktorus, mūsuprāt, kā populāciju limitējošus ir atbilstoši attiecināt arī uz Latvijas teritorijā  ligzdojošo brūnkakļu populāciju kopumā. Kaņiera ezerā 14 gadu periodā ligzdu uzskaišu dati  norāda uz nelielu, taču stabilu ligzdojošo brūnkakļu populāciju.",0
6,Ekstracelulārās vezikulās ietvertās mikrobiālās RNS atklāšana cilvēku asins un urīna paraugos,"Gandrīz visi cilvēka šūnu tipi sekretē ekstracelulārās vezikulas (EVs), un tām ir svarīga loma starpšūnu komunikācijā. Jaunākie pētījumi liecina, ka komunikācija notiek arī starp cilvēka mikrobiotu un saimniekorganisma šūnām. Šajā pētījumā mēs parādām, ka no cilvēka asinīm un urīna izdalītās EVs satur RNS fragmentus no dažādiem mikroorganismiem. Visbiežāk sastopami baktēriju tipi un supertipi asinīs un urīnā bija Proteobacteria, PVC grupa un Terrabacteria. Lai noteiktu vai šo mikrobiālo transkriptu galvenais avots ir zarnu mikrobioms, mēs izstrādājām EV izdalīšanas metodi no cilvēku fēču paraugiem. Tālāk mēs plānojām veikt RNS sekvencēšanas (RNA-seq) analīzi EV, kas izdalītas no plazmas, urīna un fēcēm no tiem pašiem indivīdiem.",0
7,Cilvēka herpesvīrusa-6 U12 un U51 gēnu kodēto proteīnu iespējamā loma autoimunitātes attīstībā,"HHV-6 ir visuresošs patogēns, kurš spējīgs persistēt saimniekorganismā visu tā dzīvi un kura loma pierādīta vairāku saslimšanu attīstībā, tostarp arī autoimūnu. Lai gan HHV-6 un autoimūno vairogdziedzera slimību saistība parādīta, mehānismi, kas norādītu kā HHV-6 spēj ietekmēt autoimunitātes attīstību, nav noskaidroti. HHV-6 piemīt virkne imūnmodulējošu īpašību, ar kurām vīruss manipulē imunitāti, lai veicinātu tā izplatību pa organismu un izvairītos no saimniekorganisma imūnās atbildes.  Šī darba ietvaros tika novērtēta HHV-6 hemokīnu receptoru U12 un U51 loma autoimunitātes attīstībā, izmantojot no vīrusa aminoskābju sekvencēm veidotus potenciāli imunogēnus peptīdus. Peptīdu imunogenitātes un antivielu krosreaģēšanas novērtēšanai izmantoja suspensijas imunoloģisko analīzi. Visos pētījumā iekļautajos pacientu vairogdziedzera audu paraugos detektēja HHV-6 (64/64, 100%) un 37 no tiem detektēja aktīvai vīrusa infekcijai raksturīgu gēnu ekspresiju (37/64, 58 %). HHV-6 hemokīnu receptoru U12 un U51 ekspresiju detektēja 23 paraugos (23/64, 36 %). Paraugos ar hemokīnu receptoru ekspresiju atrada ievērojami augstākas HHV-6 slodzes (p=0,0155). Pacientu paraugos atrada gan vīrusa peptīdiem specifiskas IgG, gan IgM antivielas, taču IgM antivielas atrada vairāk, kas norāda uz vīrusa reaktivāciju un aktīvu HHV-6 infekciju. HHV-6 peptīdu specifiskās antivielas nekrosreaģēja ar cilvēka rekombinantajiem CCR1, 3 un 5. Padziļinātāki pētījumi nepieciešami HHV-6 gēnu U12 un U51 kodēto proteīnu imunogenitātes novērtēšanai.",0
8,Celmu augstuma ietekmes novērtējums uz sakņu piepes Heterobasidion spp. un lielās pergamentsēnes Phlebiopsis gigantea attīstību maza diametra priežu koksnē,"Heterobasidion annosum (Fr.) Bref s.l. sakņu trupe Eiropas Savienībā katru gadu izraisa ievērojamus ekonomiskos zaudējumus – aptuveni 790 milionus eiro. Lai ierobežotu trupes izplatību Latvijā skuju koku celmi diametrā virs 10 cm tiek apstrādāti ar bioloģiskiem preparātiem, kas satur lielās pergamentsēnes Phlebiopsis gigantea sporas. Līdzšinējos pētījumos konstatēts, ka dabiskā P. gigantea nevar efektīvi ierobežot Heterobasidion spp. izplatību. Lai noteiktu Heterobasidion spp. un dabiskās P. gigantea attīstību maza diametra, dažādu augstumu priežu celmos, trīs parauglaukumos analizēti 300 celmi diametrā no 4 līdz 10 cm: puse no tiem 15 cm augsti un puse 50 cm augsti; 120 celmi apstrādāti ar Heterobasidion spp. sporu suspensiju un 180 celmi atstāti neapstrādāti, dabiskai Heterobasidion spp. un P. gigantea infekcijai. Lai analizētu micēlija attīstību, no visiem celmiem ievāca paraugus, tos sazāģējot līdz sakņu kaklam divus līdz četrus cm biezās ripās.  Pētījumā konstatēts, ka dabiskās P. gigantea infekcija bija būtiski vairāk izplatīta nekā Heterobasidion spp. – tikai 3% celmu (gan apstrādāto gan neapstrādāto) pēc 22 mēnešu inkubācijas perioda bija konstatējams dzīvotspējīgs Heterobasidion spp. micēlijs, bet dabiskā P. gigantea bija attīstījusies 39% celmu. Līdz ar to secināts, ka dabiskā P. gigantea ir nozīmīgs faktors Heterobasidion spp. ierobežošanā maza diametra priežu celmos.  Celmu augstums būtiski neietekmēja dabiskās P. gigantea attīstību, taču būtiska ietekme bija inkubācijas periodam. Salīdzinājumā ar rezultātiem, ko ieguva pēc 22 mēnešu inkubācijas perioda, pēc 28 mēnešiem P. gigantea aizņemtais laukums celmos bija būtiski mazāks. P. gigantea konstatēta 72 celmos, kuru augstums bija 50 cm un 47 celmos, kuru augstums 15 cm – 62,5 % analizēto 50 cm augsto celmu un 76,0% 15 cm augsto celmu P. gigantea micēlijs izplatījies līdz sakņu kaklam. No visiem celmiem, kuros konstatēta P. gigantea (n=115), 62,5 % 50 cm augsto celmu un 76,0% 15 cm augsto celmu micēlijs izplatījies līdz sakņu kaklam. Tālākos pētījumos nepieciešams analizēt PG micēlija attīstību dziļāk saknēs, lai noskaidrotu dabiskās P. gigantea nozīmi Heterobasidion spp. sekundārās izplatības ierobežošanā.",0
9,Fizioloģijā balstīta metformīna matemātiskā modeļa izveide pelei un cilvēkam,"Fizioloģijā balstīta metformīna matemātiskā modeļa izveide pelei un cilvēkam. Dārta Maija Zaķe, darba vadītājs Latvijas Universitātes Mikrobioloģijas un Biotehnoloģiju Institūta direktors, Dr.sc.ing. Egils Stalidzāns. Maģistra darbs, 68 lpp., 83 literatūras avoti, 1 pielikums, 12 attēli un 10 tabulas. Latviešu valodā.   Darba mērķis bija noteikt metformīna koncentrāciju dinamiku tā galvenās iedarbības audos cilvēkā. Mērķa sasniegšanai tika veikta eksperimentālajiem datiem atbilstoša, fizioloģijā balstīta metformīna farmakokinētikas matemātiskā modeļa izveide pelei. Izmantojot parametru novērtēšanas metodes un peles modeli, tika noteikti metformīna galvenās iedarbības audiem specifiski plazmas-audu pārneses koeficienti (Ktp). Tika izveidots eksperimentālajiem datiem atbilstošs, fizioloģijā balstīts metformīna farmakokinētikas matemātiskais modelis cilvēkam, kurā, izmantojot 10 galvenās iedarbības audiem specifiskas Ktp vērtības, tika noteikta metformīna koncentrāciju dinamika šajos audos.",0
10,HHV-6 INFEKCIJA UN IEKAISUMA CITOKĪNU IESAISTE AUTOIMŪNĀ TIREOIDĪTA ATTĪSTĪBĀ,"Šī darba ietvaros tika pētīta HHV-6, RANTES hemokīna un IL-6, INF-γ, TNF-α iekaisuma citokīnu iesaistes loma autoimūnā tireoidīta attīstībā. Pētījumā iesaistīti 63 pacienti ar AIT, kuriem tika veikta tireoīdektomija (Thyreoidectomia totalis) un 27 asins donori kā kontroles grupa.  HHV-6 genoma sekvence tika detektēta 58 (92%) AIT pacientu audu paraugos, 10 (16%) asins paraugos un 3 (11%) kontroles grupas asins paraugos. Aktīva infekcija tika noteikta 25/58 (43%) AIT pacientu vairogdziedzeru audu paraugos.  RANTES hemokīna un iekaisuma citokīnu līmeņa noteikšanai tika izmantota Luminex tehnoloģija, kas ir balstīta uz imūnfermentatīvo metodi. AIT pacientu asins paraugos tika detektēts augsts iekaisuma citokīnu līmenis. RANTES hemokīna līmenis asins donoriem (mediāna 1346 [IQR 645 – 2503] pg/ml) bija ievērojami paaugstināts nekā AIT pacientiem (mediāna 418,2 [IQR 113,1 – 803,1] pg/ml).     Darba saturu veido 7 nodaļas ar apakšnodaļām. Kopumā darba izstrādāšanai izmantoti 42 literatūras avoti, 12 attēli. Darba apjoms sastāv no 48 lapaspusēm. Bakalaura darbs izstrādāts Rīgas Stradiņu universitātes mikrobioloģijas un virusoloģijas institūtā.",0
